year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2014,Aaron Baddeley,0.044,-0.589,-0.291,0.051,0.872,293.8,52.29,59.8,70.796,942559.0,114.0,-0.8289999999999998
2014,Adam Scott,1.72,0.725,0.61,0.166,0.22,303.5,61.51,68.79,69.205,4098588.0,12.0,1.501
2014,Alex Aragon,,,,,,,,,,21526.0,252.0,
2014,Alex Cejka,,,,,,,,,,57059.0,227.0,
2014,Alex Prugh,,,,,,,,,,90606.0,206.0,
2014,Andres Romero,0.145,0.05,-0.381,0.124,0.353,294.6,54.79,60.53,70.852,782184.0,100.0,-0.20700000000000002
2014,Andrew Loupe,-0.136,0.22,-0.509,-0.196,0.35,308.0,50.0,63.11,71.142,563121.0,137.0,-0.48500000000000004
2014,Andrew Svoboda,0.344,0.111,0.323,-0.064,-0.026,287.4,66.14,68.11,70.713,1168073.0,94.0,0.37
2014,Arjun Atwal,,,,,,,,,,6980.0,245.0,
2014,Ben Crane,-0.152,-0.297,-0.009,0.017,0.138,279.0,66.4,63.44,70.954,1534634.0,60.0,-0.289
2014,Ben Curtis,-0.216,-0.257,-0.416,0.057,0.4,279.5,64.8,62.63,71.354,625515.0,131.0,-0.616
2014,Ben Kohles,,,,,,,,,,14784.0,242.0,
2014,Ben Martin,0.421,0.213,-0.097,0.015,0.291,291.7,64.34,66.04,70.732,1482836.0,76.0,0.131
2014,Benjamín Alvarado,,,,,,,,,,13241.0,240.0,
2014,Bernhard Langer,,,,,,,,,,234000.0,199.0,
2014,Bill Haas,1.09,0.296,0.382,0.265,0.147,291.9,62.94,68.62,70.132,2841521.0,16.0,0.943
2014,Billy Horschel,0.738,0.473,0.132,-0.087,0.22,291.6,67.04,70.43,70.521,4814787.0,1.0,0.518
2014,Billy Hurley III,0.309,-0.103,0.25,0.123,0.039,276.7,70.44,65.89,70.696,1145299.0,97.0,0.27
2014,Billy Mayfair,,,,,,,,,,32118.0,232.0,
2014,Blake Adams,,,,,,,,,,98439.0,194.0,
2014,Bo Van Pelt,0.378,0.048,0.468,-0.085,-0.053,291.3,62.83,68.61,70.827,982218.0,81.0,0.431
2014,Bob Estes,,,,,,,,,,156000.0,205.0,
2014,Bobby Gates,,,,,,,,,,10919.0,258.0,
2014,Boo Weekley,-0.277,0.732,0.044,0.099,-1.152,288.3,69.57,68.06,71.307,832673.0,111.0,0.875
2014,Brad Fritsch,0.06,-0.048,0.098,0.06,-0.05,294.4,60.24,65.05,70.888,568391.0,151.0,0.11
2014,Brandt Snedeker,0.644,-0.043,0.143,0.217,0.326,285.6,63.7,63.28,70.671,1652380.0,86.0,0.317
2014,Brendan Steele,0.519,0.237,0.222,-0.062,0.121,298.9,59.51,66.47,70.798,1359890.0,79.0,0.39699999999999996
2014,Brendon Todd,0.793,0.015,-0.174,0.289,0.664,280.3,64.85,63.99,70.049,3396747.0,27.0,0.13
2014,Brendon de Jonge,0.224,0.339,-0.012,-0.071,-0.032,287.9,67.87,64.48,70.801,1171395.0,91.0,0.256
2014,Brett Quigley,,,,,,,,,,10260.0,257.0,
2014,Brian Davis,0.061,-0.064,-0.419,0.399,0.145,278.2,67.23,61.47,71.232,842539.0,110.0,-0.08399999999999996
2014,Brian Gay,-0.465,-0.508,-0.501,0.276,0.268,271.6,61.99,59.21,71.493,605368.0,140.0,-0.7329999999999999
2014,Brian Harman,0.515,-0.014,0.296,0.121,0.113,289.0,60.96,64.26,70.391,2414334.0,36.0,0.40299999999999997
2014,Brian Stuard,0.326,-0.034,0.195,-0.119,0.283,283.4,66.14,63.86,70.549,1852531.0,51.0,0.04200000000000001
2014,Brice Garnett,-0.147,-0.056,-0.197,-0.002,0.109,289.3,58.91,65.15,71.039,617805.0,121.0,-0.255
2014,Briny Baird,-0.575,-0.249,-0.183,0.013,-0.156,281.6,63.7,63.44,71.679,616316.0,141.0,-0.419
2014,Bronson La'Cassie,-0.519,-0.04,-0.535,0.145,-0.088,284.9,59.76,61.35,71.772,160632.0,186.0,-0.43000000000000005
2014,Brooks Koepka,0.958,0.425,0.598,-0.226,0.162,307.0,56.91,64.98,70.052,,,0.7969999999999999
2014,Bryce Molder,-0.233,-0.763,0.006,0.275,0.249,278.7,59.49,63.93,71.112,828605.0,109.0,-0.482
2014,Bubba Watson,1.352,0.967,0.324,0.111,-0.05,314.3,60.47,67.96,69.712,6336978.0,5.0,1.402
2014,Bud Cauley,-0.105,-0.073,-0.109,0.467,-0.389,293.4,57.54,67.46,71.06,647886.0,143.0,0.28500000000000003
2014,Cameron Beckman,,,,,,,,,,72835.0,207.0,
2014,Cameron Tringale,0.668,0.008,0.322,0.23,0.107,282.9,63.87,66.77,70.63,2169723.0,20.0,0.56
2014,Camilo Villegas,0.315,-0.159,0.413,0.061,0.0,292.5,59.95,66.96,70.716,1642124.0,48.0,0.315
2014,Carl Pettersson,0.259,0.294,0.096,0.006,-0.138,295.5,58.79,66.67,70.52,1348393.0,63.0,0.396
2014,Chad Campbell,0.275,0.056,0.641,0.011,-0.434,287.8,65.36,72.43,70.59,470798.0,152.0,0.7080000000000001
2014,Chad Collins,-0.446,-0.635,-0.522,0.273,0.438,275.4,59.67,59.98,71.315,408434.0,159.0,-0.884
2014,Charl Schwartzel,1.341,0.55,0.315,0.421,0.055,297.8,59.45,63.53,69.671,1997482.0,43.0,1.286
2014,Charles Howell III,0.755,0.498,0.017,0.201,0.037,304.1,52.77,67.66,70.134,1997044.0,34.0,0.716
2014,Charley Hoffman,0.956,0.415,0.301,-0.026,0.266,299.2,58.69,67.08,70.464,1977296.0,53.0,0.69
2014,Charlie Beljan,-0.289,0.523,-0.128,-0.453,-0.231,303.8,59.02,65.2,71.28,712652.0,130.0,-0.057999999999999996
2014,Charlie Wi,-0.108,-0.35,-0.253,0.383,0.112,281.0,57.74,60.87,71.067,384796.0,149.0,-0.21999999999999997
2014,Chesson Hadley,-0.14,-0.319,0.242,-0.102,0.041,290.6,57.01,63.03,71.212,1703316.0,49.0,-0.179
2014,Chez Reavie,,,,,,,,,,11767.0,239.0,
2014,Chris DiMarco,,,,,,,,,,6370.0,256.0,
2014,Chris Kirk,0.862,0.033,0.287,0.169,0.374,291.0,62.78,63.46,70.15,4854777.0,2.0,0.489
2014,Chris Smith,,,,,,,,,,33620.0,230.0,
2014,Chris Stroud,0.418,-0.174,0.132,0.278,0.182,285.8,63.93,65.21,70.476,1826399.0,47.0,0.23600000000000004
2014,D.A. Points,-1.097,-0.424,-0.308,-0.021,-0.344,284.5,62.56,62.71,72.239,364653.0,173.0,-0.753
2014,D.H. Lee,-0.796,-0.332,-0.591,0.103,0.024,276.2,66.47,59.89,71.914,138642.0,193.0,-0.8200000000000001
2014,D.J. Trahan,,,,,,,,,,12900.0,238.0,
2014,Daniel Chopra,,,,,,,,,,20775.0,249.0,
