year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2011,Aaron Baddeley,1.148,0.19,0.196,0.438,0.324,296.2,55.67,65.48,70.23,3094693.0,14,0.8240000000000001
2011,Adam Scott,0.635,0.793,0.102,-0.013,-0.247,299.7,63.98,68.08,69.872,3764797.0,16,0.882
2011,Alex Cejka,-0.138,-0.145,0.259,0.413,-0.665,280.3,66.42,66.1,71.178,344902.0,134,0.527
2011,Alex Prugh,-0.958,0.204,-0.109,-0.47,-0.582,298.6,57.35,65.95,71.904,292070.0,164,-0.375
2011,Alexandre Rocha,-0.375,-0.184,0.005,-0.195,-0.001,290.9,62.23,68.23,71.262,225026.0,188,-0.374
2011,Andre Stolz,,,,,,,,,,21594.0,243,
2011,Andres Gonzales,-0.652,-0.473,-0.184,-0.137,0.143,293.1,61.49,64.42,71.634,186847.0,209,-0.794
2011,Andres Romero,0.474,0.201,-0.038,-0.09,0.4,294.7,57.8,63.41,70.495,1313133.0,66,0.07300000000000001
2011,Anthony Kim,-0.071,-0.455,0.103,0.043,0.239,294.2,46.99,61.58,70.775,1085846.0,79,-0.30900000000000005
2011,Arjun Atwal,-0.409,-0.705,0.241,0.011,0.044,284.8,56.31,63.25,71.444,690237.0,109,-0.45299999999999996
2011,Aron Price,0.28,-0.176,0.453,-0.091,0.094,282.6,70.29,67.09,70.729,333290.0,146,0.18600000000000003
2011,Ben Crane,0.49,0.101,0.162,0.093,0.134,284.9,67.06,66.36,70.434,1679595.0,96,0.356
2011,Ben Curtis,0.19,-0.046,-0.063,0.06,0.239,276.7,71.91,65.82,70.839,423466.0,133,-0.049
2011,Ben Martin,-0.275,0.073,-0.301,-0.453,0.406,289.5,63.43,64.76,71.419,340080.0,153,-0.681
2011,Bill Haas,0.916,0.628,0.044,0.08,0.165,296.6,63.59,69.44,70.135,4088637.0,1,0.752
2011,Bill Lunde,0.06,0.156,0.027,-0.126,0.003,291.5,61.11,69.38,71.046,639548.0,85,0.056999999999999995
2011,Billy Horschel,-0.192,0.31,-0.29,-0.189,-0.024,291.0,66.22,67.07,71.512,533024.0,170,-0.16899999999999998
2011,Billy Mayfair,0.385,0.213,0.116,0.292,-0.237,283.3,70.41,68.77,70.747,780578.0,122,0.621
2011,Bio Kim,-0.854,-0.563,-0.838,0.515,0.033,296.1,52.87,59.49,71.696,345588.0,174,-0.8859999999999998
2011,Blake Adams,0.411,0.241,-0.453,0.148,0.475,292.1,65.79,65.48,70.7,1100558.0,64,-0.06400000000000003
2011,Bo Van Pelt,0.867,0.586,0.344,0.104,-0.167,297.4,63.59,68.02,70.092,2344546.0,23,1.034
2011,Bob Estes,,,,,,,,,,594104.0,150,
2011,Bobby Gates,-0.898,0.133,-0.183,-0.396,-0.452,297.4,60.1,64.71,71.616,666735.0,152,-0.446
2011,Boo Weekley,-0.282,0.683,0.492,-0.357,-1.1,296.6,66.74,71.68,71.176,279531.0,157,0.8180000000000001
2011,Brandt Jobe,0.596,0.478,0.262,-0.129,-0.015,298.5,65.87,69.16,70.334,1629764.0,51,0.611
2011,Brandt Snedeker,1.094,0.127,0.191,0.189,0.588,287.2,64.02,64.9,69.859,3587206.0,8,0.507
2011,Brendan Steele,-0.006,0.118,0.209,-0.273,-0.06,292.8,64.83,65.45,71.019,1976310.0,52,0.05399999999999994
2011,Brendon de Jonge,0.576,-0.065,0.312,0.057,0.273,287.8,64.04,66.45,70.429,1241326.0,60,0.304
2011,Brett Quigley,,,,,,,,,,56825.0,221,
2011,Brett Wetterich,,,,,,,,,,307504.0,166,
2011,Brian Bateman,,,,,,,,,,6984.0,264,
2011,Brian Davis,0.605,0.226,0.493,-0.079,-0.035,283.3,70.33,67.35,70.469,1308009.0,39,0.64
2011,Brian Gay,0.737,-0.36,0.117,0.425,0.556,269.8,72.77,63.44,70.214,1157525.0,82,0.182
2011,Briny Baird,0.543,0.101,0.252,0.112,0.078,289.1,68.74,69.14,70.435,942286.0,151,0.46499999999999997
2011,Bryce Molder,0.653,-0.325,-0.138,0.346,0.77,282.0,66.46,65.0,70.433,1957944.0,101,-0.11700000000000005
2011,Bubba Watson,0.593,0.898,0.193,-0.317,-0.182,314.9,56.92,69.83,70.625,3477811.0,26,0.774
2011,Cameron Beckman,-0.653,-0.423,-0.061,-0.057,-0.112,284.3,61.05,63.18,71.642,455085.0,130,-0.541
2011,Cameron Percy,,,,,,,,,,290319.0,177,
2011,Cameron Tringale,0.239,0.154,-0.133,0.022,0.197,294.3,60.99,67.3,70.751,1327807.0,63,0.04299999999999999
2011,Camilo Villegas,0.091,-0.125,0.399,0.01,-0.194,294.4,57.98,62.5,71.024,1231918.0,33,0.28400000000000003
2011,Carl Paulson,,,,,,,,,,29922.0,246,
2011,Carl Pettersson,0.77,0.113,0.147,0.025,0.485,291.8,62.29,65.77,70.289,1540723.0,48,0.28500000000000003
2011,Chad Campbell,0.564,0.082,0.987,-0.137,-0.368,291.1,63.31,71.13,70.273,1104024.0,59,0.9319999999999999
2011,Chad Collins,,,,,,,,,,183510.0,192,
2011,Charl Schwartzel,0.95,0.49,0.287,0.121,0.052,297.0,61.73,65.97,69.619,2604558.0,32,0.8979999999999999
2011,Charles Howell III,1.239,0.168,0.333,0.358,0.38,297.3,57.51,68.91,69.66,2509223.0,19,0.859
2011,Charles Warren,,,,,,,,,,96423.0,212,
2011,Charley Hoffman,0.525,0.453,0.2,0.129,-0.256,299.8,60.34,66.79,71.097,1462591.0,41,0.782
2011,Charlie Wi,0.305,-0.133,-0.608,0.239,0.808,285.8,61.35,63.65,70.757,1188494.0,78,-0.502
2011,Chez Reavie,0.419,0.381,0.461,-0.346,-0.077,293.5,67.32,68.6,70.744,2285067.0,10,0.4960000000000001
2011,Chris Baryla,,,,,,,,,,68000.0,219,
2011,Chris Couch,0.45,0.606,-0.345,-0.208,0.397,296.8,64.96,64.99,70.595,922496.0,94,0.05300000000000002
2011,Chris DiMarco,-0.021,-0.313,0.383,0.053,-0.145,277.9,66.67,65.11,70.909,761932.0,104,0.123
2011,Chris Kirk,0.432,-0.118,0.611,0.142,-0.202,295.7,56.47,66.67,70.414,1877627.0,42,0.635
2011,Chris Riley,-0.091,-0.087,-0.301,0.59,-0.292,279.3,70.19,64.81,71.143,397204.0,140,0.20199999999999996
2011,Chris Stroud,0.057,-0.06,0.23,0.041,-0.155,291.2,60.03,67.0,70.838,1096499.0,61,0.21100000000000002
2011,Chris Tidland,,,,,,,,,,122985.0,222,
2011,Colt Knost,-0.667,-0.229,-0.672,-0.037,0.271,279.0,66.02,62.01,71.747,296817.0,156,-0.9380000000000001
2011,Corey Pavin,,,,,,,,,,42376.0,226,
2011,Craig Barlow,,,,,,,,,,49688.0,225,
2011,Craig Bowden,,,,,,,,,,,239,
2011,D.A. Points,0.297,0.044,-0.097,0.124,0.227,287.4,66.45,64.92,70.621,2034156.0,56,0.071
2011,D.J. Brigman,-1.053,-0.606,-0.119,-0.083,-0.245,290.2,55.27,60.92,71.803,191491.0,185,-0.8079999999999999
2011,D.J. Trahan,0.169,0.565,0.405,0.015,-0.815,298.6,59.81,68.99,70.87,668166.0,106,0.985
2011,Daniel Chopra,,,,,,,,,,15411.0,239,
