RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,YTD VICTORIES
1,0,46046,Scottie Scheffler,$27659550,6
2,0,30911,Tommy Fleetwood,$18496238,1
3,0,28237,Rory McIlroy,$16992418,3
4,0,34098,Russell Henley,$14707570,1
5,0,39324,J.J. Spaun,$13278222,1
6,0,54591,Ben Griffin,$11724352,3
7,0,33448,Justin Thomas,$10896155,1
8,0,49960,Sepp Straka,$10650894,2
9,0,35450,Patrick Cantlay,$9441931
10,0,22405,Justin Rose,$8857976,1
11,0,34099,Harris English,$8840132,1
12,0,57366,Cameron Young,$8789813,1
13,0,33141,Keegan Bradley,$8702812,1
14,0,52215,Robert MacIntyre,$8467191
15,0,46442,Maverick McNealy,$8322575
16,0,52955,Ludvig Åberg,$8276973,1
17,0,39997,Corey Conners,$8167903
18,0,50525,Collin Morikawa,$7915347
19,0,51997,Andrew Novak,$7788219,1
20,0,33204,Shane Lowry,$7082794
21,0,47504,Sam Burns,$6801982
22,0,32839,Hideki Matsuyama,$6650152,1
23,0,46717,Viktor Hovland,$5824239,1
24,0,27644,Brian Harman,$5547660,1
25,0,25493,Nick Taylor,$5431209,1
26,0,39971,Sungjae Im,$5082896
27,0,56630,Akshay Bhatia,$4882187
28,0,59095,Chris Gotterup,$4844784,1
29,0,48081,Xander Schauffele,$4839866,1
30,0,60004,Jacob Bridgeman,$4437269
31,0,25900,Lucas Glover,$4397743
32,0,55893,Sam Stevens,$4392752
33,0,57975,Harry Hall,$4309601
34,0,35532,Tom Hoge,$4201600
35,0,37455,Si Woo Kim,$4184686
36,0,40026,Daniel Berger,$4115448
37,0,39975,Michael Kim,$4105211
38,0,29936,Ryan Fox,$3981947,2
39,0,40250,Taylor Pendrith,$3978452
40,0,59018,Ryan Gerard,$3872916,1
41,0,47993,Denny McCarthy,$3871251
42,0,40098,Matt Fitzpatrick,$3831413
43,0,51977,Max Greyserman,$3798185
44,0,28089,Jason Day,$3740375
45,0,33653,Thomas Detry,$3651876,1
46,0,48117,Kurt Kitayama,$3476376,1
47,0,32102,Rickie Fowler,$3441954
48,0,52666,Sami Valimaki,$3388761,1
49,0,46443,Brian Campbell,$3370767,2
50,0,34021,Bud Cauley,$3321090
51,0,37378,Min Woo Lee,$3301286,1
52,0,46414,Aaron Rai,$3274601
53,0,49771,J.T. Poston,$3233502
54,0,34046,Jordan Spieth,$3159660
55,0,63343,Aldrich Potgieter,$3038146,1
56,0,47420,Jake Knapp,$3012401
57,0,30926,Chris Kirk,$2964600
58,0,51349,Nico Echavarria,$2891343
59,0,51766,Wyndham Clark,$2883112
60,0,60067,Joe Highsmith,$2820859,1
61,0,27064,Jhonattan Vegas,$2795198
62,0,36699,Patrick Rodgers,$2793088
63,0,36799,Stephan Jaeger,$2684801
64,0,33948,Byeong Hun An,$2652079
65,0,29725,Tony Finau,$2551493
66,0,45242,Kevin Yu,$2536810
67,0,51696,Rico Hoey,$2536072
68,0,51950,Max McGreevy,$2522721
69,0,35506,Mackenzie Hughes,$2497976
70,0,47995,Davis Riley,$2496448
71,0,54421,Garrick Higgo,$2448383,1
72,0,58168,Davis Thompson,$2439587
73,0,45522,Christiaan Bezuidenhout,$2434490
74,0,47591,Eric Cole,$2369702
75,0,46340,Alex Smalley,$2337573
76,0,31646,Emiliano Grillo,$2315983
77,0,59141,Matt McCarty,$2308452
78,0,48867,Matti Schmid,$2303222
79,0,57364,Michael Thorbjornsen,$2286658
80,0,40006,Erik van Rooyen,$2142196
81,0,52686,Rasmus Højgaard,$2103443
82,0,45157,Cam Davis,$2093245
83,0,31323,Gary Woodland,$2044795
84,0,47347,Adam Schenk,$2016294,1
85,0,39546,Keith Mitchell,$2014835
86,0,52453,Nicolai Højgaard,$1897477
87,0,51894,Vince Whaley,$1869447
88,0,51287,Ryo Hisatsune,$1835136
89,0,57123,Steven Fisk,$1804525,1
90,0,24502,Adam Scott,$1803164
91,0,36801,Mark Hubbard,$1763551
92,0,59143,Mac Meissner,$1762863
93,0,39335,Kevin Roy,$1734139
94,0,57362,Austin Eckroat,$1675705
95,0,39977,Max Homa,$1636827
96,0,54628,Lee Hodges,$1617203
97,0,63121,William Mouw,$1597314,1
98,0,48887,Matt Wallace,$1570460
99,0,54607,Danny Walker,$1561918
100,0,35461,Beau Hossler,$1533612
101,0,57900,Chandler Phillips,$1518764
102,0,55182,Tom Kim,$1496889
103,0,47983,Chad Ramey,$1490602
104,0,29420,Billy Horschel,$1483614
105,0,54304,Karl Vilips,$1479028,1
106,0,47917,Takumi Kanaya,$1463762
107,0,59440,Ricky Castillo,$1444455
108,0,33968,Thorbjørn Olesen,$1438925
109,0,49947,Taylor Moore,$1424004
110,0,36326,David Lipsky,$1411093
111,0,54576,Patrick Fishburn,$1408119
112,0,34256,Andrew Putnam,$1371617
113,0,56781,Isaiah Salinda,$1363322
114,0,27349,Alex Noren,$1346680
115,0,28252,Seamus Power,$1318706
116,0,37275,Sam Ryder,$1314035
117,0,23108,Matt Kuchar,$1310380
118,0,40162,Justin Lower,$1299525
119,0,57586,Jesper Svensson,$1292826
120,0,60019,Jackson Suber,$1254486
121,0,34076,Joel Dahmen,$1231952
122,0,27649,Brandt Snedeker,$1192940
123,0,61522,Michael Brennan,$1192399,1
124,0,52375,Doug Ghim,$1190108
125,0,35658,Kris Ventura,$1180201
126,0,59836,Pierceson Coody,$1171494
127,0,59866,Nick Dunlap,$1170325
128,0,49590,Frankie Capan III,$1108327
129,0,33399,Adam Hadwin,$1079946
130,0,52513,Carson Young,$1060007
131,0,35310,Lanto Griffin,$1037926
132,0,50484,Hayden Springer,$1031846
133,0,30163,Henrik Norlander,$1015479
134,0,38991,Alejandro Tosti,$1010144
135,0,34587,Chan Kim,$1007294
136,0,47483,Will Zalatoris,$1001003
137,0,51634,Sahith Theegala,$977539
138,0,24024,Zach Johnson,$918478
139,0,33597,Harry Higgs,$908846
140,0,36824,Paul Peterson,$848337
141,0,55789,Taylor Montgomery,$824353
142,0,50582,Jeremy Paul,$823634
143,0,56762,Will Gordon,$808904
144,0,55165,Noah Goodwin,$796403
145,0,27139,David Skinns,$783457
146,0,51890,Greyson Sigg,$777250
147,0,39327,Ben Silverman,$766836
148,0,52372,Cameron Champ,$761464
149,0,27770,Camilo Villegas,$733788
150,0,45523,Thriston Lawrence,$728082
151,0,12716,Charley Hoffman,$715102
152,0,46646,Antoine Rozner,$710529
153,0,40058,Zac Blair,$663124
