RANK,MOVEMENT,PLAYER_ID,PLAYER,FINISH POSITION,# OF WINS,# OF TOP-10S
130,0,28252,Seamus Power,279,0,2,7177
131,0,50582,Jeremy Paul,271,0,1,7185
132,0,52372,Cameron Champ,271,0,1,7185
133,0,47347,Adam Schenk,258,1,3,7198
134,0,47917,Takumi Kanaya,257,0,4,7199
135,0,59866,Nick Dunlap,255,0,2,7201
136,0,33399,Adam Hadwin,254,0,1,7202
137,0,27139,David Skinns,254,0,3,7202
138,0,47483,Will Zalatoris,249,0,0,7207
139,0,59836,Pierceson Coody,248,0,2,7208
140,0,57123,Steven Fisk,246,1,2,7210
141,0,56762,Will Gordon,235,0,2,7221
142,0,35310,Lanto Griffin,234,0,2,7222
143,0,12716,Charley Hoffman,231,0,2,7225
144,0,55165,Noah Goodwin,219,0,1,7237
145,0,58605,Quade Cummins,217,0,0,7239
146,0,28775,Nate Lashley,217,0,0,7239
147,0,51634,Sahith Theegala,209,0,0,7247
148,0,46646,Antoine Rozner,207,0,0,7249
149,0,45523,Thriston Lawrence,206,0,1,7250
150,0,33199,Matteo Manassero,199,0,1,7257
151,0,29535,Brice Garnett,199,0,0,7257
152,0,55789,Taylor Montgomery,198,0,2,7258
153,0,36884,Ben Kohles,198,0,1,7258
154,0,49590,Frankie Capan III,191,0,3,7265
155,0,34255,Joseph Bramlett,176,0,1,7280
156,0,46601,Trey Mullinax,176,0,0,7280
157,0,27129,Luke List,175,0,2,7281
158,0,32139,Danny Willett,168,0,1,7288
159,0,58933,Will Chandler,165,0,1,7291
160,0,51890,Greyson Sigg,164,0,1,7292
161,0,35706,Niklas Norgaard,162,0,1,7294
162,0,40115,Adam Svensson,158,0,0,7298
163,0,39327,Ben Silverman,157,0,1,7299
164,0,27770,Camilo Villegas,150,0,2,7306
165,0,47988,Nick Hardy,145,0,1,7311
166,0,48153,Matthieu Pavon,144,0,0,7312
167,0,60882,Thomas Rosenmueller,144,0,0,7312
168,0,51690,Taylor Dickson,135,0,1,7321
169,0,29221,Webb Simpson,131,0,0,7325
170,0,54783,Dylan Wu,129,0,1,7327
171,0,59160,John Pak,121,0,1,7335
172,0,40058,Zac Blair,104,0,2,7352
173,0,55708,Hayden Buckley,100,0,2,7356
174,0,33413,Ben Martin,99,0,1,7357
175,0,52514,Trace Crowe,93,0,1,7363
176,0,39859,Cristobal Del Solar,88,0,0,7368
177,0,64693,Matthew Riedel,87,0,0,7369
178,0,49453,Trevor Cone,83,0,1,7373
179,0,34466,Peter Malnati,80,0,0,7376
180,0,32757,Patton Kizzire,72,0,0,7384
181,0,32791,K.H. Lee,71,0,1,7385
182,0,54328,Norman Xiong,69,0,0,7387
183,0,47056,Rikuya Hoshino,68,0,1,7388
184,0,58619,Kevin Velo,68,0,1,7388
185,0,29478,Kevin Kisner,67,0,1,7389
186,0,22371,Aaron Baddeley,64,0,0,7392
187,0,54813,Philip Knowles,64,0,0,7392
188,0,32070,Rafael Campos,63,0,0,7393
189,0,51070,Vincent Norrman,63,0,0,7393
190,0,52144,Braden Thornberry,57,0,1,7399
191,0,36871,Matt NeSmith,56,0,0,7400
192,0,29908,C.T. Pan,55,0,0,7401
193,0,27214,Kevin Streelman,55,0,0,7401
194,0,25818,Scott Piercy,53,0,0,7403
195,0,34563,Chesson Hadley,53,0,0,7403
196,0,27936,Martin Laird,49,0,0,7407
197,0,52370,Mason Andersen,43,0,0,7413
198,0,55623,Kaito Onishi,42,0,0,7414
199,0,66743,Luke Clanton,41,0,0,7415
200,0,32448,James Hahn,38,0,0,7418
201,0,25198,Francesco Molinari,35,0,0,7421
202,0,46435,Austin Cook,35,0,0,7421
203,0,24925,Jonathan Byrd,32,0,0,7424
204,0,48084,Wesley Bryan,31,0,0,7425
205,0,64442,Gordon Sargent,29,0,0,7427
206,0,23320,Ryan Palmer,26,0,0,7430
