year,player_name,final_season_rank
2015,Jordan Spieth,1
2015,Henrik Stenson,2
2015,Jason Day,3
2015,Rickie Fowler,4
2015,Bubba Watson,5
2015,Zach Johnson,6
2015,Dustin Johnson,7
2015,Justin Rose,8
2015,Danny Lee,9
2015,Charley Hoffman,10
2015,Daniel Berger,11
2015,Patrick Reed,12
2015,Paul Casey,13
2015,J.B. Holmes,14
2015,Rory McIlroy,15
2015,Hideki Matsuyama,16
2015,Jimmy Walker,16
2015,Robert Streb,18
2015,Matt Kuchar,19
2015,Steven Bowditch,20
2015,Kevin Kisner,21
2015,Scott Piercy,22
2015,Brandt Snedeker,23
2015,Brooks Koepka,24
2015,Kevin Na,25
2015,Sangmoon Bae,26
2015,Bill Haas,27
2015,Harris English,28
2015,Jim Furyk,29
2015,Louis Oosthuizen,30
2015,Daniel Summerhays,31
2015,Justin Thomas,32
2015,Matt Jones,33
2015,Russell Knox,34
2015,Ben Martin,35
2015,Cameron Tringale,36
2015,David Lingmerth,37
2015,Ryan Palmer,38
2015,Ryan Moore,39
2015,Jason Bohn,40
2015,Gary Woodland,41
2015,Sean O'Hair,42
2015,Tony Finau,43
2015,Chris Kirk,44
2015,Pat Perez,45
2015,Brendon Todd,46
2015,Brendon de Jonge,47
2015,Webb Simpson,48
2015,Hunter Mahan,49
2015,Brendan Steele,50
2015,James Hahn,51
2015,Kevin Chappell,52
2015,Sergio Garcia,53
2015,Shawn Stefani,54
2015,David Hearn,55
2015,Troy Merritt,56
2015,Brian Harman,57
2015,Nick Watney,58
2015,Zac Blair,59
2015,Keegan Bradley,60
2015,Phil Mickelson,61
2015,George McNeill,62
2015,Russell Henley,63
2015,Fabián Gómez,64
2015,Rory Sabbatini,65
2015,Billy Horschel,66
2015,Ian Poulter,67
2015,Jerry Kelly,68
2015,William McGirt,69
2015,Bryce Molder,70
2015,Alex Cejka,71
2015,Marc Leishman,72
2015,John Senden,73
2015,Jim Herman,74
2015,Kevin Streelman,75
2015,Boo Weekley,76
2015,Carl Pettersson,77
2015,Kyle Reifers,78
2015,Charles Howell III,79
2015,Luke Donald,80
2015,Hudson Swafford,81
2015,Spencer Levin,82
2015,Scott Pinckney,83
2015,Camilo Villegas,84
2015,Morgan Hoffmann,85
2015,Davis Love III,86
2015,Johnson Wagner,87
2015,Jason Dufner,88
2015,Matt Every,89
2015,J.J. Henry,90
2015,Colt Knost,91
2015,Jason Gore,92
2015,Carlos Ortiz,93
2015,Scott Brown,94
2015,Mark Wilson,95
2015,Chad Campbell,96
2015,Will Wilcox,97
2015,Chesson Hadley,98
2015,Martin Laird,99
2015,Jason Kokrak,100
2015,Nick Taylor,101
2015,Stewart Cink,102
2015,Padraig Harrington,103
2015,Greg Owen,104
2015,John Peterson,105
2015,Adam Scott,106
2015,Adam Hadwin,107
2015,Charl Schwartzel,108
2015,Lee Westwood,109
2015,John Huh,110
2015,Francesco Molinari,111
2015,Graham DeLaet,112
2015,Jon Curran,113
2015,Steve Wheatcroft,114
2015,Andres Gonzales,115
2015,Chris Stroud,116
2015,Ken Duke,117
2015,Retief Goosen,118
2015,Vijay Singh,119
2015,Chad Collins,120
2015,Tim Clark,121
2015,Ryo Ishikawa,122
2015,Jonas Blixt,123
2015,Erik Compton,124
2015,Jeff Overton,125
2015,Will MacKenzie,126
2015,Scott Langley,127
2015,Brian Stuard,128
2015,Scott Stallings,129
2015,Jamie Donaldson,130
2015,Nicholas Thompson,131
2015,Tom Hoge,132
2015,Alex Prugh,133
2015,S.Y. Noh,134
2015,Sung Joon Park,135
2015,Billy Hurley III,136
2015,Sam Saunders,137
2015,Michael Putnam,138
2015,Martin Kaymer,139
2015,Brice Garnett,140
2015,Whee Kim,141
2015,Tom Gillis,142
2015,Brian Davis,143
2015,David Toms,144
2015,Blayne Barber,145
2015,Michael Thompson,146
2015,Lucas Glover,147
2015,Luke Guthrie,148
2015,Charlie Beljan,149
2015,Cameron Percy,150
