year,player_name,driving_accuracy
2008,Olin Browne,80.42
2008,Omar Uresti,74.85
2008,Heath Slocum,73.95
2008,Bart Bryant,73.87
2008,Zach Johnson,73.73
2008,Scott Verplank,73.57
2008,Robert Gamez,73.36
2008,Joe Durant,73.05
2008,Chez Reavie,72.56
2008,Brian Davis,72.47
2008,Jeff Gove,72.43
2008,Nick O'Hern,72.27
2008,Billy Mayfair,72.16
2008,Ron Whittaker,72.07
2008,Gavin Coles,71.99
2008,Kent Jones,71.81
2008,Brian Gay,71.74
2008,Paul Claxton,70.96
2008,Paul Goydos,70.85
2008,Mark Wilson,70.73
2008,Shane Bertsch,70.54
2008,Steve Elkington,70.43
2008,Ryan Armour,69.88
2008,Jay Williamson,69.73
2008,Michael Allen,69.45
2008,John Mallinger,69.39
2008,Craig Kanada,69.38
2008,Jim Furyk,69.37
2008,Corey Pavin,69.22
2008,Scott McCarron,69.2
2008,John Riegger,69.09
2008,Glen Day,69.02
2008,Jin Park,68.79
2008,Greg Kraft,68.71
2008,John Senden,68.2
2008,Kenneth Ferrie,68.13
2008,Doug LaBelle II,68.06
2008,John Rollins,67.94
2008,Kevin Na,67.8
2008,Justin Leonard,67.72
2008,Jason Gore,67.71
2008,Cameron Beckman,67.64
2008,Ben Crane,67.64
2008,Bob Tway,67.34
2008,Charlie Wi,67.33
2008,Jonathan Byrd,67.31
2008,Ben Curtis,67.2
2008,Rich Beem,66.93
2008,Stephen Leaney,66.91
2008,Jeff Maggert,66.89
2008,Todd Hamilton,66.87
2008,Nicholas Thompson,66.85
2008,Tim Wilkinson,66.72
2008,Tim Petrovic,66.53
2008,Chris Riley,66.5
2008,Bob Estes,66.48
2008,Patrick Sheehan,66.48
2008,Chris Stroud,66.38
2008,Jerry Kelly,66.21
2008,Woody Austin,66.19
2008,Briny Baird,66.03
2008,Hunter Mahan,66.02
2008,Scott Sterling,66.0
2008,Peter Lonard,65.91
2008,John Huston,65.88
2008,Justin Bolli,65.74
2008,Ryan Moore,65.74
2008,Chad Campbell,65.68
2008,Rod Pampling,65.65
2008,Robert Allenby,65.64
2008,J.J. Henry,65.6
2008,David Toms,65.58
2008,Matt Kuchar,65.53
2008,Mark Calcavecchia,65.44
2008,Charles Warren,65.43
2008,Alex Cejka,65.42
2008,Todd Demsey,65.38
2008,D.J. Trahan,65.31
2008,Marc Turnesa,65.31
2008,John Merrick,65.23
2008,Joe Ogilvie,65.2
2008,Frank Lickliter II,64.99
2008,Tim Clark,64.98
2008,Mathew Goggin,64.91
2008,Boo Weekley,64.75
2008,Rocco Mediate,64.66
2008,Tom Lehman,64.53
2008,Michael Letzig,64.44
2008,Richard Johnson,64.18
2008,Tom Pernice Jr.,63.99
2008,Steve Marino,63.84
2008,Jim McGovern,63.65
2008,Y.E. Yang,63.43
2008,Tom Scherrer,63.36
2008,Tommy Armour III,63.35
2008,Charley Hoffman,63.35
2008,Pat Perez,63.27
2008,J.P. Hayes,63.24
2008,Chris DiMarco,63.12
2008,Ryan Palmer,62.94
2008,Lee Janzen,62.91
2008,Mathias Grönberg,62.77
2008,Stephen Ames,62.72
2008,Nick Flanagan,62.66
2008,Will MacKenzie,62.6
2008,Mike Weir,62.46
2008,Trevor Immelman,62.45
2008,Kyle Thompson,62.44
2008,Paul Casey,62.43
2008,Vaughn Taylor,62.4
2008,Alejandro Cañizares,62.36
2008,Ken Duke,62.27
2008,Cliff Kresge,62.26
2008,Martin Laird,62.25
2008,Kevin Streelman,62.21
2008,Bo Van Pelt,62.06
2008,Kevin Stadler,62.01
2008,Rory Sabbatini,61.99
2008,Jeff Quinney,61.98
2008,Kenny Perry,61.97
2008,Kevin Sutherland,61.93
2008,Brett Quigley,61.76
2008,Dean Wilson,61.7
2008,Brad Elder,61.67
2008,Lucas Glover,61.54
2008,K.J. Choi,61.38
2008,Troy Matteson,61.36
2008,Nick Watney,61.21
2008,Dudley Hart,61.18
2008,Ted Purdy,61.14
2008,Tim Herron,61.1
2008,David Lutterus,61.06
2008,Johnson Wagner,61.02
2008,Steve Flesch,60.98
2008,Bob Sowards,60.89
2008,Jesper Parnevik,60.85
2008,Brandt Snedeker,60.51
2008,Sean O'Hair,60.44
2008,Jason Day,60.39
2008,Harrison Frazar,60.11
2008,Marco Dawson,60.1
2008,Bill Haas,59.95
2008,Freddie Jacobson,59.95
2008,Steve Lowery,59.92
2008,Carl Pettersson,59.87
2008,Ian Poulter,59.77
2008,Ryuji Imada,59.64
2008,Tommy Gainey,59.53
2008,Nathan Green,59.5
2008,Aaron Baddeley,59.45
2008,Vijay Singh,59.45
2008,George McNeill,59.42
2008,Sergio Garcia,59.39
2008,Padraig Harrington,59.37
2008,Billy Andrade,59.35
2008,Chad Collins,58.98
2008,Parker McLachlin,58.84
2008,Jon Mills,58.38
2008,Anthony Kim,58.34
2008,Mark Hensby,58.32
2008,Steve Allan,58.25
2008,Davis Love III,58.22
2008,Carlos Franco,58.2
2008,Stuart Appleby,58.19
2008,Geoff Ogilvy,58.18
2008,Camilo Villegas,58.15
2008,Brad Adamonis,58.1
2008,Tag Ridings,58.08
2008,Fred Couples,57.49
2008,Brenden Pappas,57.49
2008,Cody Freeman,57.18
2008,Shigeki Maruyama,57.14
2008,Ernie Els,56.88
2008,Retief Goosen,56.79
2008,Charles Howell III,56.78
2008,Eric Axley,56.39
2008,Brandt Jobe,56.35
2008,Steve Stricker,56.25
2008,Robert Garrigus,56.23
2008,Brett Rumford,56.04
2008,Stewart Cink,55.27
2008,Phil Mickelson,55.27
2008,Bubba Watson,55.16
2008,Jason Allred,55.05
2008,Adam Scott,54.66
2008,Matt Jones,54.5
2008,Jeff Overton,54.31
2008,James Driscoll,53.51
2008,Travis Perkins,53.44
2008,Dustin Johnson,53.05
2008,Andres Romero,52.83
2008,Jimmy Walker,52.82
2008,Daniel Chopra,52.76
2008,J.B. Holmes,52.4
2008,Ángel Cabrera,51.11
2008,David Duval,49.01
