year,player_name,greens_in_regulation
2025,Michael Thorbjornsen,73.56
2025,Rico Hoey,73.11
2025,Ben Kohles,72.88
2025,Pierceson Coody,72.22
2025,Thomas Rosenmueller,72.22
2025,Steven Fisk,71.67
2025,Thorbjørn Olesen,71.65
2025,Garrick Higgo,71.64
2025,Victor Perez,71.61
2025,Patrick Fishburn,71.58
2025,Scottie Scheffler,71.39
2025,Lee Hodges,71.23
2025,Doug Ghim,70.74
2025,Kevin Yu,70.67
2025,Nick Hardy,70.63
2025,William Mouw,70.62
2025,Luke Clanton,70.59
2025,Aaron Rai,70.52
2025,Keith Mitchell,70.5
2025,Nicolai Højgaard,70.41
2025,Greyson Sigg,70.35
2025,Chris Gotterup,70.33
2025,Andrew Putnam,70.26
2025,Sepp Straka,70.18
2025,Brice Garnett,70.1
2025,Russell Henley,70.06
2025,Patrick Cantlay,70.05
2025,Trevor Cone,69.97
2025,Niklas Norgaard,69.92
2025,Antoine Rozner,69.85
2025,Trey Mullinax,69.76
2025,Ben Griffin,69.66
2025,Kris Ventura,69.58
2025,Joseph Bramlett,69.57
2025,J.J. Spaun,69.54
2025,Carson Young,69.52
2025,Ricky Castillo,69.51
2025,Davis Thompson,69.51
2025,Adam Svensson,69.48
2025,Will Gordon,69.44
2025,Ryo Hisatsune,69.44
2025,Zach Johnson,69.27
2025,Collin Morikawa,69.23
2025,Corey Conners,69.2
2025,Jeremy Paul,69.14
2025,Joel Dahmen,69.04
2025,Henrik Norlander,69.02
2025,Sami Valimaki,69.02
2025,Taylor Pendrith,68.97
2025,Seamus Power,68.97
2025,Kevin Roy,68.97
2025,Nick Taylor,68.9
2025,Isaiah Salinda,68.87
2025,Max McGreevy,68.77
2025,Alex Smalley,68.73
2025,Chad Ramey,68.67
2025,Robert MacIntyre,68.65
2025,Matti Schmid,68.62
2025,Austin Eckroat,68.6
2025,David Skinns,68.59
2025,Emiliano Grillo,68.52
2025,Ben Martin,68.45
2025,Vince Whaley,68.39
2025,Jackson Suber,68.37
2025,Daniel Berger,68.21
2025,Matthew Riedel,68.18
2025,Maverick McNealy,68.14
2025,Chris Kirk,68.02
2025,Hayden Buckley,68.01
2025,Noah Goodwin,68.0
2025,Taylor Moore,67.95
2025,Zac Blair,67.94
2025,Kurt Kitayama,67.79
2025,Karl Vilips,67.74
2025,Jesper Svensson,67.73
2025,Rory McIlroy,67.72
2025,Matt Wallace,67.72
2025,Chan Kim,67.7
2025,Jake Knapp,67.6
2025,Gary Woodland,67.54
2025,Akshay Bhatia,67.5
2025,Mark Hubbard,67.48
2025,David Lipsky,67.48
2025,Ben Silverman,67.43
2025,Mac Meissner,67.39
2025,Paul Peterson,67.36
2025,Nate Lashley,67.3
2025,Viktor Hovland,67.26
2025,Nico Echavarria,67.23
2025,Luke List,67.19
2025,John Pak,67.19
2025,Justin Lower,67.15
2025,Thriston Lawrence,67.09
2025,Shane Lowry,67.06
2025,Xander Schauffele,66.93
2025,Kevin Velo,66.92
2025,Lanto Griffin,66.9
2025,Erik van Rooyen,66.83
2025,Jhonattan Vegas,66.82
2025,Matt McCarty,66.8
2025,Rasmus Højgaard,66.75
2025,Brandt Snedeker,66.75
2025,Matt Fitzpatrick,66.74
2025,Harris English,66.67
2025,Si Woo Kim,66.67
2025,Patton Kizzire,66.58
2025,Christiaan Bezuidenhout,66.54
2025,Denny McCarthy,66.41
2025,Max Homa,66.36
2025,Matt Kuchar,66.34
2025,Takumi Kanaya,66.32
2025,Patrick Rodgers,66.21
2025,Sam Stevens,66.2
2025,Ludvig Åberg,66.18
2025,Quade Cummins,66.18
2025,J.T. Poston,66.18
2025,Adam Hadwin,66.16
2025,Sam Burns,66.08
2025,Adam Scott,66.08
2025,Tim Widing,66.06
2025,Keegan Bradley,66.04
2025,Jason Day,66.04
2025,Bud Cauley,65.92
2025,Sam Ryder,65.91
2025,Hayden Springer,65.9
2025,Wyndham Clark,65.85
2025,Tommy Fleetwood,65.84
2025,Byeong Hun An,65.76
2025,Ryan Gerard,65.76
2025,Hideki Matsuyama,65.7
2025,Brian Harman,65.67
2025,Sahith Theegala,65.56
2025,Mackenzie Hughes,65.53
2025,Matthieu Pavon,65.45
2025,Lucas Glover,65.41
2025,Max Greyserman,65.41
2025,Nick Dunlap,65.39
2025,Rickie Fowler,65.3
2025,Justin Thomas,65.28
2025,Harry Higgs,65.24
2025,Jacob Bridgeman,65.19
2025,Thomas Detry,65.18
2025,Adam Schenk,65.08
2025,Chandler Phillips,65.05
2025,Harry Hall,65.01
2025,Michael Kim,64.99
2025,Danny Walker,64.98
2025,Matteo Manassero,64.96
2025,Tony Finau,64.95
2025,Stephan Jaeger,64.79
2025,Rikuya Hoshino,64.74
2025,Jordan Spieth,64.62
2025,Aldrich Potgieter,64.55
2025,Alejandro Tosti,64.53
2025,Beau Hossler,64.48
2025,Camilo Villegas,64.24
2025,Ryan Fox,64.21
2025,Mason Andersen,64.19
2025,Cameron Young,64.18
2025,Eric Cole,64.07
2025,Justin Rose,63.98
2025,Cristobal Del Solar,63.85
2025,Braden Thornberry,63.84
2025,Min Woo Lee,63.8
2025,Taylor Dickson,63.6
2025,Taylor Montgomery,63.55
2025,Tom Kim,63.5
2025,Will Chandler,63.41
2025,Kaito Onishi,63.15
2025,Davis Riley,63.11
2025,Rafael Campos,62.94
2025,Tom Hoge,62.86
2025,Sungjae Im,62.6
2025,Cam Davis,62.59
2025,Ryan Palmer,62.0
2025,Joe Highsmith,61.65
2025,Andrew Novak,61.55
2025,Peter Malnati,61.46
2025,Brian Campbell,61.19
2025,Frankie Capan III,60.06
