year,player_name,driving_accuracy
2007,José Coceres,75.47
2007,Fred Funk,75.26
2007,Jim Furyk,74.37
2007,Michael Boyd,74.34
2007,Joe Durant,73.71
2007,Heath Slocum,73.28
2007,Craig Bowden,73.07
2007,Zach Johnson,73.05
2007,Brian Gay,72.9
2007,Mark Brooks,72.81
2007,Doug LaBelle II,72.78
2007,Jay Williamson,72.57
2007,Brian Davis,71.96
2007,Steve Elkington,71.84
2007,Tom Byrum,71.75
2007,Scott Verplank,71.42
2007,Chris Riley,71.39
2007,Billy Mayfair,70.7
2007,Bart Bryant,70.66
2007,Glen Day,70.42
2007,Kirk Triplett,70.39
2007,Ryan Armour,70.31
2007,Gavin Coles,70.27
2007,Tommy Armour III,70.17
2007,Justin Leonard,70.05
2007,John Mallinger,69.91
2007,Robert Gamez,69.28
2007,Tim Clark,68.95
2007,Paul Goydos,68.83
2007,Corey Pavin,68.82
2007,Jaco Van Zyl,68.61
2007,Kent Jones,68.46
2007,Darron Stiles,68.35
2007,Jerry Kelly,68.28
2007,Luke Donald,68.15
2007,Alex Cejka,68.08
2007,Hunter Mahan,68.05
2007,Rocco Mediate,67.76
2007,Shaun Micheel,67.72
2007,Cameron Beckman,67.7
2007,Ken Duke,67.5
2007,Daisuke Maruyama,67.42
2007,Ben Curtis,67.37
2007,Mathew Goggin,67.36
2007,Jim Rutledge,67.27
2007,Mark Wilson,67.1
2007,Stephen Ames,67.07
2007,Anders Hansen,66.95
2007,Tom Pernice Jr.,66.83
2007,Charles Warren,66.81
2007,Peter Lonard,66.7
2007,Charlie Wi,66.59
2007,Chris Stroud,66.56
2007,Steve Wheatcroft,66.29
2007,Briny Baird,66.24
2007,Matt Kuchar,66.2
2007,Jeff Brehaut,66.04
2007,Jeff Quinney,65.99
2007,Craig Kanada,65.96
2007,John Senden,65.91
2007,Stephen Leaney,65.82
2007,David Branshaw,65.74
2007,Jeff Maggert,65.73
2007,Jeff Gove,65.67
2007,Frank Lickliter II,65.64
2007,Richard Johnson,65.56
2007,Paul Gow,65.51
2007,D.J. Trahan,65.36
2007,Joey Sindelar,65.29
2007,Bob Estes,65.28
2007,Rich Beem,65.25
2007,Jason Bohn,65.2
2007,Mark Calcavecchia,65.09
2007,Duffy Waldorf,64.88
2007,Trevor Immelman,64.85
2007,David Toms,64.85
2007,John Rollins,64.81
2007,Bob Heintz,64.74
2007,K.J. Choi,64.71
2007,Sean O'Hair,64.71
2007,Boo Weekley,64.65
2007,Kenny Perry,64.61
2007,Tom Johnson,64.57
2007,Tripp Isenhour,64.37
2007,Michael Allen,64.31
2007,Ted Purdy,64.31
2007,Vaughn Taylor,64.2
2007,Johnson Wagner,64.18
2007,Lucas Glover,64.14
2007,Greg Owen,64.08
2007,Tom Lehman,64.01
2007,Ryan Moore,64.0
2007,Dean Wilson,64.0
2007,J.J. Henry,63.96
2007,Justin Rose,63.93
2007,Mike Weir,63.82
2007,Steve Stricker,63.73
2007,Jeff Overton,63.66
2007,Freddie Jacobson,63.62
2007,Steve Flesch,63.56
2007,Mark Hensby,63.45
2007,Jason Gore,63.33
2007,Steve Lowery,63.33
2007,Rod Pampling,63.33
2007,Woody Austin,63.32
2007,Craig Lile,63.27
2007,Ian Poulter,63.23
2007,Shigeki Maruyama,63.02
2007,Bill Haas,62.93
2007,Chad Campbell,62.79
2007,Nick O'Hern,62.68
2007,Dicky Pride,62.65
2007,Kevin Na,62.64
2007,Matt Hendrix,62.63
2007,Jesper Parnevik,62.31
2007,D.J. Brigman,62.2
2007,Will MacKenzie,62.11
2007,Bo Van Pelt,61.97
2007,Michael Sim,61.92
2007,Nathan Green,61.8
2007,Chris Tidland,61.8
2007,Tim Herron,61.78
2007,Arron Oberholser,61.7
2007,Bubba Dickerson,61.68
2007,John Merrick,61.41
2007,J.P. Hayes,61.26
2007,Joe Ogilvie,61.23
2007,Cliff Kresge,61.15
2007,Pat Perez,61.13
2007,Nick Watney,61.02
2007,Craig Barlow,60.97
2007,Robert Allenby,60.85
2007,Jarrod Lyle,60.84
2007,Anthony Kim,60.79
2007,Jason Dufner,60.74
2007,Steve Marino,60.71
2007,Kevin Sutherland,60.62
2007,Jason Schultz,60.61
2007,Bob Tway,60.45
2007,Stuart Appleby,60.43
2007,Kevin Stadler,60.27
2007,Camilo Villegas,60.23
2007,Tim Petrovic,60.22
2007,Steve Allan,60.05
2007,Paul Stankowski,60.03
2007,Aaron Baddeley,60.0
2007,Michael Putnam,59.97
2007,Troy Matteson,59.92
2007,Jonathan Byrd,59.84
2007,Marco Dawson,59.84
2007,George McNeill,59.84
2007,Tiger Woods,59.83
2007,Brandt Snedeker,59.8
2007,Mathias Grönberg,59.7
2007,Vijay Singh,59.66
2007,Billy Andrade,59.56
2007,Carl Pettersson,59.41
2007,Jeff Sluman,59.41
2007,Brendon de Jonge,59.2
2007,Adam Scott,59.17
2007,Kyle Reifers,59.15
2007,Rory Sabbatini,59.14
2007,Lee Janzen,59.06
2007,Chris DiMarco,59.05
2007,Geoff Ogilvy,59.02
2007,Ryuji Imada,58.77
2007,Brian Bateman,58.74
2007,J.B. Holmes,58.7
2007,Davis Love III,58.58
2007,Brett Wetterich,58.15
2007,Andrew Buckle,58.14
2007,Rich Barcelo,58.07
2007,Ryan Palmer,57.92
2007,Padraig Harrington,57.52
2007,Tag Ridings,57.1
2007,Charley Hoffman,57.08
2007,Todd Hamilton,57.06
2007,Parker McLachlin,57.01
2007,Ernie Els,56.99
2007,Henrik Stenson,56.97
2007,Phil Mickelson,56.94
2007,Chris Couch,56.59
2007,Stewart Cink,56.47
2007,Sergio Garcia,56.28
2007,Scott Gutschewski,55.96
2007,Brett Quigley,55.9
2007,Eric Axley,55.88
2007,Bubba Watson,55.66
2007,Daniel Chopra,55.34
2007,Harrison Frazar,55.07
2007,Bryce Molder,54.82
2007,Retief Goosen,53.55
2007,Robert Garrigus,52.86
2007,José María Olazábal,50.5
2007,Charles Howell III,49.54
2007,John Daly,41.86
