year,player_name,driving_distance
2018,Rory McIlroy,319.7
2018,Trey Mullinax,318.3
2018,Tom Lovelady,315.9
2018,Tony Finau,315.1
2018,Luke List,314.6
2018,Dustin Johnson,314.0
2018,Gary Woodland,313.5
2018,Brooks Koepka,313.4
2018,Bubba Watson,313.1
2018,Keith Mitchell,312.6
2018,Justin Thomas,311.8
2018,Brendan Steele,310.3
2018,Kevin Tway,310.1
2018,Jason Day,310.0
2018,Jason Kokrak,309.5
2018,Jon Rahm,308.9
2018,Kevin Chappell,308.6
2018,Harold Varner III,308.2
2018,Byeong Hun An,307.9
2018,Robert Garrigus,307.9
2018,Nick Watney,307.5
2018,Grayson Murray,307.3
2018,Tommy Fleetwood,306.9
2018,J.B. Holmes,306.1
2018,Bryson DeChambeau,305.7
2018,Adam Schenk,305.5
2018,Ryan Palmer,305.2
2018,Xander Schauffele,304.9
2018,Adam Scott,304.6
2018,Matt Jones,304.5
2018,Paul Casey,304.3
2018,Jhonattan Vegas,303.6
2018,Tiger Woods,303.6
2018,Patrick Rodgers,303.5
2018,Justin Rose,303.5
2018,Corey Conners,303.3
2018,Jamie Lovemark,303.2
2018,Patrick Cantlay,303.1
2018,Brandon Harkins,303.1
2018,Aaron Wise,302.9
2018,Bronson Burgoon,302.8
2018,Sam Saunders,302.8
2018,Hudson Swafford,302.8
2018,Sean O'Hair,302.7
2018,Seamus Power,302.6
2018,Lanto Griffin,302.5
2018,Harris English,302.4
2018,Peter Uihlein,302.2
2018,Hideki Matsuyama,302.0
2018,Matt Atkins,301.4
2018,Ollie Schniederjans,301.4
2018,Cody Gribble,301.0
2018,Francesco Molinari,301.0
2018,Charles Howell III,300.9
2018,Shane Lowry,300.7
2018,J.T. Poston,300.7
2018,Phil Mickelson,300.3
2018,Martin Flores,300.0
2018,Chesson Hadley,300.0
2018,Beau Hossler,300.0
2018,Rickie Fowler,299.8
2018,Louis Oosthuizen,299.8
2018,Jordan Spieth,299.8
2018,Scott Stallings,299.7
2018,Keegan Bradley,299.6
2018,Shawn Stefani,299.6
2018,Charley Hoffman,299.5
