year,player_name,sg_putting
2025,Sam Burns,0.983
2025,Taylor Montgomery,0.917
2025,Harry Hall,0.881
2025,Denny McCarthy,0.679
2025,Nico Echavarria,0.666
2025,Garrick Higgo,0.661
2025,Cameron Young,0.642
2025,Sam Ryder,0.626
2025,Rory McIlroy,0.597
2025,Sami Valimaki,0.548
2025,Brandt Snedeker,0.531
2025,Frankie Capan III,0.488
2025,Christiaan Bezuidenhout,0.458
2025,Jake Knapp,0.456
2025,Zach Johnson,0.446
2025,Andrew Putnam,0.439
2025,Matt McCarty,0.435
2025,Harris English,0.418
2025,Ben Griffin,0.407
2025,Tommy Fleetwood,0.404
2025,Jacob Bridgeman,0.388
2025,Scottie Scheffler,0.382
2025,Braden Thornberry,0.38
2025,Matt Kuchar,0.37
2025,Thorbjørn Olesen,0.352
2025,Maverick McNealy,0.35
2025,Hayden Springer,0.345
2025,Justin Thomas,0.34
2025,Takumi Kanaya,0.333
2025,Matt Fitzpatrick,0.326
2025,Matti Schmid,0.304
2025,Paul Peterson,0.295
2025,Emiliano Grillo,0.286
2025,Kris Ventura,0.286
2025,Akshay Bhatia,0.277
2025,Beau Hossler,0.263
2025,Max Greyserman,0.262
2025,Vince Whaley,0.261
2025,Stephan Jaeger,0.251
2025,Robert MacIntyre,0.251
2025,Sepp Straka,0.237
2025,Danny Walker,0.235
2025,Quade Cummins,0.234
2025,Brian Campbell,0.231
2025,Gary Woodland,0.229
2025,Eric Cole,0.222
2025,Russell Henley,0.22
2025,Victor Perez,0.215
2025,Andrew Novak,0.202
2025,Ben Silverman,0.195
2025,Ryan Fox,0.193
2025,Chad Ramey,0.191
2025,Nicolai Højgaard,0.19
2025,Kevin Roy,0.186
2025,Brice Garnett,0.182
2025,Mark Hubbard,0.176
2025,William Mouw,0.176
2025,Jason Day,0.171
2025,Patrick Fishburn,0.171
2025,Min Woo Lee,0.161
2025,Niklas Norgaard,0.16
2025,Justin Rose,0.156
2025,Patrick Cantlay,0.155
2025,Davis Riley,0.155
2025,Jordan Spieth,0.152
2025,Wyndham Clark,0.142
2025,Corey Conners,0.133
2025,Nick Taylor,0.128
2025,Thomas Detry,0.126
2025,Bud Cauley,0.118
2025,Aldrich Potgieter,0.116
2025,J.J. Spaun,0.113
2025,Nick Dunlap,0.112
2025,Cristobal Del Solar,0.107
2025,Lanto Griffin,0.095
2025,Sungjae Im,0.094
2025,Rickie Fowler,0.085
2025,Camilo Villegas,0.085
2025,Noah Goodwin,0.082
2025,Kaito Onishi,0.077
2025,Max Homa,0.073
2025,Mackenzie Hughes,0.071
2025,Sam Stevens,0.059
2025,Lee Hodges,0.056
2025,Matthieu Pavon,0.053
2025,Ludvig Åberg,0.051
2025,Adam Hadwin,0.051
2025,Alex Smalley,0.043
2025,J.T. Poston,0.04
2025,Patrick Rodgers,0.04
2025,Brian Harman,0.039
2025,Trey Mullinax,0.038
2025,Matt Wallace,0.036
2025,Jackson Suber,0.035
2025,Peter Malnati,0.034
2025,Ben Martin,0.031
2025,Taylor Pendrith,0.028
2025,Jeremy Paul,0.023
2025,Kevin Yu,0.013
2025,Matteo Manassero,0.012
2025,Chris Gotterup,0.004
2025,Harry Higgs,0.002
2025,Michael Kim,-0.003
2025,Rikuya Hoshino,-0.004
2025,Cam Davis,-0.01
2025,Keith Mitchell,-0.012
2025,Chandler Phillips,-0.015
2025,Mason Andersen,-0.018
2025,Mac Meissner,-0.032
2025,Hideki Matsuyama,-0.034
2025,Austin Eckroat,-0.047
2025,Rasmus Højgaard,-0.048
2025,Adam Schenk,-0.054
2025,Keegan Bradley,-0.056
2025,Jesper Svensson,-0.056
2025,Viktor Hovland,-0.07
2025,Max McGreevy,-0.078
2025,Rafael Campos,-0.079
2025,Justin Lower,-0.085
2025,Michael Thorbjornsen,-0.091
2025,Matthew Riedel,-0.094
2025,Adam Scott,-0.1
2025,Tom Kim,-0.103
2025,Tony Finau,-0.117
2025,Carson Young,-0.12
2025,Tom Hoge,-0.122
2025,Shane Lowry,-0.123
2025,Taylor Moore,-0.124
2025,Joe Highsmith,-0.125
2025,Pierceson Coody,-0.126
2025,Nate Lashley,-0.126
2025,Aaron Rai,-0.134
2025,Ricky Castillo,-0.136
2025,Zac Blair,-0.14
2025,Daniel Berger,-0.151
2025,Luke List,-0.155
2025,Nick Hardy,-0.172
2025,Sahith Theegala,-0.18
2025,Xander Schauffele,-0.184
2025,Seamus Power,-0.201
2025,Ryo Hisatsune,-0.205
2025,David Skinns,-0.217
2025,Henrik Norlander,-0.237
2025,Joel Dahmen,-0.241
2025,Will Chandler,-0.245
2025,Tim Widing,-0.251
2025,Patton Kizzire,-0.258
2025,Luke Clanton,-0.269
2025,Kurt Kitayama,-0.269
2025,Jhonattan Vegas,-0.285
2025,Chan Kim,-0.294
2025,Davis Thompson,-0.297
2025,Chris Kirk,-0.301
2025,Ryan Gerard,-0.308
2025,Thriston Lawrence,-0.312
2025,Collin Morikawa,-0.313
2025,Lucas Glover,-0.316
2025,Antoine Rozner,-0.318
2025,David Lipsky,-0.323
2025,Trevor Cone,-0.351
2025,Si Woo Kim,-0.367
2025,Will Gordon,-0.38
2025,Taylor Dickson,-0.387
2025,Erik van Rooyen,-0.401
2025,Byeong Hun An,-0.404
2025,Karl Vilips,-0.411
2025,Greyson Sigg,-0.454
2025,Steven Fisk,-0.471
2025,Hayden Buckley,-0.513
2025,Ben Kohles,-0.529
2025,Kevin Velo,-0.531
2025,John Pak,-0.553
2025,Adam Svensson,-0.579
2025,Alejandro Tosti,-0.58
2025,Isaiah Salinda,-0.606
2025,Thomas Rosenmueller,-0.611
2025,Doug Ghim,-0.808
2025,Joseph Bramlett,-0.845
2025,Ryan Palmer,-0.871
2025,Rico Hoey,-0.97
