year,player_name,sg_approach
2023,Scottie Scheffler,1.194
2023,Collin Morikawa,1.012
2023,Xander Schauffele,0.88
2023,Jon Rahm,0.878
2023,Tony Finau,0.789
2023,Gary Woodland,0.741
2023,Rickie Fowler,0.74
2023,Rory McIlroy,0.721
2023,Tom Hoge,0.706
2023,Tom Kim,0.655
2023,Viktor Hovland,0.61
2023,Hideki Matsuyama,0.609
2023,Kevin Roy,0.574
2023,Mark Hubbard,0.572
2023,Lucas Glover,0.566
2023,Patrick Cantlay,0.564
2023,Justin Rose,0.56
2023,Russell Henley,0.556
2023,Eric Cole,0.545
2023,Russell Knox,0.54
2023,Corey Conners,0.534
2023,Ryan Moore,0.522
2023,Sepp Straka,0.509
2023,Sam Ryder,0.484
2023,Andrew Putnam,0.476
2023,Max Homa,0.475
2023,Tommy Fleetwood,0.462
2023,Shane Lowry,0.461
2023,Wyndham Clark,0.436
2023,Tyrrell Hatton,0.419
2023,Charley Hoffman,0.408
2023,Alex Smalley,0.407
2023,Akshay Bhatia,0.394
2023,Chris Kirk,0.392
2023,Aaron Rai,0.384
2023,Nick Taylor,0.37
2023,Joseph Bramlett,0.368
2023,Chez Reavie,0.367
2023,Justin Thomas,0.362
2023,Davis Riley,0.361
2023,Nicolai Hojgaard,0.36
2023,Chesson Hadley,0.343
2023,David Lipsky,0.33
2023,Si Woo Kim,0.321
2023,Nate Lashley,0.318
2023,Ben Martin,0.318
2023,J.T. Poston,0.296
2023,Adam Schenk,0.293
2023,Kurt Kitayama,0.285
2023,Adam Svensson,0.278
2023,J.J. Spaun,0.268
2023,Luke List,0.267
2023,Dylan Wu,0.253
2023,Ryan Gerard,0.25
2023,C.T. Pan,0.247
2023,Matt NeSmith,0.245
2023,Keegan Bradley,0.237
2023,Chris Stroud,0.229
2023,Michael Kim,0.224
2023,Ryan Palmer,0.223
2023,Nick Hardy,0.221
2023,Emiliano Grillo,0.213
2023,Stephan Jaeger,0.213
2023,Adam Hadwin,0.21
2023,Greyson Sigg,0.207
2023,Kevin Yu,0.204
2023,Brendon Todd,0.2
2023,Lee Hodges,0.18
2023,Sahith Theegala,0.175
2023,Doug Ghim,0.174
2023,Jordan Spieth,0.173
2023,Matt Wallace,0.172
2023,Callum Tarren,0.168
2023,Alex Noren,0.162
2023,Cam Davis,0.16
2023,Will Gordon,0.154
2023,Christiaan Bezuidenhout,0.151
2023,Kevin Streelman,0.142
2023,Harris English,0.138
2023,Robby Shelton,0.125
2023,Kevin Chappell,0.121
2023,Satoshi Kodaira,0.115
2023,Joel Dahmen,0.114
2023,Brandon Wu,0.113
2023,Denny McCarthy,0.102
2023,Jason Dufner,0.101
2023,Sungjae Im,0.095
2023,Zac Blair,0.093
2023,Ben Griffin,0.086
2023,Vincent Norrman,0.084
2023,Justin Lower,0.073
2023,Cameron Young,0.072
2023,Carson Young,0.066
2023,K.H. Lee,0.063
2023,Erik van Rooyen,0.056
2023,Peter Kuest,0.052
2023,Webb Simpson,0.051
2023,Byeong Hun An,0.048
2023,Andrew Novak,0.037
2023,Matt Kuchar,0.035
2023,Trey Mullinax,0.032
2023,Austin Eckroat,0.015
2023,Taylor Pendrith,0.014
2023,Sung Kang,0.013
2023,Brian Harman,0.008
2023,Henrik Norlander,-0.004
2023,Ludvig Åberg,-0.006
2023,Matti Schmid,-0.016
2023,Scott Piercy,-0.017
2023,Jason Day,-0.02
2023,Patton Kizzire,-0.029
2023,Taylor Moore,-0.039
2023,Martin Laird,-0.042
2023,Ryan Armour,-0.043
2023,Sam Stevens,-0.049
2023,Matt Fitzpatrick,-0.053
2023,Aaron Baddeley,-0.055
2023,Thomas Detry,-0.056
2023,William McGirt,-0.056
2023,Cody Gribble,-0.059
2023,Patrick Rodgers,-0.059
2023,Cameron Champ,-0.061
2023,David Lingmerth,-0.061
2023,Austin Smotherman,-0.063
