year,player_name,greens_in_regulation
2021,Cameron Percy,72.58
2021,Jon Rahm,71.93
2021,Emiliano Grillo,71.47
2021,Matthew NeSmith,71.09
2021,Michael Gellerman,70.8
2021,Collin Morikawa,70.8
2021,Daniel Berger,70.5
2021,Russell Knox,70.41
2021,Aaron Wise,70.35
2021,Patrick Cantlay,70.16
2021,Sergio Garcia,70.05
2021,Keegan Bradley,69.96
2021,Corey Conners,69.93
2021,Kyle Stanley,69.88
2021,Bo Hoag,69.67
2021,Doug Ghim,69.64
2021,Will Zalatoris,69.54
2021,Stewart Cink,69.44
2021,Russell Henley,69.44
2021,Martin Laird,69.44
2021,Webb Simpson,69.37
2021,Abraham Ancer,69.27
2021,Kevin Streelman,69.21
2021,Jason Kokrak,69.19
2021,Henrik Norlander,69.18
2021,Hank Lebioda,69.14
2021,Sungjae Im,69.08
2021,Joseph Bramlett,68.87
2021,Paul Casey,68.83
2021,James Hahn,68.81
2021,Jhonattan Vegas,68.81
2021,Roger Sloan,68.77
2021,Xander Schauffele,68.64
2021,Viktor Hovland,68.61
2021,Joaquin Niemann,68.57
2021,Luke List,68.41
2021,Bronson Burgoon,68.36
2021,Chris Kirk,68.35
2021,Shane Lowry,68.35
2021,Seamus Power,68.2
2021,Scott Stallings,68.2
2021,Mark Anderson,68.15
2021,Brice Garnett,68.12
2021,Sam Ryder,68.09
2021,Scottie Scheffler,68.08
2021,Kramer Hickok,68.04
2021,Brooks Koepka,68.01
2021,Sean O'Hair,67.97
2021,Bubba Watson,67.95
2021,Hudson Swafford,67.89
2021,Charley Hoffman,67.85
2021,Sam Burns,67.79
2021,Justin Thomas,67.79
2021,Harold Varner III,67.78
2021,Patton Kizzire,67.76
2021,Ryan Brehm,67.72
2021,Louis Oosthuizen,67.64
2021,Cameron Tringale,67.63
2021,Adam Schenk,67.37
2021,Will Gordon,67.36
2021,J.J. Spaun,67.36
2021,Charles Howell III,67.22
2021,Bryson DeChambeau,67.15
2021,Chez Reavie,67.13
2021,Kevin Tway,67.11
2021,Tony Finau,67.1
2021,Patrick Rodgers,67.1
2021,Luke Donald,67.06
2021,Hideki Matsuyama,67.03
2021,Carlos Ortiz,67.03
2021,Ryan Armour,67.02
2021,Josh Teater,66.9
2021,Zach Johnson,66.87
2021,Charl Schwartzel,66.86
2021,Sepp Straka,66.84
2021,Chase Seiffert,66.74
2021,Lucas Glover,66.72
2021,Brian Stuard,66.72
2021,Jason Day,66.67
2021,Jim Herman,66.67
2021,Dustin Johnson,66.67
2021,Ben Martin,66.67
2021,Sebastián Muñoz,66.67
2021,Michael Gligic,66.53
2021,Maverick McNealy,66.52
2021,Billy Horschel,66.47
2021,David Hearn,66.32
2021,Pat Perez,66.26
2021,Ben Taylor,66.22
2021,Andrew Putnam,66.1
2021,Cameron Champ,66.0
2021,Jason Dufner,65.96
2021,Justin Rose,65.95
2021,Doc Redman,65.86
2021,C.T. Pan,65.83
2021,Talor Gooch,65.8
2021,Bill Haas,65.78
2021,Si Woo Kim,65.78
2021,Rory McIlroy,65.77
2021,Harris English,65.76
2021,Chris Baker,65.74
2021,Matt Jones,65.74
2021,Marc Leishman,65.72
2021,Cameron Smith,65.72
2021,Nick Taylor,65.62
2021,Scott Piercy,65.61
2021,Camilo Villegas,65.58
2021,D.J. Trahan,65.57
2021,Tom Lewis,65.56
2021,Ryan Palmer,65.54
2021,Michael Thompson,65.54
2021,John Huh,65.52
2021,Nate Lashley,65.5
2021,Matt Kuchar,65.49
2021,Brendan Steele,65.42
2021,Nelson Ledesma,65.39
2021,Adam Scott,65.35
2021,Beau Hossler,65.34
2021,Nick Watney,65.33
2021,Cam Davis,65.31
2021,Joel Dahmen,65.24
2021,Satoshi Kodaira,65.2
2021,Vince Whaley,65.14
2021,Lanto Griffin,65.12
2021,Bo Van Pelt,65.05
2021,Mark Hubbard,64.99
2021,Kevin Kisner,64.96
2021,Matthew Wolff,64.95
2021,Brendon Todd,64.86
2021,Rory Sabbatini,64.81
2021,Danny Lee,64.78
2021,Lee Westwood,64.78
2021,Tyler McCumber,64.71
2021,Vaughn Taylor,64.67
2021,Scott Brown,64.65
2021,Troy Merritt,64.63
2021,Anirban Lahiri,64.62
2021,Keith Mitchell,64.62
2021,Chesson Hadley,64.58
2021,Jordan Spieth,64.58
2021,Robert Streb,64.57
2021,Austin Cook,64.51
2021,Brandt Snedeker,64.48
2021,Branden Grace,64.47
2021,Tommy Fleetwood,64.44
2021,Mackenzie Hughes,64.44
2021,Matt Fitzpatrick,64.39
2021,Erik van Rooyen,64.38
2021,Brian Harman,64.33
2021,Tyler Duncan,64.26
2021,K.H. Lee,64.26
2021,Kevin Na,64.11
2021,Dylan Frittelli,64.04
2021,Denny McCarthy,64.01
2021,Aaron Baddeley,63.99
2021,Rickie Fowler,63.96
2021,Matt Wallace,63.94
2021,Tyrrell Hatton,63.89
2021,Max Homa,63.89
2021,Andrew Landry,63.89
2021,Richy Werenski,63.82
2021,Rob Oppenheim,63.81
2021,Harry Higgs,63.68
2021,Rafael Campos,63.52
2021,Wyndham Clark,63.39
2021,Byeong Hun An,63.29
2021,Alex Noren,63.21
2021,Adam Long,63.03
2021,Brandon Hagy,62.99
2021,Phil Mickelson,62.99
2021,Gary Woodland,62.94
2021,K.J. Choi,62.82
2021,Peter Malnati,62.78
2021,Scott Harrington,62.73
2021,Rafa Cabrera Bello,62.69
2021,Tom Hoge,62.62
2021,Grayson Murray,62.59
2021,Rhein Gibson,62.5
2021,Ted Potter Jr.,62.5
2021,Adam Hadwin,62.44
2021,Xinjun Zhang,62.34
2021,Fabián Gómez,62.24
2021,J.T. Poston,62.24
2021,Patrick Reed,62.11
2021,Sung Kang,62.02
2021,Kris Ventura,61.98
2021,Robby Shelton,61.18
2021,Michael Kim,61.11
2021,Sebastian Cappelen,60.91
2021,Ian Poulter,60.88
2021,Brian Gay,60.71
2021,Danny Willett,60.64
2021,J.B. Holmes,60.3
2021,Jimmy Walker,57.96
2021,Hunter Mahan,57.5
2021,Martin Trainer,55.46
