year,player_name,sg_off_the_tee
2014,Rory McIlroy,1.367
2014,Bubba Watson,0.967
2014,Ryan Palmer,0.76
2014,Boo Weekley,0.732
2014,Dustin Johnson,0.73
2014,Adam Scott,0.725
2014,Louis Oosthuizen,0.724
2014,Hunter Mahan,0.687
2014,Henrik Stenson,0.65
2014,Jhonattan Vegas,0.628
2014,Gary Woodland,0.581
2014,Ángel Cabrera,0.554
2014,Charl Schwartzel,0.55
2014,Charlie Beljan,0.523
2014,J.B. Holmes,0.509
2014,Kevin Stadler,0.505
2014,Charles Howell III,0.498
2014,Jason Day,0.495
2014,Will Wilcox,0.487
2014,Billy Horschel,0.473
2014,Kevin Streelman,0.471
2014,Robert Streb,0.461
2014,Justin Hicks,0.456
2014,Kyle Stanley,0.44
2014,Keegan Bradley,0.43
2014,Brooks Koepka,0.425
2014,Charley Hoffman,0.415
2014,John Peterson,0.415
2014,Shawn Stefani,0.412
2014,Justin Rose,0.402
2014,Kevin Chappell,0.386
2014,Sergio Garcia,0.382
2014,Jamie Lovemark,0.374
2014,Robert Garrigus,0.362
2014,Graham DeLaet,0.36
2014,Brendon de Jonge,0.339
2014,Lucas Glover,0.335
2014,Lee Westwood,0.334
2014,Hideki Matsuyama,0.325
2014,Jason Dufner,0.316
2014,Derek Ernst,0.312
2014,Hudson Swafford,0.305
2014,Jim Herman,0.302
2014,Nick Watney,0.298
2014,Bill Haas,0.296
2014,Carl Pettersson,0.294
2014,Jason Kokrak,0.284
2014,Martin Kaymer,0.279
2014,Scott Brown,0.277
2014,Rickie Fowler,0.264
2014,Tommy Gainey,0.257
2014,Ryan Moore,0.253
2014,Josh Teater,0.239
2014,Martin Laird,0.238
2014,Brendan Steele,0.237
2014,Matt Jones,0.236
2014,John Senden,0.224
2014,Russell Knox,0.221
2014,Andrew Loupe,0.22
2014,Ben Martin,0.213
2014,Matt Kuchar,0.21
2014,Russell Henley,0.205
2014,Heath Slocum,0.203
2014,Phil Mickelson,0.201
2014,Harris English,0.193
2014,J.J. Henry,0.192
2014,Sangmoon Bae,0.179
2014,Davis Love III,0.176
2014,Nicholas Thompson,0.174
2014,Vijay Singh,0.167
2014,Marc Leishman,0.164
2014,James Hahn,0.162
2014,Danny Lee,0.157
2014,Zach Johnson,0.145
2014,Scott Stallings,0.135
2014,Ted Potter Jr.,0.134
2014,John Merrick,0.129
2014,Jim Furyk,0.121
2014,Sean O'Hair,0.121
2014,Jimmy Walker,0.119
2014,Michael Putnam,0.111
2014,Andrew Svoboda,0.111
2014,David Lingmerth,0.094
2014,David Toms,0.083
2014,Jonathan Byrd,0.079
2014,Chad Campbell,0.056
2014,Jeff Overton,0.056
2014,Andres Romero,0.05
2014,Kevin Kisner,0.049
2014,Kevin Tway,0.048
2014,Bo Van Pelt,0.048
2014,Will MacKenzie,0.044
2014,Ian Poulter,0.042
2014,Patrick Reed,0.04
2014,Daniel Summerhays,0.04
2014,Jordan Spieth,0.034
2014,Chris Kirk,0.033
2014,Brendon Todd,0.015
2014,Cameron Tringale,0.008
2014,William McGirt,0.002
2014,Martin Flores,-0.001
2014,Steven Bowditch,-0.002
2014,Trevor Immelman,-0.006
2014,Stewart Cink,-0.007
2014,Paul Casey,-0.013
2014,Brian Harman,-0.014
2014,Ernie Els,-0.016
2014,Geoff Ogilvy,-0.02
2014,Webb Simpson,-0.027
2014,Graeme McDowell,-0.034
2014,Brian Stuard,-0.034
2014,Bronson La'Cassie,-0.04
2014,Brandt Snedeker,-0.043
2014,Brad Fritsch,-0.048
2014,Robert Allenby,-0.05
2014,Brice Garnett,-0.056
2014,John Huh,-0.059
2014,George McNeill,-0.061
2014,Brian Davis,-0.064
2014,Rory Sabbatini,-0.065
2014,Bud Cauley,-0.073
2014,Erik Compton,-0.089
2014,Jerry Kelly,-0.089
2014,Ken Duke,-0.092
2014,Y.E. Yang,-0.097
2014,Kevin Na,-0.1
2014,Billy Hurley III,-0.103
2014,David Hearn,-0.118
2014,Roberto Castro,-0.122
2014,Jeff Maggert,-0.135
2014,Tim Wilkinson,-0.145
2014,Wes Roach,-0.149
2014,Richard Lee,-0.15
2014,Camilo Villegas,-0.159
2014,Freddie Jacobson,-0.162
2014,Morgan Hoffmann,-0.172
2014,Chris Stroud,-0.174
2014,John Rollins,-0.204
2014,Johnson Wagner,-0.209
2014,Michael Thompson,-0.211
2014,Troy Merritt,-0.213
2014,Spencer Levin,-0.224
2014,Luke Guthrie,-0.231
2014,Mark Wilson,-0.232
2014,Matt Every,-0.234
2014,Briny Baird,-0.249
2014,Ben Curtis,-0.257
2014,Ryo Ishikawa,-0.259
2014,Gonzalo Fernandez-Castaño,-0.262
2014,Troy Matteson,-0.264
2014,Ricky Barnes,-0.267
2014,S.Y. Noh,-0.268
2014,Pat Perez,-0.28
2014,Tim Clark,-0.286
2014,Ben Crane,-0.297
2014,Stuart Appleby,-0.311
2014,Woody Austin,-0.318
2014,Chesson Hadley,-0.319
2014,D.H. Lee,-0.332
2014,K.J. Choi,-0.339
2014,Jim Renner,-0.339
2014,Charlie Wi,-0.35
2014,Scott Langley,-0.395
2014,D.A. Points,-0.424
2014,Jonas Blixt,-0.434
2014,Retief Goosen,-0.443
2014,Jason Bohn,-0.475
2014,Luke Donald,-0.493
2014,Greg Chalmers,-0.503
2014,Brian Gay,-0.508
2014,Aaron Baddeley,-0.589
2014,Chad Collins,-0.635
2014,James Driscoll,-0.661
2014,Tyrone Van Aswegen,-0.735
2014,Justin Leonard,-0.752
2014,Bryce Molder,-0.763
2014,Mike Weir,-1.582
