year,player_name,sg_total
2022,Rory McIlroy,2.115
2022,Matt Fitzpatrick,1.792
2022,Will Zalatoris,1.767
2022,Justin Thomas,1.68
2022,Scottie Scheffler,1.677
2022,Sungjae Im,1.668
2022,Jon Rahm,1.656
2022,Xander Schauffele,1.652
2022,Patrick Cantlay,1.522
2022,Tony Finau,1.499
2022,Cameron Smith,1.433
2022,Sam Burns,1.39
2022,Max Homa,1.343
2022,Joaquin Niemann,1.274
2022,Cameron Young,1.265
2022,Russell Henley,1.192
2022,Shane Lowry,1.175
2022,Corey Conners,1.143
2022,Mito Pereira,1.111
2022,Keith Mitchell,1.074
2022,Keegan Bradley,1.053
2022,Aaron Wise,1.053
2022,Tommy Fleetwood,1.05
2022,Tyrrell Hatton,1.034
2022,Billy Horschel,1.031
2022,Talor Gooch,1.022
2022,Hideki Matsuyama,1.015
2022,Chris Kirk,0.999
2022,Collin Morikawa,0.978
2022,Jordan Spieth,0.839
2022,Denny McCarthy,0.837
2022,Gary Woodland,0.804
2022,Marc Leishman,0.784
2022,Tom Hoge,0.768
2022,Viktor Hovland,0.768
2022,Matt Kuchar,0.756
2022,Christiaan Bezuidenhout,0.753
2022,J.T. Poston,0.697
2022,Maverick McNealy,0.683
2022,Charles Howell III,0.68
2022,Adam Hadwin,0.678
2022,Taylor Pendrith,0.619
2022,Adam Scott,0.619
2022,Brian Harman,0.608
2022,Mark Hubbard,0.6
2022,Davis Riley,0.578
2022,Patrick Rodgers,0.563
2022,Scott Stallings,0.558
2022,Harold Varner III,0.554
2022,Adam Long,0.553
2022,Seamus Power,0.55
2022,Cam Davis,0.542
2022,Brendon Todd,0.519
2022,Troy Merritt,0.506
2022,Justin Rose,0.505
2022,Alex Noren,0.482
2022,Luke List,0.476
2022,Sebastián Muñoz,0.47
2022,Emiliano Grillo,0.448
2022,Andrew Putnam,0.437
2022,K.H. Lee,0.418
2022,Matthew NeSmith,0.409
2022,Tyler Duncan,0.407
2022,Pat Perez,0.402
2022,Kevin Streelman,0.397
2022,Matt Jones,0.394
2022,Martin Laird,0.39
2022,Kevin Kisner,0.387
2022,Aaron Rai,0.383
2022,Jhonattan Vegas,0.375
2022,Webb Simpson,0.367
2022,David Lipsky,0.346
2022,Brendan Steele,0.343
2022,Sahith Theegala,0.339
2022,Jason Kokrak,0.337
2022,J.J. Spaun,0.308
2022,Mackenzie Hughes,0.302
2022,Lanto Griffin,0.292
2022,Kurt Kitayama,0.29
2022,Nate Lashley,0.29
2022,Ian Poulter,0.283
2022,John Huh,0.276
2022,C.T. Pan,0.276
2022,Cameron Tringale,0.269
2022,Rory Sabbatini,0.263
2022,Matthias Schwab,0.261
2022,Ryan Armour,0.237
2022,Wyndham Clark,0.231
2022,Anirban Lahiri,0.231
2022,Si Woo Kim,0.227
2022,Austin Smotherman,0.222
2022,Callum Tarren,0.208
2022,Jason Day,0.201
2022,Trey Mullinax,0.197
2022,Adam Svensson,0.193
2022,Russell Knox,0.143
2022,Ryan Palmer,0.142
2022,Abraham Ancer,0.139
2022,Hayden Buckley,0.139
2022,Lee Hodges,0.132
2022,Brooks Koepka,0.124
2022,Taylor Moore,0.123
2022,Alex Smalley,0.12
2022,Nick Hardy,0.115
2022,Stephan Jaeger,0.107
2022,Peter Malnati,0.08
2022,Beau Hossler,0.071
2022,Hank Lebioda,0.061
2022,Luke Donald,0.056
2022,Francesco Molinari,0.053
2022,Robert Streb,0.047
2022,Satoshi Kodaira,0.046
2022,Scott Piercy,0.012
2022,Danny Willett,0.004
2022,Joel Dahmen,-0.021
2022,Sam Ryder,-0.028
2022,Sepp Straka,-0.029
2022,Dylan Frittelli,-0.041
2022,Greyson Sigg,-0.049
2022,Vaughn Taylor,-0.056
2022,James Hahn,-0.058
2022,Cameron Percy,-0.062
2022,Nick Taylor,-0.072
2022,Vince Whaley,-0.076
2022,Cameron Champ,-0.082
2022,Michael Gligic,-0.101
2022,Brice Garnett,-0.104
2022,Michael Thompson,-0.11
2022,Jonathan Byrd,-0.114
2022,Kelly Kraft,-0.121
2022,Patton Kizzire,-0.143
2022,Doug Ghim,-0.157
2022,Rickie Fowler,-0.162
2022,Chesson Hadley,-0.173
2022,Chez Reavie,-0.184
2022,Lucas Glover,-0.195
2022,Brandon Wu,-0.195
2022,Zach Johnson,-0.203
2022,Adam Schenk,-0.233
2022,Stewart Cink,-0.252
2022,Scott Gutschewski,-0.258
2022,Matthew Wolff,-0.259
2022,Justin Lower,-0.261
2022,Doc Redman,-0.264
2022,Lucas Herbert,-0.28
2022,Austin Cook,-0.281
2022,Kramer Hickok,-0.285
2022,Chase Seiffert,-0.289
2022,Bill Haas,-0.29
2022,Erik van Rooyen,-0.292
2022,Patrick Reed,-0.299
2022,Jim Knous,-0.312
2022,Hudson Swafford,-0.314
2022,Andrew Novak,-0.322
2022,S.Y. Noh,-0.368
2022,Henrik Norlander,-0.478
2022,Chad Ramey,-0.51
2022,Ben Kohles,-0.52
2022,Joseph Bramlett,-0.54
2022,Roger Sloan,-0.571
2022,Kevin Tway,-0.572
2022,Charley Hoffman,-0.593
2022,Paul Barjon,-0.605
2022,Brandt Snedeker,-0.618
2022,Carlos Ortiz,-0.622
2022,Camilo Villegas,-0.626
2022,Dylan Wu,-0.64
2022,Jared Wolfe,-0.644
