year,player_name,sg_off_the_tee
2010,Bubba Watson,0.798
2010,Dustin Johnson,0.76
2010,Robert Garrigus,0.73
2010,J.B. Holmes,0.729
2010,Bo Van Pelt,0.724
2010,Rory McIlroy,0.698
2010,D.J. Trahan,0.692
2010,Graham DeLaet,0.678
2010,Boo Weekley,0.662
2010,Hunter Mahan,0.642
2010,Charley Hoffman,0.638
2010,Kenny Perry,0.605
2010,Ángel Cabrera,0.598
2010,Joe Durant,0.597
2010,Nick Watney,0.593
2010,Charles Warren,0.581
2010,John Rollins,0.56
2010,Troy Matteson,0.515
2010,Kevin Streelman,0.478
2010,Adam Scott,0.472
2010,Bill Haas,0.464
2010,Ryan Moore,0.45
2010,Chris Couch,0.444
2010,Jason Dufner,0.435
2010,Stewart Cink,0.431
2010,Sean O'Hair,0.431
2010,Josh Teater,0.428
2010,Brett Wetterich,0.415
2010,Rickie Fowler,0.408
2010,Robert Allenby,0.403
2010,Alex Prugh,0.39
2010,J.J. Henry,0.383
2010,John Senden,0.372
2010,Vijay Singh,0.369
2010,Steve Elkington,0.368
2010,Will MacKenzie,0.363
2010,Martin Laird,0.354
2010,Tom Gillis,0.348
2010,Justin Rose,0.338
2010,Retief Goosen,0.337
2010,John Daly,0.336
2010,Y.E. Yang,0.316
2010,Rory Sabbatini,0.3
2010,Davis Love III,0.297
2010,Blake Adams,0.292
2010,Lucas Glover,0.285
2010,Chris Tidland,0.285
2010,Sergio Garcia,0.272
2010,Steve Marino,0.27
2010,Jarrod Lyle,0.266
2010,Mathew Goggin,0.264
2010,Nicholas Thompson,0.261
2010,Jason Day,0.254
2010,David Toms,0.254
2010,Kevin Stadler,0.237
2010,Jeff Overton,0.232
2010,Mathias Grönberg,0.222
2010,John Merrick,0.217
2010,Paul Casey,0.215
2010,Ernie Els,0.215
2010,Camilo Villegas,0.21
2010,Kris Blanks,0.201
2010,Kevin Sutherland,0.201
2010,Greg Owen,0.2
2010,Steve Stricker,0.191
2010,Phil Mickelson,0.185
2010,Ryan Palmer,0.175
2010,Ben Crane,0.169
2010,Andres Romero,0.167
2010,Matt Every,0.166
2010,Chris Riley,0.164
2010,Brendon de Jonge,0.16
2010,Matt Kuchar,0.158
2010,Heath Slocum,0.156
2010,K.J. Choi,0.151
2010,Jim Furyk,0.15
2010,Cameron Tringale,0.131
2010,Jay Williamson,0.125
2010,Garth Mulroy,0.124
2010,Jeff Maggert,0.123
2010,Steve Lowery,0.122
2010,Zach Johnson,0.118
2010,Michael Letzig,0.115
2010,Aaron Baddeley,0.112
2010,Chad Campbell,0.102
2010,Scott McCarron,0.093
2010,Jonathan Byrd,0.091
2010,Matt Bettencourt,0.089
2010,Roger Tambellini,0.085
2010,Jason Bohn,0.082
2010,Jeff Gove,0.081
2010,Andrew McLardy,0.079
2010,Marc Leishman,0.074
2010,Vaughn Taylor,0.074
2010,Rod Pampling,0.068
2010,Spencer Levin,0.054
2010,Billy Mayfair,0.053
2010,Jerry Kelly,0.051
2010,D.A. Points,0.045
2010,J.P. Hayes,0.039
2010,Tim Petrovic,0.029
2010,Paul Stankowski,0.016
2010,Stephen Ames,0.011
2010,Chris Stroud,0.01
2010,Steve Wheatcroft,0.002
2010,Omar Uresti,-0.001
