year,player_name,greens_in_regulation
2016,Lucas Glover,71.63
2016,Paul Casey,70.8
2016,Adam Scott,70.76
2016,Stewart Cink,70.4
2016,Thomas Aiken,70.2
2016,Jason Dufner,70.15
2016,Sergio Garcia,70.15
2016,Greg Owen,69.75
2016,Russell Knox,69.73
2016,Jhonattan Vegas,69.71
2016,Rory McIlroy,69.62
2016,Keegan Bradley,69.58
2016,Johnson Wagner,69.38
2016,Robert Garrigus,69.32
2016,Rickie Fowler,69.26
2016,Patrick Rodgers,69.22
2016,Kevin Streelman,69.17
2016,Bubba Watson,69.16
2016,Roberto Castro,69.13
2016,Scott Pinckney,69.02
2016,John Senden,68.86
2016,Hudson Swafford,68.8
2016,Gary Woodland,68.74
2016,Charl Schwartzel,68.73
2016,Brendan Steele,68.72
2016,Jason Kokrak,68.66
2016,Emiliano Grillo,68.52
2016,Graham DeLaet,68.35
2016,Jim Furyk,68.27
2016,Russell Henley,68.27
2016,David Hearn,68.25
2016,Henrik Norlander,68.24
2016,Chad Campbell,68.15
2016,Louis Oosthuizen,68.15
2016,Rhein Gibson,68.11
2016,Hideki Matsuyama,68.11
2016,Chez Reavie,68.09
2016,Charles Howell III,68.01
2016,Alex Cejka,67.99
2016,Justin Rose,67.92
2016,Boo Weekley,67.87
2016,Ryan Palmer,67.83
2016,Dustin Johnson,67.82
2016,Matt Kuchar,67.82
2016,Billy Horschel,67.7
2016,Daniel Berger,67.67
2016,Martin Laird,67.66
2016,Kyle Reifers,67.62
2016,J.J. Henry,67.51
2016,Kelly Kraft,67.42
2016,William McGirt,67.35
2016,Scott Piercy,67.33
2016,Jason Day,67.23
2016,Luke List,67.17
2016,Sean O'Hair,67.17
2016,Kyle Stanley,67.17
2016,Bill Haas,67.14
2016,Webb Simpson,67.14
2016,Brooks Koepka,66.98
2016,Brett Stegmaier,66.8
2016,Branden Grace,66.76
2016,Dawie van der Walt,66.75
2016,Blayne Barber,66.74
2016,Ben Martin,66.73
2016,Kevin Na,66.73
2016,Jerry Kelly,66.67
2016,Chris Stroud,66.6
2016,Jason Gore,66.52
2016,Shawn Stefani,66.48
2016,Will MacKenzie,66.39
2016,Kevin Chappell,66.37
2016,Jason Bohn,66.33
2016,Spencer Levin,66.33
2016,Smylie Kaufman,66.29
2016,Bronson Burgoon,66.24
2016,Harold Varner III,66.24
2016,John Huh,66.21
2016,Robert Streb,66.2
2016,Derek Ernst,66.18
2016,Michael Thompson,66.18
2016,Andres Gonzales,66.17
2016,Scott Stallings,66.11
2016,Adam Hadwin,66.07
2016,Phil Mickelson,66.05
2016,Steve Marino,66.01
2016,Nick Taylor,65.82
2016,Ryan Moore,65.78
2016,Ricky Barnes,65.77
2016,Whee Kim,65.74
2016,Brandt Snedeker,65.67
2016,Cameron Tringale,65.66
2016,Jim Herman,65.65
2016,Brendon de Jonge,65.64
2016,Justin Thomas,65.63
2016,Tyler Aldridge,65.54
2016,David Toms,65.5
2016,K.J. Choi,65.37
2016,D.A. Points,65.36
2016,Jamie Lovemark,65.32
2016,Marc Leishman,65.31
2016,Chesson Hadley,65.26
2016,Sung Kang,65.26
2016,Colt Knost,65.25
2016,Kevin Kisner,65.19
2016,J.B. Holmes,65.17
2016,Tony Finau,65.09
2016,Scott Brown,65.03
2016,Mark Wilson,64.96
2016,Francesco Molinari,64.93
2016,Freddie Jacobson,64.86
2016,Brian Harman,64.85
2016,Harris English,64.83
2016,Si Woo Kim,64.83
2016,Tyrone Van Aswegen,64.81
2016,Tim Wilkinson,64.71
2016,Patrick Reed,64.65
2016,Andrew Landry,64.63
2016,Luke Donald,64.61
2016,James Hahn,64.58
2016,Charley Hoffman,64.58
2016,S.Y. Noh,64.54
2016,Zach Johnson,64.53
2016,Shane Lowry,64.51
2016,Patton Kizzire,64.48
2016,Graeme McDowell,64.44
2016,Carlos Ortiz,64.44
2016,Vaughn Taylor,64.43
2016,Sam Saunders,64.36
2016,Martin Piller,64.33
2016,Rory Sabbatini,64.3
2016,George McNeill,64.16
2016,Chris Kirk,64.05
2016,Rod Pampling,64.0
2016,David Lingmerth,63.99
2016,Matt Jones,63.96
2016,Jimmy Walker,63.96
2016,Danny Lee,63.95
2016,Scott Langley,63.93
2016,Jeff Overton,63.85
2016,Robert Allenby,63.73
2016,Fabián Gómez,63.71
2016,Geoff Ogilvy,63.65
2016,Ben Crane,63.6
2016,Rob Oppenheim,63.58
2016,Mark Hubbard,63.52
2016,Jordan Spieth,63.52
2016,Will Wilcox,63.42
2016,Andrew Loupe,63.41
2016,Brian Stuard,63.3
2016,Morgan Hoffmann,63.27
2016,Wes Roach,63.23
2016,Luke Guthrie,63.13
2016,Troy Merritt,63.13
2016,Aaron Baddeley,63.11
2016,Ángel Cabrera,63.08
2016,Jon Curran,63.02
2016,Daniel Summerhays,63.02
2016,Steve Stricker,63.0
2016,Padraig Harrington,62.96
2016,Michael Kim,62.96
2016,Anirban Lahiri,62.88
2016,Hunter Mahan,62.75
2016,Retief Goosen,62.73
2016,Vijay Singh,62.73
2016,Cameron Smith,62.72
2016,Billy Hurley III,62.71
2016,Tom Hoge,62.48
2016,Chad Collins,62.4
2016,Zac Blair,62.34
2016,Camilo Villegas,62.1
2016,Peter Malnati,62.09
2016,Derek Fathauer,62.0
2016,Steve Wheatcroft,61.93
2016,Abraham Ancer,61.81
2016,Stuart Appleby,61.43
2016,Bryce Molder,61.32
2016,Ernie Els,61.2
2016,Jonas Blixt,60.96
2016,Dicky Pride,60.9
2016,D.H. Lee,60.14
2016,Hiroshi Iwata,59.5
2016,Ken Duke,59.26
2016,Erik Compton,58.64
2016,Steven Bowditch,54.46
2016,Brendon Todd,54.23
