year,player_name,sg_total
2025,Scottie Scheffler,2.743
2025,Tommy Fleetwood,1.629
2025,Rory McIlroy,1.543
2025,Russell Henley,1.317
2025,Ben Griffin,1.223
2025,Harry Hall,1.178
2025,J.J. Spaun,1.158
2025,Sepp Straka,1.072
2025,Patrick Cantlay,1.057
2025,Justin Thomas,1.001
2025,Sam Burns,0.997
2025,Keegan Bradley,0.981
2025,Jordan Spieth,0.899
2025,Robert MacIntyre,0.894
2025,Collin Morikawa,0.892
2025,Viktor Hovland,0.844
2025,Kurt Kitayama,0.826
2025,Aaron Rai,0.808
2025,Thorbjørn Olesen,0.802
2025,Cameron Young,0.802
2025,Kevin Yu,0.794
2025,Garrick Higgo,0.782
2025,Shane Lowry,0.769
2025,Hideki Matsuyama,0.755
2025,Si Woo Kim,0.751
2025,Maverick McNealy,0.74
2025,Nicolai Højgaard,0.715
2025,Pierceson Coody,0.714
2025,Corey Conners,0.683
2025,Taylor Pendrith,0.664
2025,Alex Smalley,0.657
2025,Nick Taylor,0.654
2025,Lee Hodges,0.653
2025,Matt Fitzpatrick,0.647
2025,Bud Cauley,0.645
2025,Akshay Bhatia,0.638
2025,Jake Knapp,0.617
2025,Harris English,0.611
2025,Sami Valimaki,0.605
2025,Denny McCarthy,0.597
2025,Chris Gotterup,0.585
2025,Victor Perez,0.568
2025,Michael Kim,0.563
2025,Daniel Berger,0.527
2025,Matt McCarty,0.524
2025,Patrick Fishburn,0.52
2025,Kevin Roy,0.518
2025,Emiliano Grillo,0.512
2025,Ludvig Åberg,0.506
2025,Keith Mitchell,0.501
2025,Andrew Putnam,0.501
2025,Ryan Fox,0.47
2025,Matt Kuchar,0.462
2025,J.T. Poston,0.462
2025,Jesper Svensson,0.461
2025,Xander Schauffele,0.454
2025,Jason Day,0.451
2025,Matt Wallace,0.449
2025,Adam Scott,0.448
2025,Ricky Castillo,0.439
2025,Lucas Glover,0.425
2025,Mac Meissner,0.414
2025,Gary Woodland,0.412
2025,Vince Whaley,0.405
2025,Takumi Kanaya,0.395
2025,Michael Thorbjornsen,0.394
2025,Davis Thompson,0.391
2025,Christiaan Bezuidenhout,0.378
2025,Sam Ryder,0.377
2025,Stephan Jaeger,0.374
2025,Nico Echavarria,0.37
2025,Ryan Gerard,0.364
2025,Taylor Montgomery,0.364
2025,Andrew Novak,0.363
2025,Rickie Fowler,0.354
2025,Rico Hoey,0.332
2025,Chris Kirk,0.329
2025,Steven Fisk,0.321
2025,Max Greyserman,0.296
2025,Sam Stevens,0.293
2025,Jacob Bridgeman,0.287
