year,player_name,sg_around_green
2015,Kevin Na,0.66
2015,Jonathan Byrd,0.596
2015,Webb Simpson,0.539
2015,Luke Donald,0.514
2015,Jim Furyk,0.513
2015,Matt Kuchar,0.479
2015,Jordan Spieth,0.471
2015,Steven Alker,0.406
2015,Mark Wilson,0.377
2015,Cameron Tringale,0.373
2015,Aaron Baddeley,0.37
2015,Brandt Snedeker,0.344
2015,Morgan Hoffmann,0.343
2015,Ricky Barnes,0.336
2015,Padraig Harrington,0.336
2015,Matt Jones,0.333
2015,Chris Stroud,0.295
2015,Jason Day,0.287
2015,Jason Dufner,0.281
2015,Brendon Todd,0.28
2015,Tim Wilkinson,0.28
2015,Patrick Reed,0.273
2015,Jon Curran,0.27
2015,J.B. Holmes,0.268
2015,Keegan Bradley,0.263
2015,Hideki Matsuyama,0.254
2015,Steven Bowditch,0.253
2015,William McGirt,0.248
2015,David Toms,0.248
2015,Vijay Singh,0.241
2015,Zach Johnson,0.236
2015,Justin Rose,0.228
2015,Robert Streb,0.228
2015,Phil Mickelson,0.225
2015,K.J. Choi,0.21
2015,Jonas Blixt,0.209
2015,Chad Collins,0.205
2015,D.A. Points,0.199
2015,Chris Kirk,0.198
2015,S.Y. Noh,0.188
2015,Justin Thomas,0.188
2015,Roberto Castro,0.187
2015,Gonzalo Fernandez-Castaño,0.183
2015,Tyrone Van Aswegen,0.181
2015,Scott Langley,0.18
2015,Derek Fathauer,0.179
2015,Jerry Kelly,0.166
2015,Justin Leonard,0.166
2015,Chad Campbell,0.159
2015,Sergio Garcia,0.157
2015,Bryce Molder,0.156
2015,Kevin Chappell,0.148
2015,Luke Guthrie,0.147
2015,Ian Poulter,0.147
2015,Camilo Villegas,0.143
2015,Sean O'Hair,0.142
2015,Alex Cejka,0.135
2015,Zac Blair,0.131
2015,Greg Owen,0.129
2015,Mark Hubbard,0.128
2015,J.J. Henry,0.127
2015,Bill Haas,0.126
2015,Davis Love III,0.116
2015,Andrew Putnam,0.113
2015,Nick Watney,0.112
2015,Russell Knox,0.107
2015,Ernie Els,0.102
2015,Marc Leishman,0.102
2015,Ryan Moore,0.102
2015,Billy Hurley III,0.098
2015,Rory Sabbatini,0.097
2015,Charl Schwartzel,0.092
2015,Louis Oosthuizen,0.088
2015,Brice Garnett,0.082
2015,Henrik Stenson,0.082
2015,Kyle Reifers,0.076
2015,Jimmy Walker,0.068
2015,Rickie Fowler,0.066
2015,James Hahn,0.065
2015,Charles Howell III,0.059
2015,Will Wilcox,0.058
2015,Sung Joon Park,0.055
2015,Brooks Koepka,0.052
2015,Erik Compton,0.047
2015,Martin Flores,0.047
2015,Jamie Donaldson,0.046
2015,Pat Perez,0.045
2015,Adam Hadwin,0.044
2015,Brendan Steele,0.041
2015,Michael Thompson,0.041
2015,Geoff Ogilvy,0.039
2015,Cameron Percy,0.037
2015,Ben Crane,0.03
2015,Brian Harman,0.03
2015,Brian Davis,0.029
2015,Tony Finau,0.027
2015,Ryo Ishikawa,0.025
2015,Andres Gonzales,0.022
2015,Heath Slocum,0.018
2015,Boo Weekley,0.015
2015,John Merrick,0.006
2015,Hunter Mahan,0.003
2015,Harris English,0.0
2015,Bubba Watson,-0.002
2015,John Senden,-0.017
2015,Jeff Overton,-0.018
2015,Martin Laird,-0.019
2015,Michael Putnam,-0.022
2015,David Lingmerth,-0.025
2015,Greg Chalmers,-0.028
2015,David Hearn,-0.029
2015,John Huh,-0.03
2015,Francesco Molinari,-0.037
2015,Jim Renner,-0.038
2015,Retief Goosen,-0.039
2015,Jason Bohn,-0.042
2015,Byron Smith,-0.042
2015,Whee Kim,-0.043
2015,Matt Every,-0.044
2015,Scott Stallings,-0.052
2015,Brian Stuard,-0.052
2015,Troy Merritt,-0.054
2015,Graham DeLaet,-0.056
2015,Danny Lee,-0.062
2015,Kevin Kisner,-0.068
2015,George McNeill,-0.071
2015,Ryan Palmer,-0.072
2015,Andres Romero,-0.073
2015,Tom Hoge,-0.08
2015,Steve Wheatcroft,-0.082
2015,Colt Knost,-0.085
2015,Patrick Rodgers,-0.09
2015,Carl Pettersson,-0.097
2015,Ben Martin,-0.1
2015,Lee Westwood,-0.102
2015,Scott Brown,-0.111
2015,Lucas Glover,-0.111
2015,Fabián Gómez,-0.113
2015,Bo Van Pelt,-0.126
2015,Scott Pinckney,-0.14
2015,Derek Ernst,-0.144
2015,Jason Kokrak,-0.144
2015,Brendon de Jonge,-0.152
2015,Blayne Barber,-0.154
2015,Carlos Ortiz,-0.166
2015,Scott Piercy,-0.172
2015,John Peterson,-0.175
2015,Sangmoon Bae,-0.176
2015,Paul Casey,-0.182
2015,Alex Prugh,-0.183
2015,Nick Taylor,-0.185
2015,Daniel Summerhays,-0.186
2015,Eric Axley,-0.189
2015,Roger Sloan,-0.19
2015,Russell Henley,-0.191
