year,player_name,driving_distance
2007,Bubba Watson,315.2
2007,John Daly,312.9
2007,J.B. Holmes,312.6
2007,Robert Garrigus,310.5
2007,Scott Gutschewski,306.1
2007,Tag Ridings,303.9
2007,Brett Wetterich,303.3
2007,Jason Gore,303.0
2007,Harrison Frazar,302.8
2007,Charles Warren,302.8
2007,Bill Haas,302.7
2007,Steve Allan,302.4
2007,Anthony Kim,302.4
2007,Tiger Woods,302.4
2007,Matt Hendrix,301.7
2007,Mathias Grönberg,301.5
2007,Nick Watney,301.4
2007,Adam Scott,300.9
2007,Charley Hoffman,299.9
2007,Chris Couch,299.8
2007,Charles Howell III,299.8
2007,Robert Allenby,299.6
2007,Kenny Perry,299.6
2007,Jeff Overton,299.3
2007,Bubba Dickerson,298.9
2007,Mathew Goggin,298.7
2007,Camilo Villegas,298.3
2007,George McNeill,298.2
2007,Steve Marino,298.1
2007,Phil Mickelson,298.1
2007,Ernie Els,297.9
2007,Daniel Chopra,297.6
2007,John Merrick,297.1
2007,Davis Love III,296.8
2007,Sean O'Hair,296.8
2007,Hunter Mahan,296.7
2007,Troy Matteson,296.6
2007,Pat Perez,296.6
2007,Boo Weekley,296.6
2007,Greg Owen,296.5
2007,Kyle Reifers,296.3
2007,Henrik Stenson,296.3
2007,Jason Schultz,295.7
2007,Paul Stankowski,295.7
2007,Craig Barlow,295.5
2007,Lucas Glover,295.4
2007,Geoff Ogilvy,295.3
2007,D.J. Trahan,295.1
2007,Ryan Palmer,294.9
2007,Andrew Buckle,294.7
2007,Stewart Cink,294.7
2007,Bo Van Pelt,294.7
2007,Michael Putnam,294.5
2007,J.J. Henry,294.4
2007,Sergio Garcia,294.2
2007,John Senden,294.2
2007,Ted Purdy,294.1
2007,Brendon de Jonge,293.8
2007,Vijay Singh,293.8
2007,Padraig Harrington,293.2
2007,Michael Allen,293.0
2007,Retief Goosen,292.9
2007,Kevin Stadler,292.9
2007,Chris Tidland,292.9
2007,Jarrod Lyle,292.6
2007,Briny Baird,292.1
2007,Jonathan Byrd,292.0
2007,Steve Lowery,292.0
2007,Aaron Baddeley,291.9
2007,Cameron Beckman,291.9
2007,J.P. Hayes,291.9
2007,Brian Bateman,291.6
2007,Jay Williamson,291.6
2007,Will MacKenzie,291.4
2007,Kevin Sutherland,291.3
2007,Jeff Brehaut,291.2
2007,Bryce Molder,291.2
2007,Michael Sim,291.1
2007,Rich Beem,291.0
2007,Stuart Appleby,290.9
2007,Peter Lonard,290.9
2007,Ryan Moore,290.7
2007,Brett Quigley,290.7
2007,Jeff Gove,290.5
2007,John Rollins,290.4
2007,Mark Calcavecchia,290.2
2007,Chris Stroud,290.0
2007,Rory Sabbatini,289.9
2007,Marco Dawson,289.8
2007,Jason Dufner,289.7
2007,Joe Ogilvie,289.5
2007,Mike Weir,289.3
