year,player_name,sg_off_the_tee
2021,Bryson DeChambeau,1.162
2021,Jon Rahm,0.834
2021,Sergio Garcia,0.796
2021,Rory McIlroy,0.66
2021,Viktor Hovland,0.656
2021,Jhonattan Vegas,0.647
2021,Brooks Koepka,0.631
2021,Corey Conners,0.625
2021,Bubba Watson,0.613
2021,Cameron Champ,0.593
2021,Keith Mitchell,0.57
2021,Patrick Cantlay,0.569
2021,Luke List,0.557
2021,Joaquin Niemann,0.556
2021,Matt Fitzpatrick,0.539
2021,Sungjae Im,0.526
2021,Scottie Scheffler,0.515
2021,Charles Howell III,0.505
2021,Jason Day,0.442
2021,Emiliano Grillo,0.368
2021,Dustin Johnson,0.361
2021,Tom Lewis,0.358
2021,Jason Kokrak,0.352
2021,Abraham Ancer,0.35
2021,Charley Hoffman,0.341
2021,Jim Herman,0.336
2021,Brandon Hagy,0.33
2021,Keegan Bradley,0.327
2021,Chris Baker,0.322
2021,Tyrrell Hatton,0.322
2021,Will Zalatoris,0.319
2021,Cam Davis,0.312
2021,Patrick Rodgers,0.305
2021,Tyler McCumber,0.29
2021,Billy Horschel,0.289
2021,Tony Finau,0.281
2021,Collin Morikawa,0.281
2021,Anirban Lahiri,0.28
2021,Maverick McNealy,0.271
2021,Will Gordon,0.268
2021,Xander Schauffele,0.266
2021,Daniel Berger,0.264
2021,Paul Casey,0.258
2021,Sam Burns,0.257
2021,Doug Ghim,0.252
2021,Aaron Wise,0.249
2021,Carlos Ortiz,0.246
2021,Kyle Stanley,0.244
2021,Ryan Palmer,0.242
2021,Hideki Matsuyama,0.24
2021,Ryan Brehm,0.237
2021,Justin Thomas,0.235
2021,Joseph Bramlett,0.224
2021,Si Woo Kim,0.223
2021,Joel Dahmen,0.214
2021,Rafael Campos,0.21
2021,Kevin Streelman,0.196
2021,Lucas Glover,0.185
2021,J.J. Spaun,0.178
2021,K.H. Lee,0.172
2021,Vince Whaley,0.168
2021,Roger Sloan,0.166
2021,Jason Dufner,0.165
2021,Brice Garnett,0.161
2021,Adam Schenk,0.159
2021,Chez Reavie,0.155
2021,Danny Lee,0.154
2021,Henrik Norlander,0.152
2021,John Huh,0.147
2021,Bo Hoag,0.141
2021,Ben Martin,0.138
2021,Tyler Duncan,0.136
2021,Brian Harman,0.133
2021,Sebastián Muñoz,0.13
2021,Brendan Steele,0.126
2021,Erik van Rooyen,0.126
2021,Matt Jones,0.124
2021,Max Homa,0.122
2021,Chris Kirk,0.119
2021,Kramer Hickok,0.117
2021,Martin Laird,0.117
2021,Shane Lowry,0.112
2021,Adam Long,0.109
2021,Matt Wallace,0.106
2021,Hunter Mahan,0.105
