year,player_name,sg_approach
2020,Justin Thomas,0.997
2020,Collin Morikawa,0.884
2020,Russell Henley,0.867
2020,Tyrrell Hatton,0.694
2020,Hideki Matsuyama,0.69
2020,Webb Simpson,0.64
2020,Viktor Hovland,0.633
2020,Cameron Tringale,0.632
2020,Paul Casey,0.631
2020,Gary Woodland,0.601
2020,Doc Redman,0.584
2020,Corey Conners,0.582
2020,Emiliano Grillo,0.58
2020,Jim Furyk,0.568
2020,Joaquin Niemann,0.562
2020,Brendan Steele,0.539
2020,Dustin Johnson,0.524
2020,Patrick Cantlay,0.523
2020,Rory McIlroy,0.504
2020,Branden Grace,0.501
2020,Tony Finau,0.497
2020,Cameron Percy,0.482
2020,Matthew NeSmith,0.473
2020,Jason Dufner,0.472
2020,Harris English,0.454
2020,Russell Knox,0.449
2020,Jimmy Walker,0.444
2020,Harold Varner III,0.442
2020,Chez Reavie,0.44
2020,Chesson Hadley,0.437
2020,Nick Watney,0.416
2020,Lucas Glover,0.4
2020,Scottie Scheffler,0.398
2020,Daniel Berger,0.396
2020,Tom Hoge,0.389
2020,Ryan Moore,0.37
2020,Marc Leishman,0.366
2020,Xander Schauffele,0.366
2020,Henrik Norlander,0.364
2020,Ryan Palmer,0.362
2020,Adam Long,0.358
2020,Shane Lowry,0.354
2020,Keegan Bradley,0.351
2020,Joel Dahmen,0.336
2020,Abraham Ancer,0.335
2020,Kyle Stanley,0.335
2020,Bud Cauley,0.322
2020,Brooks Koepka,0.322
2020,Scott Stallings,0.309
2020,Sebastián Muñoz,0.308
2020,Tyler Duncan,0.3
2020,Luke List,0.3
2020,Zach Johnson,0.287
2020,Jon Rahm,0.283
2020,Charley Hoffman,0.28
2020,C.T. Pan,0.277
2020,Adam Scott,0.268
2020,Kevin Na,0.267
2020,Adam Hadwin,0.262
2020,Byeong Hun An,0.256
2020,Pat Perez,0.252
2020,Kevin Streelman,0.25
2020,Chris Baker,0.238
2020,Danny Lee,0.238
2020,Kevin Kisner,0.234
2020,Justin Rose,0.233
2020,Stewart Cink,0.219
2020,Cam Davis,0.213
2020,Bubba Watson,0.208
2020,Mark Hubbard,0.204
2020,Mark Anderson,0.192
2020,Martin Laird,0.187
2020,Sergio Garcia,0.181
2020,Jason Kokrak,0.168
2020,Sam Ryder,0.154
2020,Lanto Griffin,0.152
2020,James Hahn,0.15
2020,Ian Poulter,0.137
2020,Scott Piercy,0.134
2020,Robby Shelton,0.127
2020,Graeme McDowell,0.122
2020,Carlos Ortiz,0.122
2020,Sepp Straka,0.119
2020,Max Homa,0.115
2020,Si Woo Kim,0.115
2020,Talor Gooch,0.113
2020,Ted Potter Jr.,0.11
2020,Sungjae Im,0.106
2020,Aaron Wise,0.104
2020,Patrick Reed,0.102
2020,Rickie Fowler,0.099
2020,Matthew Wolff,0.099
2020,Josh Teater,0.095
2020,Matt Fitzpatrick,0.094
2020,Michael Gellerman,0.088
2020,Brian Stuard,0.083
2020,Jordan Spieth,0.082
2020,Bronson Burgoon,0.055
2020,Nick Taylor,0.052
2020,Ryan Armour,0.044
2020,Dylan Frittelli,0.043
2020,Chase Seiffert,0.043
2020,Alex Noren,0.039
2020,Richy Werenski,0.038
2020,Cameron Smith,0.02
2020,Ben Martin,0.016
2020,Joseph Bramlett,0.015
2020,Matt Kuchar,0.014
2020,Tyler McCumber,0.014
2020,Xinjun Zhang,0.005
2020,Adam Schenk,0.001
2020,Sung Kang,0.0
2020,Brian Harman,-0.018
2020,Billy Horschel,-0.033
2020,Hank Lebioda,-0.053
2020,Ben Taylor,-0.054
2020,Peter Uihlein,-0.083
2020,Michael Gligic,-0.089
2020,Bryson DeChambeau,-0.09
2020,Tim Wilkinson,-0.101
2020,Will Gordon,-0.106
2020,Brice Garnett,-0.114
2020,Brendon Todd,-0.119
2020,Aaron Baddeley,-0.122
2020,Rob Oppenheim,-0.123
2020,Louis Oosthuizen,-0.126
2020,Michael Thompson,-0.127
2020,Bill Haas,-0.128
2020,Phil Mickelson,-0.129
2020,Fabián Gómez,-0.137
2020,Cameron Champ,-0.143
2020,Jhonattan Vegas,-0.148
2020,Jason Day,-0.151
