year,player_name,driving_distance
2023,Rory McIlroy,326.3
2023,Peter Kuest,321.7
2023,Brandon Matthews,321.3
2023,Cameron Champ,317.9
2023,Nicolai Hojgaard,317.7
2023,Ludvig Åberg,317.1
2023,Cameron Young,315.7
2023,Byeong Hun An,315.6
2023,Vincent Norrman,314.2
2023,Matti Schmid,314.1
2023,Trevor Cone,314.0
2023,Jon Rahm,314.0
2023,Gary Woodland,313.8
2023,Keith Mitchell,313.7
2023,Wyndham Clark,313.5
2023,Kyle Westmoreland,313.5
2023,Adam Scott,313.0
2023,Joseph Bramlett,312.4
2023,Callum Tarren,312.0
2023,Trey Mullinax,311.8
2023,Sam Burns,311.4
2023,Will Gordon,311.4
2023,Luke List,311.3
2023,Kevin Yu,311.3
2023,Brent Grant,311.2
2023,Cam Davis,311.0
2023,Garrick Higgo,310.8
2023,Sam Stevens,310.6
2023,MJ Daffue,310.5
2023,Taylor Pendrith,310.4
2023,Scottie Scheffler,310.3
2023,Davis Thompson,310.3
2023,Augusto Núñez,310.0
2023,Nick Hardy,309.2
2023,Patrick Rodgers,308.8
2023,S.H. Kim,308.7
2023,Patrick Cantlay,308.6
2023,Justin Thomas,308.5
2023,Ryan Brehm,308.1
2023,Rickie Fowler,308.1
2023,Scott Harrington,308.1
2023,Kevin Tway,308.1
2023,Thomas Detry,307.7
2023,Viktor Hovland,307.6
2023,Jimmy Walker,307.2
2023,Taylor Moore,307.1
2023,Carl Yuan,306.8
2023,Tyrrell Hatton,306.5
2023,Kurt Kitayama,306.2
2023,Charley Hoffman,306.1
2023,Stephan Jaeger,306.1
2023,Davis Riley,305.9
2023,Trevor Werbylo,305.7
2023,Keegan Bradley,305.6
2023,Adam Schenk,305.6
2023,Stewart Cink,305.5
2023,Beau Hossler,305.3
2023,Michael Kim,305.0
2023,Akshay Bhatia,304.9
2023,Sahith Theegala,304.9
2023,Erik van Rooyen,304.9
2023,Max Homa,304.8
2023,Michael Gligic,304.6
2023,Lucas Herbert,304.5
2023,Hayden Buckley,304.4
2023,Jason Day,304.2
2023,Tony Finau,304.2
2023,Matt Fitzpatrick,304.1
2023,Xander Schauffele,304.1
2023,Ben Taylor,304.1
2023,Shane Lowry,303.8
2023,Taylor Montgomery,303.8
2023,S.Y. Noh,303.7
2023,Jordan Spieth,303.6
2023,Kevin Roy,303.4
2023,Dylan Frittelli,303.2
2023,Tano Goya,303.1
2023,Alex Smalley,303.0
2023,Matt Wallace,302.7
2023,Zecheng Dou,302.6
2023,Tommy Fleetwood,302.3
2023,Lanto Griffin,302.3
2023,Martin Trainer,302.2
2023,Kevin Chappell,302.0
2023,Harry Higgs,301.6
2023,Emiliano Grillo,301.3
2023,Ryan Palmer,301.2
2023,Austin Eckroat,301.1
2023,Scott Stallings,301.1
2023,Patton Kizzire,300.8
2023,K.H. Lee,300.7
2023,Corey Conners,300.6
2023,Richy Werenski,300.5
2023,Austin Smotherman,300.4
2023,Lee Hodges,300.3
2023,Alex Noren,300.2
2023,Ben Griffin,300.1
2023,Seamus Power,300.0
2023,Cody Gribble,299.9
2023,Maverick McNealy,299.9
2023,Harry Hall,299.8
2023,Andrew Novak,299.7
2023,Wesley Bryan,299.6
2023,Webb Simpson,299.6
2023,Tyson Alexander,299.5
2023,Mackenzie Hughes,299.5
2023,Sepp Straka,299.5
2023,Nico Echavarria,299.4
2023,Justin Suh,299.4
2023,Chesson Hadley,299.3
2023,Sungjae Im,299.3
2023,Jason Dufner,299.1
2023,Eric Cole,299.0
2023,James Hahn,298.9
2023,Tyler Duncan,298.8
2023,J.J. Spaun,298.8
2023,Billy Horschel,298.5
2023,Dylan Wu,298.2
2023,Ryan Gerard,297.7
2023,Doug Ghim,297.7
2023,Tom Kim,297.6
2023,Hank Lebioda,297.6
2023,Robert Streb,297.6
2023,Nate Lashley,297.4
2023,Harris English,297.3
2023,Kevin Streelman,297.3
2023,Hideki Matsuyama,297.2
2023,Matt NeSmith,297.1
2023,J.T. Poston,297.0
2023,Si Woo Kim,296.9
2023,Kramer Hickok,296.7
2023,C.T. Pan,296.6
2023,Chris Kirk,296.4
2023,Collin Morikawa,296.2
2023,Adam Svensson,296.2
2023,Joel Dahmen,296.1
2023,Tom Hoge,295.9
2023,Greyson Sigg,295.8
2023,Nick Watney,295.8
2023,Adam Hadwin,295.7
2023,Brandon Wu,295.7
2023,Carson Young,295.6
2023,Denny McCarthy,295.5
2023,Peter Malnati,295.2
2023,Justin Rose,295.2
2023,Lucas Glover,294.9
2023,Matt Kuchar,294.4
2023,Chad Ramey,294.3
2023,Sam Ryder,294.3
2023,Justin Lower,294.2
2023,Aaron Rai,294.1
2023,Robby Shelton,294.1
2023,Matthias Schwab,294.0
2023,Ben Martin,293.9
2023,Nick Taylor,293.7
2023,Brian Harman,293.6
2023,Doc Redman,293.5
2023,Troy Merritt,293.4
2023,Sean O'Hair,293.3
2023,Scott Piercy,293.3
2023,Harrison Endycott,293.2
2023,David Lipsky,292.7
2023,Mark Hubbard,292.6
2023,Martin Laird,292.4
2023,Henrik Norlander,292.3
2023,Danny Willett,292.1
2023,Christiaan Bezuidenhout,291.4
2023,Russell Henley,290.9
2023,Adam Long,290.9
2023,Max McGreevy,290.2
2023,Zach Johnson,290.1
2023,Jim Herman,290.0
2023,Jonathan Byrd,289.3
2023,Cameron Percy,289.3
2023,Chris Stroud,289.2
2023,Sung Kang,289.0
2023,Brice Garnett,288.7
2023,Andrew Landry,288.4
2023,Chez Reavie,288.4
2023,Kelly Kraft,287.3
2023,Satoshi Kodaira,287.1
2023,Ryan Moore,287.0
2023,Russell Knox,285.3
2023,Andrew Putnam,284.7
2023,Aaron Baddeley,284.5
2023,Paul Haley II,284.1
2023,Ryan Armour,283.6
2023,Austin Cook,282.3
2023,Brendon Todd,282.0
2023,Zac Blair,281.6
2023,William McGirt,280.0
2023,David Lingmerth,278.5
2023,Brian Stuard,271.5
