year,player_name,scoring_average
2011,Luke Donald,68.861
2011,Webb Simpson,69.252
2011,Steve Stricker,69.362
2011,Matt Kuchar,69.515
2011,Nick Watney,69.518
2011,Sergio Garcia,69.564
2011,Charl Schwartzel,69.619
2011,Charles Howell III,69.66
2011,Jason Day,69.706
2011,David Toms,69.706
2011,Spencer Levin,69.851
2011,Freddie Jacobson,69.854
2011,Brandt Snedeker,69.859
2011,Adam Scott,69.872
2011,Gary Woodland,69.875
2011,Phil Mickelson,69.891
2011,Hunter Mahan,69.905
2011,Zach Johnson,69.966
2011,K.J. Choi,69.993
2011,Rickie Fowler,70.007
2011,Bo Van Pelt,70.092
2011,Bill Haas,70.135
2011,Geoff Ogilvy,70.164
2011,John Senden,70.199
2011,Jason Dufner,70.2
2011,Robert Karlsson,70.211
2011,Brian Gay,70.214
2011,Aaron Baddeley,70.23
2011,Jerry Kelly,70.241
2011,Keegan Bradley,70.257
2011,Chad Campbell,70.273
2011,Y.E. Yang,70.277
2011,Robert Allenby,70.284
2011,Carl Pettersson,70.289
2011,Kyle Stanley,70.317
2011,Justin Rose,70.332
2011,Brandt Jobe,70.334
2011,Martin Laird,70.341
2011,Ryan Moore,70.345
2011,Jim Furyk,70.37
2011,Chris Kirk,70.414
2011,John Merrick,70.423
2011,Jimmy Walker,70.424
2011,Brendon de Jonge,70.429
2011,Kevin Na,70.432
2011,Trevor Immelman,70.433
2011,Bryce Molder,70.433
2011,Ben Crane,70.434
2011,Briny Baird,70.435
2011,Lucas Glover,70.445
2011,Dustin Johnson,70.457
2011,Rory Sabbatini,70.46
2011,Brian Davis,70.469
2011,Andres Romero,70.495
2011,J.B. Holmes,70.523
2011,Mark Wilson,70.526
2011,Kevin Streelman,70.54
2011,Davis Love III,70.548
2011,Ricky Barnes,70.572
2011,John Rollins,70.584
2011,Chris Couch,70.595
2011,Greg Chalmers,70.596
2011,Vijay Singh,70.61
2011,D.A. Points,70.621
2011,Bubba Watson,70.625
2011,Tim Herron,70.634
2011,Johnson Wagner,70.654
2011,J.J. Henry,70.671
2011,Ángel Cabrera,70.696
2011,Blake Adams,70.7
2011,Stewart Cink,70.7
2011,David Hearn,70.709
2011,William McGirt,70.726
2011,Aron Price,70.729
2011,Retief Goosen,70.731
2011,Steve Marino,70.735
2011,Chez Reavie,70.744
2011,Billy Mayfair,70.747
2011,Cameron Tringale,70.751
2011,Charlie Wi,70.757
2011,Anthony Kim,70.775
2011,Jonathan Byrd,70.783
2011,Scott Piercy,70.792
2011,George McNeill,70.797
2011,Nick O'Hern,70.8
2011,Jeff Overton,70.802
2011,Rod Pampling,70.803
2011,Padraig Harrington,70.809
2011,Sean O'Hair,70.81
2011,Tommy Gainey,70.814
2011,Ian Poulter,70.824
2011,Hunter Haas,70.826
2011,Pat Perez,70.826
2011,Chris Stroud,70.838
2011,Ben Curtis,70.839
2011,Ryan Palmer,70.847
