year,player_name,money_earned
2023,Brandt Snedeker,167113
2023,Rory Sabbatini,149009
2023,Fabián Gómez,143701
2023,Tommy Gainey,137388
2023,John Huh,121256
2023,Ted Potter Jr.,112208
2023,D.J. Trahan,92850
2023,Greg Chalmers,88172
2023,Anders Albertson,87639
2023,Kyle Stanley,84721
2023,D.A. Points,83872
2023,Scott Brown,78995
2023,Ben Crane,71025
2023,Tiger Woods,59560
2023,J.B. Holmes,58884
2023,Jerry Kelly,58000
2023,Sangmoon Bae,57871
2023,Philip Knowles,53421
2023,Derek Ernst,52898
2023,Derek Lamely,52205
2023,Robert Garrigus,48425
2023,Ernie Els,46200
2023,Fred Couples,46080
2023,Mike Weir,21438
2023,Kevin Stadler,21318
2023,George McNeill,16834
2023,Arjun Atwal,16367
2023,Bo Van Pelt,11172
2023,Richard Johnson,8208
