year,player_name,sg_off_the_tee
2023,Scottie Scheffler,1.021
2023,Ludvig Åberg,0.982
2023,Rory McIlroy,0.907
2023,Patrick Cantlay,0.852
2023,Brent Grant,0.806
2023,Kevin Yu,0.803
2023,Keith Mitchell,0.743
2023,Viktor Hovland,0.741
2023,Luke List,0.641
2023,Hayden Buckley,0.611
2023,Corey Conners,0.586
2023,Cameron Young,0.581
2023,MJ Daffue,0.571
2023,Trevor Cone,0.55
2023,Tyrrell Hatton,0.533
2023,Gary Woodland,0.533
2023,Cam Davis,0.514
2023,Garrick Higgo,0.509
2023,Cameron Champ,0.49
2023,Peter Kuest,0.488
2023,Collin Morikawa,0.487
2023,Tyler Duncan,0.484
2023,Vincent Norrman,0.469
2023,Sungjae Im,0.467
2023,Si Woo Kim,0.462
2023,Davis Thompson,0.449
2023,Byeong Hun An,0.447
2023,Adam Scott,0.421
2023,S.H. Kim,0.412
2023,Shane Lowry,0.408
2023,Sam Stevens,0.4
2023,Akshay Bhatia,0.389
2023,Tommy Fleetwood,0.388
2023,Austin Eckroat,0.363
2023,Jon Rahm,0.36
2023,Will Gordon,0.358
2023,Jason Day,0.346
2023,Aaron Rai,0.343
2023,Stephan Jaeger,0.332
2023,Taylor Pendrith,0.32
2023,Max Homa,0.317
2023,James Hahn,0.315
2023,J.J. Spaun,0.293
2023,Tony Finau,0.288
2023,Lucas Glover,0.282
2023,Sam Burns,0.266
2023,Xander Schauffele,0.265
2023,Brian Harman,0.254
2023,Alex Smalley,0.254
2023,Doug Ghim,0.247
2023,Lee Hodges,0.245
2023,Matti Schmid,0.237
2023,Beau Hossler,0.23
2023,Joseph Bramlett,0.226
2023,Matt Fitzpatrick,0.211
2023,Ryan Palmer,0.21
2023,Emiliano Grillo,0.203
2023,Keegan Bradley,0.202
2023,Jordan Spieth,0.2
2023,Adam Svensson,0.2
2023,Patrick Rodgers,0.199
2023,Justin Thomas,0.198
2023,Russell Henley,0.197
2023,Callum Tarren,0.188
2023,Joel Dahmen,0.184
2023,Lucas Herbert,0.181
2023,Carl Yuan,0.171
2023,Cameron Percy,0.17
2023,Cody Gribble,0.16
2023,Brandon Wu,0.159
2023,Lanto Griffin,0.149
2023,Scott Harrington,0.149
2023,Tano Goya,0.145
2023,Wyndham Clark,0.139
2023,Tom Kim,0.128
2023,Zecheng Dou,0.127
2023,Rickie Fowler,0.126
2023,Augusto Núñez,0.111
2023,Kyle Westmoreland,0.093
2023,Nick Hardy,0.09
2023,Hideki Matsuyama,0.086
2023,Carson Young,0.086
2023,Greyson Sigg,0.064
2023,Erik van Rooyen,0.063
2023,Adam Schenk,0.056
2023,Doc Redman,0.052
2023,Justin Suh,0.052
2023,Ben Martin,0.048
2023,Kevin Tway,0.046
2023,K.H. Lee,0.035
2023,Denny McCarthy,0.035
2023,Scott Stallings,0.031
2023,Thomas Detry,0.029
2023,Matt Kuchar,0.027
2023,Kramer Hickok,0.024
2023,Austin Smotherman,0.016
2023,Chris Kirk,0.009
2023,Kevin Streelman,0.007
2023,Matt NeSmith,0.006
2023,Dylan Wu,0.006
2023,Andrew Novak,-0.01
2023,Sepp Straka,-0.01
2023,Adam Hadwin,-0.011
2023,Chad Ramey,-0.015
2023,Davis Riley,-0.017
2023,Michael Kim,-0.019
2023,Troy Merritt,-0.026
2023,Brandon Matthews,-0.029
2023,Sean O'Hair,-0.031
2023,Seamus Power,-0.034
2023,Charley Hoffman,-0.037
2023,Robert Streb,-0.037
2023,Jim Herman,-0.038
2023,Taylor Moore,-0.041
2023,Justin Rose,-0.044
2023,Nicolai Hojgaard,-0.061
2023,Ben Griffin,-0.066
2023,Michael Gligic,-0.081
2023,J.T. Poston,-0.081
2023,Scott Piercy,-0.098
2023,Nate Lashley,-0.105
2023,Jason Dufner,-0.111
2023,Trey Mullinax,-0.111
2023,Ryan Moore,-0.112
2023,Nico Echavarria,-0.113
2023,Kurt Kitayama,-0.117
2023,Brice Garnett,-0.118
2023,Nick Taylor,-0.123
2023,Satoshi Kodaira,-0.131
2023,Kevin Roy,-0.132
2023,David Lipsky,-0.133
2023,Trevor Werbylo,-0.137
2023,Richy Werenski,-0.137
2023,Sahith Theegala,-0.139
2023,Danny Willett,-0.147
2023,Ryan Gerard,-0.148
2023,Ryan Armour,-0.153
2023,Kevin Chappell,-0.165
2023,Chesson Hadley,-0.168
2023,Harrison Endycott,-0.169
2023,Mark Hubbard,-0.182
2023,Adam Long,-0.182
2023,Henrik Norlander,-0.182
2023,Martin Laird,-0.194
2023,C.T. Pan,-0.196
2023,Kelly Kraft,-0.198
2023,Zach Johnson,-0.199
2023,Taylor Montgomery,-0.206
2023,Andrew Landry,-0.208
2023,Jimmy Walker,-0.216
2023,Webb Simpson,-0.221
2023,Billy Horschel,-0.224
2023,Chez Reavie,-0.229
2023,Justin Lower,-0.243
2023,Tom Hoge,-0.253
2023,Zac Blair,-0.264
2023,Patton Kizzire,-0.266
2023,Eric Cole,-0.268
2023,Harris English,-0.288
2023,Robby Shelton,-0.296
2023,Jonathan Byrd,-0.299
2023,Stewart Cink,-0.317
2023,Mackenzie Hughes,-0.32
2023,Brendon Todd,-0.348
2023,Paul Haley II,-0.352
2023,William McGirt,-0.352
2023,Hank Lebioda,-0.359
2023,Martin Trainer,-0.364
2023,Ryan Brehm,-0.376
2023,Alex Noren,-0.378
2023,Christiaan Bezuidenhout,-0.38
2023,Sam Ryder,-0.385
2023,Harry Hall,-0.404
2023,Andrew Putnam,-0.411
2023,Chris Stroud,-0.412
2023,Matt Wallace,-0.423
2023,Tyson Alexander,-0.426
2023,Max McGreevy,-0.439
2023,Matthias Schwab,-0.443
2023,Wesley Bryan,-0.446
2023,Ben Taylor,-0.452
2023,Harry Higgs,-0.487
2023,David Lingmerth,-0.498
2023,Russell Knox,-0.511
2023,Austin Cook,-0.564
2023,Peter Malnati,-0.571
2023,Aaron Baddeley,-0.586
2023,Maverick McNealy,-0.601
2023,Sung Kang,-0.61
2023,S.Y. Noh,-0.624
2023,Dylan Frittelli,-0.695
2023,Brian Stuard,-1.077
2023,Nick Watney,-1.343
