year,player_name,sg_approach
2017,Paul Casey,0.939
2017,Jordan Spieth,0.896
2017,Francesco Molinari,0.842
2017,Stewart Cink,0.793
2017,Hideki Matsuyama,0.758
2017,Justin Thomas,0.738
2017,Dustin Johnson,0.67
2017,Kevin Na,0.631
2017,Bud Cauley,0.588
2017,Nick Watney,0.585
2017,Ian Poulter,0.573
2017,Gary Woodland,0.571
2017,Daniel Berger,0.57
2017,Kyle Stanley,0.562
2017,Ryan Palmer,0.555
2017,Phil Mickelson,0.553
2017,Adam Scott,0.536
2017,Jason Dufner,0.519
2017,Jimmy Walker,0.518
2017,Jon Rahm,0.515
2017,Chad Campbell,0.506
2017,Webb Simpson,0.503
2017,Brandt Snedeker,0.503
2017,Ryan Moore,0.498
2017,Jim Furyk,0.492
2017,Robert Garrigus,0.477
2017,Patrick Cantlay,0.467
2017,Luke List,0.443
2017,Billy Hurley III,0.432
2017,Graham DeLaet,0.427
2017,Boo Weekley,0.425
2017,Wesley Bryan,0.421
2017,D.A. Points,0.421
2017,Brendan Steele,0.411
2017,Marc Leishman,0.41
2017,Rickie Fowler,0.408
2017,Bill Haas,0.399
2017,Charl Schwartzel,0.399
2017,Tony Finau,0.39
2017,Sergio Garcia,0.378
2017,Chez Reavie,0.375
2017,Scott Stallings,0.375
2017,Byeong Hun An,0.369
2017,Justin Rose,0.363
2017,Charley Hoffman,0.349
2017,Kevin Kisner,0.334
2017,Harold Varner III,0.33
2017,Rory McIlroy,0.322
2017,Scott Piercy,0.311
2017,Ollie Schniederjans,0.309
2017,Danny Lee,0.304
2017,Lucas Glover,0.301
2017,Ben Martin,0.297
2017,Kevin Chappell,0.294
2017,Patton Kizzire,0.29
2017,Emiliano Grillo,0.281
2017,Cameron Percy,0.266
2017,Aaron Baddeley,0.256
2017,Matt Kuchar,0.253
2017,Sung Kang,0.251
2017,Ricky Barnes,0.238
2017,Brad Fritsch,0.235
2017,Tom Hoge,0.235
2017,Shane Lowry,0.231
2017,Charles Howell III,0.223
2017,Pat Perez,0.222
2017,Louis Oosthuizen,0.215
2017,Seamus Power,0.202
2017,Hudson Swafford,0.202
2017,Kevin Streelman,0.197
2017,Russell Henley,0.196
2017,Adam Hadwin,0.183
2017,Jamie Lovemark,0.183
2017,Russell Knox,0.181
2017,Branden Grace,0.173
2017,Chris Stroud,0.173
2017,Jhonattan Vegas,0.172
2017,Brian Stuard,0.171
2017,Kelly Kraft,0.159
2017,Michael Kim,0.158
2017,Cameron Smith,0.149
2017,Rory Sabbatini,0.146
2017,Jim Herman,0.143
2017,Keegan Bradley,0.139
2017,Martin Laird,0.139
2017,Harris English,0.138
2017,Vaughn Taylor,0.135
2017,Ryan Armour,0.121
2017,Sean O'Hair,0.118
2017,Camilo Villegas,0.107
2017,Mark Hubbard,0.101
2017,Chris Kirk,0.101
2017,Roberto Castro,0.099
2017,Cameron Tringale,0.089
2017,Tyrone Van Aswegen,0.084
2017,Jason Kokrak,0.077
2017,Brooks Koepka,0.058
2017,David Lingmerth,0.054
2017,J.T. Poston,0.053
2017,Nick Taylor,0.053
2017,J.J. Henry,0.05
2017,Martin Flores,0.047
2017,S.Y. Noh,0.044
2017,J.B. Holmes,0.039
2017,Billy Horschel,0.02
2017,James Hahn,0.016
2017,David Hearn,0.016
2017,Xander Schauffele,0.011
2017,Retief Goosen,0.009
2017,Jason Day,-0.004
2017,Brian Gay,-0.006
2017,Zach Johnson,-0.007
2017,Troy Merritt,-0.018
2017,Bryson DeChambeau,-0.02
2017,John Huh,-0.02
2017,Ben Crane,-0.024
2017,Ryan Blaum,-0.032
2017,Grayson Murray,-0.032
2017,Graeme McDowell,-0.036
2017,Patrick Reed,-0.049
2017,Smylie Kaufman,-0.059
2017,Ryan Brehm,-0.06
2017,Daniel Summerhays,-0.062
2017,Robert Streb,-0.072
2017,Sebastián Muñoz,-0.077
2017,Luke Donald,-0.078
2017,Johnson Wagner,-0.088
2017,Andres Gonzales,-0.089
2017,Søren Kjeldsen,-0.09
2017,C.T. Pan,-0.092
2017,Brett Stegmaier,-0.117
2017,Shawn Stefani,-0.119
2017,J.J. Spaun,-0.122
2017,Blayne Barber,-0.123
2017,Richy Werenski,-0.123
2017,Derek Fathauer,-0.136
2017,Sam Saunders,-0.136
2017,Zac Blair,-0.141
2017,Matt Every,-0.141
2017,Anirban Lahiri,-0.143
2017,Whee Kim,-0.148
2017,Kevin Tway,-0.168
2017,Rafa Cabrera Bello,-0.171
2017,Bubba Watson,-0.175
2017,William McGirt,-0.193
2017,Spencer Levin,-0.195
2017,Trey Mullinax,-0.195
2017,Brian Harman,-0.198
2017,Alex Cejka,-0.2
2017,Steven Alker,-0.212
2017,Jonathan Randolph,-0.221
2017,Scott Brown,-0.225
2017,Rod Pampling,-0.231
2017,Mark Anderson,-0.241
2017,Jason Bohn,-0.246
2017,Chad Collins,-0.254
2017,Ken Duke,-0.256
2017,Julián Etulain,-0.292
2017,Tim Wilkinson,-0.31
2017,Gonzalo Fernandez-Castaño,-0.312
2017,Brett Drewitt,-0.314
2017,Geoff Ogilvy,-0.327
2017,Ryo Ishikawa,-0.328
2017,Kyle Reifers,-0.337
2017,Dominic Bozzelli,-0.342
2017,Tag Ridings,-0.356
2017,Michael Thompson,-0.373
2017,Carl Pettersson,-0.385
2017,Brandon Hagy,-0.393
2017,Mackenzie Hughes,-0.404
2017,Morgan Hoffmann,-0.419
2017,Andrew Loupe,-0.424
2017,Fabián Gómez,-0.429
2017,Bryce Molder,-0.431
2017,Si Woo Kim,-0.447
2017,Matt Jones,-0.468
2017,Ernie Els,-0.504
2017,K.J. Choi,-0.511
2017,Greg Chalmers,-0.529
2017,Patrick Rodgers,-0.529
2017,Peter Malnati,-0.563
2017,Rick Lamb,-0.578
2017,Nicholas Lindheim,-0.578
2017,Cody Gribble,-0.586
2017,Jonas Blixt,-0.614
2017,Brian Campbell,-0.75
2017,Hunter Mahan,-0.886
2017,Steve Wheatcroft,-0.953
2017,Miguel Angel Carballo,-1.035
2017,Steven Bowditch,-1.26
