year,player_name,scoring_average
2025,Scottie Scheffler,68.131
2025,Rory McIlroy,69.083
2025,Tommy Fleetwood,69.357
2025,Ben Griffin,69.692
2025,Russell Henley,69.757
2025,Harry Hall,69.764
2025,J.J. Spaun,69.83
2025,Robert MacIntyre,69.9
2025,Garrick Higgo,70.032
2025,Sepp Straka,70.047
2025,Xander Schauffele,70.112
2025,Jordan Spieth,70.118
2025,Thorbjørn Olesen,70.134
2025,Harris English,70.143
2025,Chris Gotterup,70.151
2025,Nicolai Højgaard,70.178
2025,Sam Burns,70.184
2025,Justin Thomas,70.187
2025,Kurt Kitayama,70.194
2025,Keegan Bradley,70.195
2025,Hideki Matsuyama,70.214
2025,Viktor Hovland,70.229
2025,Aaron Rai,70.234
2025,Corey Conners,70.26
2025,Maverick McNealy,70.264
2025,Ludvig Åberg,70.281
2025,Alex Smalley,70.294
2025,Shane Lowry,70.312
2025,Collin Morikawa,70.313
2025,Bud Cauley,70.349
2025,Patrick Cantlay,70.354
2025,Ryan Fox,70.364
2025,Si Woo Kim,70.379
2025,Matt Fitzpatrick,70.382
2025,Keith Mitchell,70.388
2025,Taylor Pendrith,70.39
2025,Rico Hoey,70.396
2025,Daniel Berger,70.4
2025,Michael Thorbjornsen,70.413
2025,Pierceson Coody,70.415
2025,Matt Wallace,70.418
2025,Michael Kim,70.435
2025,Nick Taylor,70.459
2025,Kevin Yu,70.463
2025,Denny McCarthy,70.465
2025,Rickie Fowler,70.475
2025,Lee Hodges,70.479
2025,Jason Day,70.48
2025,Vince Whaley,70.485
2025,Matt McCarty,70.505
2025,Emiliano Grillo,70.51
2025,Cameron Young,70.51
2025,Ryan Gerard,70.517
2025,Akshay Bhatia,70.558
2025,Sami Valimaki,70.56
2025,Sam Stevens,70.569
2025,Lucas Glover,70.576
2025,Jesper Svensson,70.587
2025,Gary Woodland,70.594
2025,Kevin Roy,70.596
2025,Jake Knapp,70.6
2025,J.T. Poston,70.605
2025,Matt Kuchar,70.611
2025,Justin Rose,70.614
2025,Jacob Bridgeman,70.645
2025,Takumi Kanaya,70.648
2025,Matti Schmid,70.649
2025,Nico Echavarria,70.654
2025,Ricky Castillo,70.672
2025,Max McGreevy,70.692
2025,Rasmus Højgaard,70.696
2025,Andrew Novak,70.699
2025,Mac Meissner,70.719
2025,Christiaan Bezuidenhout,70.724
2025,Brian Harman,70.734
2025,Patrick Fishburn,70.744
2025,Steven Fisk,70.745
2025,Sam Ryder,70.755
2025,Andrew Putnam,70.756
2025,Patrick Rodgers,70.776
2025,Kris Ventura,70.784
2025,William Mouw,70.785
2025,Sungjae Im,70.81
2025,Zac Blair,70.814
2025,Mark Hubbard,70.816
2025,Adam Scott,70.82
2025,Max Greyserman,70.847
2025,Niklas Norgaard,70.861
2025,Thomas Detry,70.869
2025,Doug Ghim,70.877
2025,Chris Kirk,70.891
2025,Seamus Power,70.893
2025,Davis Thompson,70.909
2025,Hayden Springer,70.91
2025,Brandt Snedeker,70.914
2025,Wyndham Clark,70.918
2025,Taylor Montgomery,70.934
2025,Ben Martin,70.969
2025,Chad Ramey,70.973
2025,Ben Kohles,70.994
2025,Joseph Bramlett,70.995
2025,Jeremy Paul,71.001
2025,Chan Kim,71.008
2025,Taylor Moore,71.023
2025,Mackenzie Hughes,71.039
2025,Greyson Sigg,71.046
