year,player_name,final_season_rank
2022,Rory McIlroy,1
2022,Sungjae Im,2
2022,Scottie Scheffler,2
2022,Xander Schauffele,4
2022,Max Homa,5
2022,Justin Thomas,5
2022,Patrick Cantlay,7
2022,Sepp Straka,7
2022,Tony Finau,9
2022,Tom Hoge,10
2022,Hideki Matsuyama,11
2022,Joaquin Niemann,11
2022,Jordan Spieth,13
2022,Aaron Wise,13
2022,Matt Fitzpatrick,15
2022,Viktor Hovland,15
2022,J.T. Poston,15
2022,Jon Rahm,15
2022,Cameron Young,19
2022,Cameron Smith,20
2022,Brian Harman,21
2022,Billy Horschel,21
2022,Collin Morikawa,21
2022,Sam Burns,24
2022,Adam Scott,25
2022,Corey Conners,26
2022,K.H. Lee,27
2022,Sahith Theegala,28
2022,Scott Stallings,29
2022,Talor Gooch,30
2022,Will Zalatoris,30
2022,Shane Lowry,32
2022,Trey Mullinax,33
2022,J.J. Spaun,34
2022,Tom Kim,35
2022,Davis Riley,36
2022,Denny McCarthy,37
2022,Maverick McNealy,38
2022,Kevin Kisner,39
2022,Keith Mitchell,40
2022,Kurt Kitayama,41
2022,Lucas Glover,42
2022,Seamus Power,43
2022,Lucas Herbert,44
2022,Russell Henley,45
2022,Andrew Putnam,46
2022,Taylor Pendrith,47
2022,Cameron Tringale,48
2022,Tyrrell Hatton,49
2022,Mito Pereira,50
2022,Christiaan Bezuidenhout,51
2022,Luke List,52
2022,Emiliano Grillo,53
2022,Keegan Bradley,54
2022,Sebastián Muñoz,55
2022,Cam Davis,56
2022,Mackenzie Hughes,57
2022,Si Woo Kim,58
2022,Jason Kokrak,59
2022,Marc Leishman,60
2022,Brendan Steele,61
2022,Troy Merritt,62
2022,Adam Hadwin,63
2022,Tommy Fleetwood,64
2022,Chez Reavie,65
2022,Matt Kuchar,66
2022,Taylor Moore,67
2022,Chris Kirk,68
2022,Harold Varner III,69
2022,Alex Noren,70
2022,Alex Smalley,71
2022,Wyndham Clark,72
2022,Matt Jones,73
2022,Anirban Lahiri,74
2022,Hudson Swafford,75
2022,Lee Hodges,76
2022,John Huh,77
2022,Brendon Todd,78
2022,Gary Woodland,79
2022,Beau Hossler,80
2022,Lanto Griffin,81
2022,Brandon Wu,82
2022,Matt NeSmith,83
2022,Matthew Wolff,84
2022,Chad Ramey,85
2022,Adam Long,86
2022,Dylan Frittelli,87
2022,Ryan Palmer,88
2022,David Lipsky,89
2022,Adam Schenk,90
2022,Daniel Berger,91
2022,Joel Dahmen,92
2022,Aaron Rai,93
2022,Stephan Jaeger,94
2022,Patrick Rodgers,95
2022,Russell Knox,96
2022,Adam Svensson,97
2022,Abraham Ancer,98
2022,Kevin Streelman,99
2022,Mark Hubbard,100
2022,Peter Malnati,101
2022,Danny Lee,102
2022,Michael Thompson,103
2022,Hayden Buckley,104
2022,C.T. Pan,105
2022,Justin Rose,106
2022,Martin Laird,107
2022,Sam Ryder,108
2022,Vince Whaley,109
2022,Tyler Duncan,110
2022,Jhonattan Vegas,111
2022,Nate Lashley,112
2022,James Hahn,113
2022,Greyson Sigg,114
2022,Carlos Ortiz,115
2022,Robert Streb,116
2022,Brooks Koepka,117
2022,Scott Piercy,118
2022,Callum Tarren,119
2022,Max McGreevy,120
2022,Chesson Hadley,121
2022,Charles Howell III,122
2022,Nick Watney,123
2022,Jason Day,124
2022,Doug Ghim,125
2022,Stewart Cink,126
2022,Kevin Tway,127
2022,Ryan Brehm,128
2022,Matthias Schwab,129
2022,Patton Kizzire,130
2022,Webb Simpson,131
2022,Pat Perez,132
2022,Rickie Fowler,133
2022,Nick Taylor,134
2022,Kramer Hickok,135
2022,Matt Wallace,136
2022,Austin Smotherman,137
2022,Justin Lower,138
2022,Paul Casey,139
2022,Doc Redman,140
2022,Danny Willett,141
2022,Kelly Kraft,142
2022,Nick Hardy,143
2022,Cameron Champ,144
2022,Brian Stuard,145
2022,Michael Gligic,146
2022,Harry Higgs,147
2022,Francesco Molinari,148
2022,Martin Trainer,149
2022,Erik van Rooyen,150
