year,player_name,sg_off_the_tee
2025,Pierceson Coody,0.789
2025,Scottie Scheffler,0.748
2025,Rico Hoey,0.678
2025,Rory McIlroy,0.671
2025,Niklas Norgaard,0.626
2025,Kevin Yu,0.615
2025,Michael Thorbjornsen,0.588
2025,Aldrich Potgieter,0.572
2025,Chris Gotterup,0.566
2025,Jesper Svensson,0.553
2025,Taylor Pendrith,0.542
2025,Kurt Kitayama,0.535
2025,Keith Mitchell,0.533
2025,Ludvig Åberg,0.524
2025,Isaiah Salinda,0.516
2025,Collin Morikawa,0.492
2025,Davis Thompson,0.463
2025,Daniel Berger,0.414
2025,Alex Smalley,0.409
2025,Max McGreevy,0.402
2025,Steven Fisk,0.392
2025,Aaron Rai,0.391
2025,Byeong Hun An,0.389
2025,Corey Conners,0.388
2025,Luke List,0.371
2025,Ricky Castillo,0.36
2025,Thomas Rosenmueller,0.353
2025,Alejandro Tosti,0.352
2025,Adam Scott,0.348
2025,Si Woo Kim,0.343
2025,Cameron Young,0.317
2025,Keegan Bradley,0.316
2025,Luke Clanton,0.313
2025,Jordan Spieth,0.313
2025,Sungjae Im,0.312
2025,Joseph Bramlett,0.308
2025,Sam Stevens,0.302
2025,Patrick Cantlay,0.298
2025,Doug Ghim,0.297
2025,William Mouw,0.296
2025,J.J. Spaun,0.291
2025,Kevin Roy,0.289
2025,Rickie Fowler,0.285
2025,Trevor Cone,0.277
2025,Patrick Fishburn,0.263
2025,Jhonattan Vegas,0.262
2025,Harris English,0.26
2025,Jake Knapp,0.248
2025,Gary Woodland,0.248
2025,Tommy Fleetwood,0.242
2025,Thriston Lawrence,0.231
2025,Robert MacIntyre,0.228
2025,Sepp Straka,0.228
2025,Thorbjørn Olesen,0.22
2025,Austin Eckroat,0.213
2025,Nicolai Højgaard,0.212
2025,Hayden Springer,0.198
2025,Ben Griffin,0.196
2025,Joel Dahmen,0.188
2025,Erik van Rooyen,0.186
2025,Maverick McNealy,0.185
2025,Emiliano Grillo,0.184
2025,Rasmus Højgaard,0.183
2025,Carson Young,0.17
2025,Thomas Detry,0.169
2025,Ben Kohles,0.161
2025,Ryan Gerard,0.16
2025,J.T. Poston,0.158
2025,Bud Cauley,0.149
