year,player_name,sg_approach
2008,Robert Allenby,1.217
2008,Sergio Garcia,0.891
2008,Phil Mickelson,0.842
2008,Chad Campbell,0.83
2008,Ernie Els,0.79
2008,Jeff Quinney,0.781
2008,Camilo Villegas,0.777
2008,Hunter Mahan,0.742
2008,Alex Cejka,0.677
2008,Briny Baird,0.65
2008,John Senden,0.63
2008,Stephen Ames,0.623
2008,Paul Casey,0.616
2008,Zach Johnson,0.612
2008,David Toms,0.61
2008,Vijay Singh,0.607
2008,Kenny Perry,0.599
2008,Tim Clark,0.597
2008,Jim Furyk,0.59
2008,Dean Wilson,0.563
2008,Tom Lehman,0.546
2008,Heath Slocum,0.545
2008,Brian Gay,0.537
2008,Mark Calcavecchia,0.513
2008,Scott Verplank,0.508
2008,Stewart Cink,0.501
2008,D.J. Trahan,0.496
2008,Nick O'Hern,0.491
2008,Anthony Kim,0.474
2008,Matt Kuchar,0.47
2008,Ryan Palmer,0.47
2008,Gavin Coles,0.454
2008,Joe Durant,0.447
2008,Boo Weekley,0.443
2008,George McNeill,0.434
2008,Pat Perez,0.423
2008,Bubba Watson,0.416
2008,Woody Austin,0.41
2008,Rocco Mediate,0.4
2008,Bob Estes,0.396
2008,Adam Scott,0.384
2008,Steve Stricker,0.377
2008,Kevin Sutherland,0.352
2008,Bob Tway,0.35
2008,Bart Bryant,0.347
2008,Brandt Snedeker,0.325
2008,Brett Quigley,0.321
2008,Stuart Appleby,0.31
2008,Tom Pernice Jr.,0.305
2008,Trevor Immelman,0.303
2008,Cliff Kresge,0.302
2008,Davis Love III,0.289
2008,Lucas Glover,0.288
2008,Charles Howell III,0.283
2008,Mike Weir,0.268
2008,Brandt Jobe,0.265
2008,Geoff Ogilvy,0.263
2008,Vaughn Taylor,0.256
2008,Ángel Cabrera,0.249
2008,Scott Sterling,0.246
2008,Justin Leonard,0.244
2008,Y.E. Yang,0.239
2008,Carl Pettersson,0.236
2008,Freddie Jacobson,0.234
2008,John Huston,0.233
2008,Ryuji Imada,0.232
2008,Corey Pavin,0.227
2008,Padraig Harrington,0.221
2008,Fred Couples,0.218
2008,John Riegger,0.217
2008,Michael Allen,0.216
2008,Chez Reavie,0.209
2008,Dudley Hart,0.204
2008,Steve Marino,0.194
2008,Retief Goosen,0.187
2008,Robert Gamez,0.18
2008,Sean O'Hair,0.179
2008,Cameron Beckman,0.174
2008,Robert Garrigus,0.174
2008,Ken Duke,0.159
2008,K.J. Choi,0.158
2008,Kent Jones,0.154
2008,Steve Flesch,0.149
2008,Jay Williamson,0.147
2008,Johnson Wagner,0.144
2008,Charlie Wi,0.141
2008,Nick Watney,0.133
2008,Jerry Kelly,0.127
2008,Justin Bolli,0.117
2008,Martin Laird,0.113
2008,Troy Matteson,0.113
2008,Kevin Streelman,0.106
2008,Shane Bertsch,0.102
2008,Paul Goydos,0.098
2008,Harrison Frazar,0.097
2008,Jim McGovern,0.089
2008,Jeff Maggert,0.085
2008,Glen Day,0.079
2008,Lee Janzen,0.062
2008,Steve Elkington,0.054
2008,John Merrick,0.04
2008,Brian Davis,0.038
2008,Chris DiMarco,0.032
2008,Bill Haas,0.031
2008,Jonathan Byrd,0.028
2008,Rich Beem,0.027
2008,Tommy Armour III,0.015
2008,Bo Van Pelt,0.014
2008,Kevin Stadler,0.013
2008,Billy Mayfair,0.003
2008,Kevin Na,0.0
2008,Omar Uresti,-0.007
2008,Carlos Franco,-0.011
2008,Rory Sabbatini,-0.013
2008,Patrick Sheehan,-0.013
2008,Rod Pampling,-0.02
2008,Todd Hamilton,-0.026
2008,Mathew Goggin,-0.027
2008,Tag Ridings,-0.03
2008,Jeff Overton,-0.036
2008,J.J. Henry,-0.043
2008,Ted Purdy,-0.051
2008,Mark Wilson,-0.055
2008,Parker McLachlin,-0.067
2008,Tom Scherrer,-0.073
2008,Jeff Gove,-0.075
2008,Ryan Moore,-0.077
2008,Ben Crane,-0.081
2008,Peter Lonard,-0.081
2008,Jimmy Walker,-0.081
2008,Tim Wilkinson,-0.081
2008,Brad Adamonis,-0.084
2008,Jason Gore,-0.1
2008,Billy Andrade,-0.11
2008,Ron Whittaker,-0.112
2008,James Driscoll,-0.116
2008,Marco Dawson,-0.14
2008,Charles Warren,-0.148
2008,Nick Flanagan,-0.159
2008,Tommy Gainey,-0.168
2008,John Mallinger,-0.169
2008,Richard Johnson,-0.171
2008,J.B. Holmes,-0.172
2008,Ben Curtis,-0.173
2008,Jon Mills,-0.174
2008,Aaron Baddeley,-0.192
2008,Stephen Leaney,-0.197
2008,John Rollins,-0.2
2008,Jin Park,-0.215
2008,Alejandro Cañizares,-0.219
2008,Charley Hoffman,-0.219
2008,Chris Stroud,-0.224
2008,Will MacKenzie,-0.239
2008,Olin Browne,-0.243
2008,Shigeki Maruyama,-0.244
2008,Frank Lickliter II,-0.246
2008,Michael Letzig,-0.257
2008,Mark Hensby,-0.263
2008,Dustin Johnson,-0.268
2008,Brenden Pappas,-0.292
2008,Scott McCarron,-0.297
2008,Craig Kanada,-0.312
2008,Ian Poulter,-0.32
2008,Marc Turnesa,-0.323
2008,Nathan Green,-0.342
2008,Nicholas Thompson,-0.344
2008,Chad Collins,-0.345
2008,Brett Rumford,-0.348
2008,Matt Jones,-0.354
2008,Eric Axley,-0.362
2008,Greg Kraft,-0.367
2008,Jason Day,-0.373
2008,Ryan Armour,-0.388
2008,Tim Herron,-0.404
2008,Tim Petrovic,-0.408
2008,Paul Claxton,-0.421
2008,Doug LaBelle II,-0.431
2008,Joe Ogilvie,-0.443
2008,Kenneth Ferrie,-0.481
2008,Bob Sowards,-0.483
2008,Jesper Parnevik,-0.501
2008,David Duval,-0.53
2008,Mathias Grönberg,-0.55
2008,Andres Romero,-0.553
2008,Cody Freeman,-0.569
2008,Brad Elder,-0.641
2008,Chris Riley,-0.646
2008,Steve Lowery,-0.706
2008,Travis Perkins,-0.73
2008,Jason Allred,-0.735
2008,David Lutterus,-0.745
2008,J.P. Hayes,-0.747
2008,Kyle Thompson,-0.749
2008,Steve Allan,-0.758
2008,Daniel Chopra,-0.76
2008,Todd Demsey,-0.906
