year,player_name,sg_approach
2009,Tiger Woods,1.398
2009,Steve Stricker,1.018
2009,Robert Allenby,1.015
2009,Zach Johnson,0.844
2009,Tom Lehman,0.834
2009,Sean O'Hair,0.796
2009,Tim Clark,0.773
2009,Jason Bohn,0.754
2009,Ernie Els,0.722
2009,Sergio Garcia,0.65
2009,Chad Campbell,0.635
2009,Scott Verplank,0.621
2009,John Senden,0.606
2009,David Toms,0.566
2009,Hunter Mahan,0.561
2009,Jim Furyk,0.557
2009,Justin Leonard,0.547
2009,Briny Baird,0.515
2009,Brett Quigley,0.508
2009,Camilo Villegas,0.474
2009,Padraig Harrington,0.471
2009,Woody Austin,0.467
2009,Rory Sabbatini,0.452
2009,Nick O'Hern,0.451
2009,Luke Donald,0.426
2009,Kenny Perry,0.414
2009,Joe Durant,0.413
2009,Paul Goydos,0.395
2009,Y.E. Yang,0.386
2009,Davis Love III,0.378
2009,Matt Weibring,0.373
2009,Alex Cejka,0.372
2009,D.J. Trahan,0.369
2009,Dean Wilson,0.369
2009,Jonathan Byrd,0.368
2009,Chris Stroud,0.36
2009,Fred Couples,0.348
2009,Nick Watney,0.345
2009,Ricky Barnes,0.327
2009,Rocco Mediate,0.324
2009,Steve Marino,0.323
2009,Vijay Singh,0.319
2009,Steve Flesch,0.318
2009,Jason Dufner,0.313
2009,Robert Garrigus,0.311
2009,Heath Slocum,0.306
2009,Boo Weekley,0.301
2009,Ángel Cabrera,0.295
2009,Greg Owen,0.295
2009,Michael Allen,0.292
2009,J.B. Holmes,0.291
2009,Kris Blanks,0.284
2009,Cameron Beckman,0.283
2009,Kevin Na,0.273
2009,Phil Mickelson,0.268
2009,Patrick Sheehan,0.266
2009,Tommy Armour III,0.264
2009,Jimmy Walker,0.263
2009,Ian Poulter,0.24
2009,Marc Leishman,0.239
2009,Stephen Ames,0.236
2009,Charley Hoffman,0.235
2009,Mike Weir,0.229
2009,Kevin Stadler,0.213
2009,D.A. Points,0.211
2009,Chris DiMarco,0.207
2009,George McNeill,0.203
2009,Spencer Levin,0.196
2009,Jay Williamson,0.195
2009,Lee Janzen,0.184
2009,Charles Warren,0.183
2009,Stuart Appleby,0.179
2009,Retief Goosen,0.178
2009,Dustin Johnson,0.175
2009,Corey Pavin,0.17
2009,Jerry Kelly,0.165
2009,Scott Sterling,0.162
2009,Charles Howell III,0.141
2009,Lucas Glover,0.138
2009,Bob Estes,0.131
2009,J.J. Henry,0.125
2009,Scott Piercy,0.111
2009,Anthony Kim,0.1
2009,Steve Elkington,0.096
2009,Nicholas Thompson,0.096
2009,Justin Rose,0.093
2009,Johnson Wagner,0.09
2009,Harrison Frazar,0.089
2009,Will MacKenzie,0.088
2009,Bo Van Pelt,0.082
2009,Jeff Quinney,0.064
2009,Matt Kuchar,0.052
2009,Cliff Kresge,0.047
2009,Tim Petrovic,0.044
2009,Brian Davis,0.038
2009,Bubba Watson,0.037
2009,Brendon de Jonge,0.034
2009,Jason Day,0.031
2009,Brandt Snedeker,0.03
2009,Rod Pampling,0.023
2009,Ryan Moore,0.017
2009,Greg Kraft,0.016
2009,Kevin Sutherland,0.013
2009,Tom Pernice Jr.,0.006
2009,K.J. Choi,-0.002
2009,Vaughn Taylor,-0.004
2009,Bryce Molder,-0.005
2009,Billy Mayfair,-0.01
2009,Kevin Streelman,-0.012
2009,Rich Beem,-0.019
2009,Geoff Ogilvy,-0.02
2009,Gary Woodland,-0.021
2009,Kirk Triplett,-0.027
2009,Bill Lunde,-0.029
2009,Brian Gay,-0.032
2009,Bart Bryant,-0.033
2009,John Mallinger,-0.034
2009,Mathew Goggin,-0.036
2009,Charlie Wi,-0.036
2009,Ben Crane,-0.038
2009,Ken Duke,-0.04
2009,Stewart Cink,-0.041
2009,Adam Scott,-0.045
2009,Darron Stiles,-0.049
2009,Jeff Overton,-0.056
2009,Aron Price,-0.056
2009,Casey Wittenberg,-0.056
2009,Freddie Jacobson,-0.069
2009,Mark Calcavecchia,-0.07
2009,Matt Jones,-0.078
2009,Richard Johnson,-0.08
2009,John Merrick,-0.082
2009,Troy Matteson,-0.087
2009,Chez Reavie,-0.109
2009,Bill Haas,-0.126
2009,Pat Perez,-0.129
2009,Ryan Palmer,-0.15
2009,Nathan Green,-0.153
2009,Jason Gore,-0.163
2009,Rick Price,-0.168
2009,Michael Letzig,-0.169
2009,Mark Wilson,-0.174
2009,Greg Chalmers,-0.186
2009,Tag Ridings,-0.19
2009,Jeff Maggert,-0.192
2009,Ted Purdy,-0.22
2009,Webb Simpson,-0.223
2009,Tim Herron,-0.243
2009,Jeff Klauk,-0.243
2009,Chris Riley,-0.246
2009,Ryuji Imada,-0.252
2009,Glen Day,-0.263
2009,David Duval,-0.266
2009,Matt Bettencourt,-0.267
2009,Peter Lonard,-0.269
2009,Mark Brooks,-0.277
2009,David Mathis,-0.286
2009,Joe Ogilvie,-0.287
2009,Steve Lowery,-0.314
2009,Bob Heintz,-0.335
2009,Daniel Chopra,-0.345
2009,Brad Adamonis,-0.379
2009,Leif Olson,-0.399
2009,Carl Pettersson,-0.423
2009,John Rollins,-0.449
2009,Kent Jones,-0.462
2009,Scott McCarron,-0.485
2009,Brian Bateman,-0.486
2009,Aaron Baddeley,-0.507
2009,Martin Laird,-0.509
2009,Todd Hamilton,-0.512
2009,James Nitties,-0.512
2009,Andres Romero,-0.521
2009,Colt Knost,-0.562
2009,Derek Fathauer,-0.568
2009,Peter Tomasulo,-0.573
2009,Jarrod Lyle,-0.601
2009,Marc Turnesa,-0.616
2009,Brian Vranesh,-0.63
2009,Ben Curtis,-0.642
2009,Brendon Todd,-0.71
2009,Eric Axley,-0.804
2009,Parker McLachlin,-0.976
2009,Brad Faxon,-1.428
