year,player_name,sg_around_green
2025,Matteo Manassero,0.611
2025,Sungjae Im,0.531
2025,Patton Kizzire,0.506
2025,Matt Wallace,0.483
2025,Hideki Matsuyama,0.477
2025,Andrew Putnam,0.465
2025,Russell Henley,0.449
2025,Keegan Bradley,0.443
2025,Beau Hossler,0.426
2025,Harry Hall,0.384
2025,Si Woo Kim,0.35
2025,Joseph Bramlett,0.349
2025,Min Woo Lee,0.346
2025,Peter Malnati,0.332
2025,Takumi Kanaya,0.325
2025,Scottie Scheffler,0.322
2025,Taylor Montgomery,0.321
2025,Taylor Moore,0.32
2025,Christiaan Bezuidenhout,0.313
2025,Mackenzie Hughes,0.311
2025,Jason Day,0.301
2025,Wyndham Clark,0.296
2025,Mac Meissner,0.276
2025,Stephan Jaeger,0.273
2025,Tommy Fleetwood,0.272
2025,Davis Riley,0.27
2025,Justin Thomas,0.259
2025,Matt Kuchar,0.257
2025,Adam Svensson,0.255
2025,Tony Finau,0.206
2025,Jordan Spieth,0.204
2025,Vince Whaley,0.199
2025,Steven Fisk,0.197
2025,Tom Kim,0.197
2025,J.T. Poston,0.188
2025,Chandler Phillips,0.182
2025,Sam Stevens,0.182
2025,Byeong Hun An,0.181
2025,Kurt Kitayama,0.17
2025,Alejandro Tosti,0.167
2025,Lucas Glover,0.165
2025,Ricky Castillo,0.156
2025,Michael Kim,0.155
2025,Andrew Novak,0.155
2025,Ben Griffin,0.153
2025,Ryo Hisatsune,0.142
2025,Eric Cole,0.138
2025,Max Greyserman,0.138
2025,Davis Thompson,0.137
2025,Doug Ghim,0.136
2025,Brian Harman,0.134
2025,Brian Campbell,0.131
2025,Chan Kim,0.131
2025,Paul Peterson,0.131
2025,Alex Smalley,0.125
2025,Chris Kirk,0.123
2025,Rory McIlroy,0.118
2025,Patrick Rodgers,0.111
2025,Garrick Higgo,0.107
2025,Robert MacIntyre,0.103
2025,Jacob Bridgeman,0.098
2025,Nick Taylor,0.097
2025,Matt Fitzpatrick,0.095
2025,Jesper Svensson,0.092
2025,Mason Andersen,0.091
2025,David Lipsky,0.091
2025,Seamus Power,0.08
2025,Aaron Rai,0.077
2025,Ben Silverman,0.071
2025,Nick Dunlap,0.07
2025,Greyson Sigg,0.07
2025,Brice Garnett,0.064
2025,Braden Thornberry,0.061
2025,Lee Hodges,0.056
2025,Ryan Gerard,0.054
2025,Matt McCarty,0.054
2025,Brandt Snedeker,0.05
2025,Shane Lowry,0.042
2025,Patrick Cantlay,0.04
2025,Camilo Villegas,0.035
2025,Adam Scott,0.03
2025,Chris Gotterup,0.029
2025,Ben Martin,0.028
2025,Ryan Fox,0.021
2025,Thorbjørn Olesen,0.021
2025,J.J. Spaun,0.017
2025,Kevin Roy,0.011
2025,Will Chandler,0.006
2025,Harris English,0.003
2025,Bud Cauley,0.002
2025,Jeremy Paul,-0.001
2025,Pierceson Coody,-0.006
2025,Tom Hoge,-0.009
2025,Sam Burns,-0.014
2025,John Pak,-0.015
2025,Sahith Theegala,-0.015
2025,Ben Kohles,-0.016
2025,Xander Schauffele,-0.016
2025,Danny Walker,-0.016
2025,Zac Blair,-0.017
2025,Rikuya Hoshino,-0.021
2025,Rasmus Højgaard,-0.022
2025,Noah Goodwin,-0.023
2025,Denny McCarthy,-0.026
2025,Erik van Rooyen,-0.026
2025,Frankie Capan III,-0.031
2025,Cameron Young,-0.033
2025,Taylor Pendrith,-0.034
2025,Nate Lashley,-0.042
2025,Rico Hoey,-0.044
2025,David Skinns,-0.044
2025,Zach Johnson,-0.046
2025,Collin Morikawa,-0.052
2025,Adam Hadwin,-0.053
2025,Mark Hubbard,-0.056
2025,Rickie Fowler,-0.057
2025,Patrick Fishburn,-0.059
2025,Justin Rose,-0.067
2025,Sepp Straka,-0.07
2025,Maverick McNealy,-0.075
2025,Thomas Detry,-0.079
2025,Taylor Dickson,-0.085
2025,Kevin Velo,-0.087
2025,Jake Knapp,-0.089
2025,Chad Ramey,-0.089
2025,Sam Ryder,-0.093
2025,Max Homa,-0.096
2025,Jhonattan Vegas,-0.101
2025,Ludvig Åberg,-0.107
2025,Joel Dahmen,-0.107
2025,Isaiah Salinda,-0.107
2025,Max McGreevy,-0.108
2025,Ryan Palmer,-0.111
2025,Joe Highsmith,-0.116
2025,Thriston Lawrence,-0.117
2025,Cam Davis,-0.125
2025,Kaito Onishi,-0.128
2025,Viktor Hovland,-0.13
2025,Trevor Cone,-0.133
2025,Lanto Griffin,-0.137
2025,Luke List,-0.137
2025,Kris Ventura,-0.14
2025,Kevin Yu,-0.145
2025,Jackson Suber,-0.146
2025,Karl Vilips,-0.152
2025,Corey Conners,-0.153
2025,Hayden Springer,-0.158
2025,Sami Valimaki,-0.158
2025,Adam Schenk,-0.16
2025,Daniel Berger,-0.192
2025,Keith Mitchell,-0.193
2025,William Mouw,-0.203
2025,Quade Cummins,-0.208
2025,Henrik Norlander,-0.214
2025,Victor Perez,-0.215
2025,Trey Mullinax,-0.218
2025,Cristobal Del Solar,-0.222
2025,Will Gordon,-0.224
2025,Michael Thorbjornsen,-0.226
2025,Luke Clanton,-0.235
2025,Nick Hardy,-0.237
2025,Akshay Bhatia,-0.238
2025,Justin Lower,-0.255
2025,Emiliano Grillo,-0.261
2025,Rafael Campos,-0.282
2025,Hayden Buckley,-0.288
2025,Nicolai Højgaard,-0.288
2025,Matti Schmid,-0.298
2025,Carson Young,-0.318
2025,Nico Echavarria,-0.319
2025,Antoine Rozner,-0.32
2025,Tim Widing,-0.36
2025,Aldrich Potgieter,-0.37
2025,Harry Higgs,-0.373
2025,Thomas Rosenmueller,-0.385
2025,Austin Eckroat,-0.397
2025,Gary Woodland,-0.429
2025,Niklas Norgaard,-0.476
2025,Matthew Riedel,-0.489
2025,Matthieu Pavon,-0.545
