year,player_name,driving_accuracy
2025,Takumi Kanaya,74.07
2025,Aaron Rai,73.85
2025,Paul Peterson,73.15
2025,Ben Kohles,73.12
2025,Andrew Putnam,71.77
2025,Joel Dahmen,71.21
2025,Collin Morikawa,70.65
2025,Brice Garnett,69.39
2025,Zach Johnson,69.21
2025,Brandt Snedeker,69.03
2025,Max McGreevy,68.77
2025,Russell Henley,68.68
2025,Emiliano Grillo,68.47
2025,Lucas Glover,68.36
2025,Zac Blair,68.15
2025,Sungjae Im,68.01
2025,John Pak,67.73
2025,Rico Hoey,67.69
2025,Carson Young,67.25
2025,Si Woo Kim,66.79
2025,Brian Campbell,66.77
2025,Noah Goodwin,66.77
2025,Corey Conners,66.64
2025,Nick Taylor,66.58
2025,Daniel Berger,66.42
2025,J.T. Poston,66.15
2025,Austin Eckroat,66.12
2025,Matt Kuchar,66.0
2025,Adam Svensson,65.97
2025,Sepp Straka,65.66
2025,Hayden Buckley,65.63
2025,Christiaan Bezuidenhout,65.46
2025,Greyson Sigg,65.42
2025,Kevin Roy,65.4
2025,Tommy Fleetwood,65.37
2025,David Lipsky,65.32
2025,Matt McCarty,65.06
2025,Lee Hodges,64.95
2025,Victor Perez,64.66
2025,Nico Echavarria,64.49
2025,Justin Lower,64.45
2025,Kevin Velo,64.3
2025,Henrik Norlander,64.29
2025,Thorbjørn Olesen,64.29
2025,Doug Ghim,64.27
2025,Chad Ramey,64.24
2025,Ben Silverman,64.17
2025,Michael Thorbjornsen,64.16
2025,Davis Thompson,64.13
2025,Alex Smalley,63.96
2025,Seamus Power,63.84
2025,Rickie Fowler,63.69
2025,Ryan Gerard,63.38
2025,Brian Harman,63.32
2025,Kevin Yu,63.29
2025,Pierceson Coody,63.26
2025,Luke List,63.23
2025,Viktor Hovland,63.13
2025,Scottie Scheffler,63.04
2025,Shane Lowry,63.01
2025,Thriston Lawrence,62.95
2025,Matthieu Pavon,62.83
2025,Kris Ventura,62.69
2025,Thomas Rosenmueller,62.43
2025,Sami Valimaki,62.39
2025,Rikuya Hoshino,62.19
2025,Mark Hubbard,62.15
2025,Isaiah Salinda,62.11
2025,Adam Hadwin,62.09
2025,Ryo Hisatsune,62.05
2025,J.J. Spaun,62.05
2025,William Mouw,61.89
2025,Ben Martin,61.85
2025,Harris English,61.76
2025,Joe Highsmith,61.58
2025,Taylor Dickson,61.51
2025,Robert MacIntyre,61.48
2025,Lanto Griffin,61.46
2025,Keegan Bradley,61.39
2025,Chandler Phillips,61.33
2025,Matt Fitzpatrick,61.29
2025,Bud Cauley,61.24
2025,Chris Kirk,61.22
2025,Jason Day,61.06
2025,Will Chandler,61.04
2025,Steven Fisk,60.94
2025,Chan Kim,60.94
2025,Sam Ryder,60.87
2025,Denny McCarthy,60.78
2025,Patton Kizzire,60.71
2025,Ricky Castillo,60.63
2025,Jacob Bridgeman,60.6
2025,Tom Hoge,60.54
2025,Akshay Bhatia,60.51
2025,Max Homa,60.49
2025,Keith Mitchell,60.36
2025,Sam Burns,60.2
2025,Nate Lashley,60.11
2025,Mac Meissner,60.09
2025,Matteo Manassero,60.06
2025,Ben Griffin,60.03
2025,Tom Kim,60.0
2025,Patrick Rodgers,59.96
2025,Kaito Onishi,59.93
2025,Ryan Palmer,59.87
2025,Trevor Cone,59.81
2025,Matt Wallace,59.73
2025,Matthew Riedel,59.72
2025,Sam Stevens,59.65
2025,Ludvig Åberg,59.52
2025,Erik van Rooyen,59.3
2025,Harry Higgs,59.21
2025,Maverick McNealy,59.15
2025,Luke Clanton,59.08
2025,Taylor Moore,59.0
2025,Gary Woodland,59.0
2025,Patrick Cantlay,58.94
2025,Michael Kim,58.93
2025,Taylor Pendrith,58.74
2025,Mason Andersen,58.69
2025,David Skinns,58.64
2025,Justin Rose,58.54
2025,Antoine Rozner,58.51
2025,Hideki Matsuyama,58.5
2025,Nick Hardy,58.33
2025,Adam Scott,58.33
2025,Patrick Fishburn,58.32
2025,Garrick Higgo,58.14
2025,Will Gordon,58.12
2025,Jordan Spieth,58.12
2025,Harry Hall,58.05
2025,Hayden Springer,58.0
2025,Eric Cole,57.88
2025,Quade Cummins,57.82
2025,Kurt Kitayama,57.75
2025,Jeremy Paul,57.6
2025,Jackson Suber,57.29
2025,Andrew Novak,57.2
2025,Sahith Theegala,57.05
2025,Matti Schmid,57.03
2025,Tony Finau,56.94
2025,Mackenzie Hughes,56.79
2025,Thomas Detry,56.75
2025,Jesper Svensson,56.67
2025,Karl Vilips,56.61
2025,Adam Schenk,56.42
2025,Alejandro Tosti,56.15
2025,Vince Whaley,56.15
2025,Danny Walker,55.94
2025,Joseph Bramlett,55.92
2025,Rafael Campos,55.91
2025,Max Greyserman,55.82
2025,Tim Widing,55.8
2025,Chris Gotterup,55.75
2025,Rasmus Højgaard,55.68
2025,Aldrich Potgieter,55.63
2025,Jake Knapp,55.62
2025,Xander Schauffele,55.58
2025,Min Woo Lee,55.52
2025,Wyndham Clark,55.49
2025,Davis Riley,55.13
2025,Beau Hossler,54.88
2025,Stephan Jaeger,54.68
2025,Byeong Hun An,54.35
2025,Jhonattan Vegas,54.24
2025,Cam Davis,53.9
2025,Cameron Young,53.85
2025,Braden Thornberry,53.66
2025,Justin Thomas,53.32
2025,Camilo Villegas,53.23
2025,Nicolai Højgaard,53.19
2025,Trey Mullinax,52.57
2025,Ryan Fox,52.28
2025,Cristobal Del Solar,51.72
2025,Niklas Norgaard,51.62
2025,Taylor Montgomery,51.42
2025,Rory McIlroy,51.24
2025,Nick Dunlap,51.06
2025,Peter Malnati,48.06
2025,Frankie Capan III,45.82
