year,player_name,sg_total
2018,Dustin Johnson,2.372
2018,Justin Rose,1.952
2018,Justin Thomas,1.835
2018,Tommy Fleetwood,1.606
2018,Tiger Woods,1.596
2018,Bryson DeChambeau,1.558
2018,Tony Finau,1.435
2018,Webb Simpson,1.432
2018,Rory McIlroy,1.412
2018,Jason Day,1.285
2018,Rickie Fowler,1.275
2018,Brooks Koepka,1.22
2018,Hideki Matsuyama,1.196
2018,Henrik Stenson,1.153
2018,Emiliano Grillo,1.133
2018,Francesco Molinari,1.123
2018,Rafa Cabrera Bello,1.112
2018,Billy Horschel,1.112
2018,Patrick Cantlay,1.096
2018,Gary Woodland,1.066
2018,Alex Noren,1.044
2018,Zach Johnson,1.035
2018,Paul Casey,0.966
2018,Patrick Reed,0.947
2018,Ryan Moore,0.941
2018,Tyrrell Hatton,0.938
2018,Phil Mickelson,0.931
2018,Jon Rahm,0.889
2018,Luke List,0.87
2018,Chesson Hadley,0.859
2018,Ian Poulter,0.85
2018,Jordan Spieth,0.83
2018,Daniel Berger,0.816
2018,Branden Grace,0.812
2018,Byeong Hun An,0.805
2018,Charles Howell III,0.801
2018,Kevin Na,0.801
2018,Keegan Bradley,0.793
2018,Adam Scott,0.779
2018,Chris Kirk,0.732
2018,Johnson Wagner,0.715
2018,Aaron Wise,0.703
2018,Graeme McDowell,0.697
2018,Kyle Stanley,0.686
2018,Chez Reavie,0.674
2018,Xander Schauffele,0.644
2018,Brandt Snedeker,0.625
2018,Marc Leishman,0.624
2018,Kevin Streelman,0.619
2018,Adam Hadwin,0.596
2018,Beau Hossler,0.584
2018,Matt Kuchar,0.576
2018,Austin Cook,0.569
2018,Brian Gay,0.565
2018,Bubba Watson,0.555
2018,J.B. Holmes,0.549
2018,Russell Henley,0.541
2018,Jason Kokrak,0.539
2018,Louis Oosthuizen,0.521
2018,Kiradech Aphibarnrat,0.511
2018,Bronson Burgoon,0.481
2018,C.T. Pan,0.478
2018,Andrew Putnam,0.472
2018,Martin Laird,0.47
2018,Stewart Cink,0.465
2018,Bud Cauley,0.461
2018,Charley Hoffman,0.425
2018,Jim Furyk,0.412
2018,Joel Dahmen,0.4
2018,Jamie Lovemark,0.388
2018,Russell Knox,0.383
2018,Rory Sabbatini,0.358
2018,Jimmy Walker,0.357
2018,Nick Watney,0.343
2018,Ryan Armour,0.337
2018,Kevin Tway,0.329
2018,Zac Blair,0.323
2018,Kevin Chappell,0.323
2018,Abraham Ancer,0.32
2018,Alex Cejka,0.312
2018,Nate Lashley,0.31
2018,Aaron Baddeley,0.309
2018,J.J. Spaun,0.292
2018,Brian Harman,0.29
2018,Scott Piercy,0.29
2018,Cameron Percy,0.285
2018,James Hahn,0.279
2018,Lucas Glover,0.276
2018,Brandon Harkins,0.275
2018,Scott Stallings,0.27
2018,Peter Uihlein,0.268
2018,Ollie Schniederjans,0.254
2018,John Huh,0.251
2018,Peter Malnati,0.244
2018,Shane Lowry,0.238
2018,Patrick Rodgers,0.232
2018,Sam Saunders,0.226
2018,Cameron Smith,0.219
2018,Vaughn Taylor,0.219
2018,Hunter Mahan,0.209
2018,Troy Merritt,0.209
2018,Corey Conners,0.193
2018,William McGirt,0.178
2018,Seamus Power,0.178
2018,Ben Crane,0.176
2018,Sam Ryder,0.154
2018,J.T. Poston,0.138
2018,Harold Varner III,0.125
2018,Shawn Stefani,0.107
2018,Matt Jones,0.104
2018,Anirban Lahiri,0.104
2018,Denny McCarthy,0.094
2018,Bill Haas,0.079
2018,Tom Hoge,0.074
2018,Brian Stuard,0.062
2018,Danny Lee,0.058
2018,Michael Thompson,0.052
2018,Brett Stegmaier,0.048
2018,Kevin Kisner,0.037
2018,Jhonattan Vegas,0.03
2018,Brendan Steele,0.029
2018,Tyler Duncan,0.017
2018,Jason Dufner,0.011
2018,Ben Martin,-0.001
