year,player_name,money_earned
2024,Scottie Scheffler,29228357
2024,Xander Schauffele,18385320
2024,Hideki Matsuyama,11257969
2024,Wyndham Clark,10901416
2024,Rory McIlroy,10893790
2024,Ludvig Åberg,9833547
2024,Sahith Theegala,8474215
2024,Collin Morikawa,8383572
2024,Keegan Bradley,6879455
2024,Sungjae Im,6286205
2024,Patrick Cantlay,6279965
2024,Sam Burns,6185830
2024,Shane Lowry,6095881
2024,Chris Kirk,6061136
2024,Byeong Hun An,5871643
2024,Tony Finau,5706467
2024,Robert MacIntyre,5400384
2024,Akshay Bhatia,5344905
2024,J.T. Poston,5271598
2024,Matthieu Pavon,5254412
2024,Justin Thomas,5223561
2024,Brian Harman,5201770
2024,Russell Henley,5080969
2024,Austin Eckroat,5054871
2024,Billy Horschel,5037278
2024,Christiaan Bezuidenhout,5026363
2024,Tom Hoge,4841123
2024,Taylor Pendrith,4797854
2024,Adam Scott,4753172
2024,Stephan Jaeger,4732554
2024,Maverick McNealy,4708358
2024,Viktor Hovland,4616727
2024,Aaron Rai,4613515
2024,Tommy Fleetwood,4609158
2024,Sepp Straka,4601079
2024,Will Zalatoris,4569320
2024,Si Woo Kim,4526733
2024,Davis Thompson,4420940
2024,Max Greyserman,4297356
2024,Tom Kim,4124968
2024,Jason Day,4117518
2024,Corey Conners,4061539
2024,Cameron Young,4057224
2024,Adam Hadwin,4052108
2024,Cam Davis,4039533
2024,Denny McCarthy,4022193
2024,Max Homa,3843467
2024,Mackenzie Hughes,3769962
2024,Eric Cole,3726147
2024,Matt Fitzpatrick,3705463
2024,Alex Noren,3649210
2024,Thomas Detry,3614669
2024,Nico Echavarria,3583634
2024,Ben Griffin,3459847
2024,Harris English,3402062
2024,Kevin Yu,3285759
2024,Nick Taylor,3249358
2024,Patrick Rodgers,3247174
2024,Jake Knapp,3102773
2024,Justin Rose,3058683
2024,Seamus Power,3033654
2024,Nick Dunlap,2930385
2024,Lucas Glover,2876201
2024,Taylor Moore,2843944
2024,Mark Hubbard,2757076
2024,Jordan Spieth,2732591
2024,Luke List,2637149
2024,Min Woo Lee,2611021
2024,Beau Hossler,2607962
2024,Erik van Rooyen,2572256
2024,Peter Malnati,2520248
2024,Andrew Novak,2507992
2024,Lee Hodges,2479597
2024,Kurt Kitayama,2474411
2024,Grayson Murray,2471532
2024,Brendon Todd,2461227
2024,Doug Ghim,2435308
2024,Justin Lower,2418975
2024,Emiliano Grillo,2355824
2024,Keith Mitchell,2340999
2024,Jhonattan Vegas,2309280
2024,Davis Riley,2163701
2024,Victor Perez,2068163
2024,Andrew Putnam,2054544
2024,Adam Svensson,2014485
2024,Carson Young,1937622
2024,Patrick Fishburn,1928584
2024,Patton Kizzire,1908579
2024,Adam Schenk,1861382
2024,Rafael Campos,1857846
2024,Ben Kohles,1853159
2024,Charley Hoffman,1805659
2024,C.T. Pan,1801097
2024,Rico Hoey,1792875
2024,Harry Hall,1779095
2024,Rickie Fowler,1767709
2024,Nicolai Højgaard,1741996
2024,Chandler Phillips,1714290
2024,Sam Stevens,1701220
2024,Daniel Berger,1665242
2024,Matti Schmid,1646191
2024,J.J. Spaun,1645746
2024,Ryo Hisatsune,1637598
2024,David Lipsky,1543061
2024,K.H. Lee,1519732
2024,Michael Kim,1484233
2024,Vince Whaley,1474033
2024,Nate Lashley,1471105
2024,Matt Kuchar,1469667
2024,Mac Meissner,1456769
2024,Chan Kim,1405653
2024,Ryan Fox,1378822
2024,Matt McCarty,1366340
2024,Greyson Sigg,1349623
2024,Brice Garnett,1340330
2024,Joel Dahmen,1340088
2024,Joe Highsmith,1340018
2024,Michael Thorbjornsen,1281590
2024,Sami Valimaki,1273129
2024,Chad Ramey,1266025
2024,Ben Silverman,1262599
2024,Jacob Bridgeman,1250191
2024,David Skinns,1225402
2024,Tyrrell Hatton,1191868
2024,Chris Gotterup,1170837
2024,Taylor Montgomery,1154178
2024,S.H. Kim,1150991
2024,Hayden Springer,1149279
2024,Zac Blair,1137653
2024,Sam Ryder,1136740
2024,Alex Smalley,1102220
2024,Alejandro Tosti,1086746
2024,Henrik Norlander,1082157
2024,Pierceson Coody,1052529
2024,Matt Wallace,1036722
2024,Dylan Wu,1029380
2024,Carl Yuan,1013322
2024,Wesley Bryan,989580
2024,Kevin Tway,973927
2024,Garrick Higgo,947868
2024,Gary Woodland,915153
2024,Matt NeSmith,855341
2024,Adrien Dumont de Chassart,822656
2024,Robby Shelton,791414
2024,Nick Hardy,770435
2024,Martin Laird,770034
2024,Kevin Streelman,761677
2024,Brandon Wu,750748
