year,player_name,money_earned
2013,Tiger Woods,8553439
2013,Henrik Stenson,6388230
2013,Matt Kuchar,5616808
2013,Phil Mickelson,5495793
2013,Brandt Snedeker,5318087
2013,Adam Scott,4892611
2013,Steve Stricker,4440532
2013,Justin Rose,4146148
2013,Zach Johnson,4044509
2013,Jordan Spieth,3879820
2013,Keegan Bradley,3636813
2013,Jason Day,3625030
2013,Billy Horschel,3501703
2013,Bill Haas,3475563
2013,Jim Furyk,3204779
2013,Jason Dufner,3132268
2013,Kevin Streelman,3088284
2013,Hunter Mahan,3036164
2013,Dustin Johnson,2963214
2013,Webb Simpson,2957582
2013,Graham DeLaet,2834900
2013,Boo Weekley,2786662
2013,D.A. Points,2658887
2013,Nick Watney,2477639
2013,Charl Schwartzel,2256723
2013,Sergio Garcia,2251139
2013,Harris English,2201167
2013,Graeme McDowell,2174595
2013,Roberto Castro,2154898
2013,Jimmy Walker,2117570
2013,Lee Westwood,2081731
2013,Jonas Blixt,2027517
2013,Russell Henley,2008026
2013,John Merrick,1969478
2013,Patrick Reed,1961519
2013,Luke Donald,1930646
2013,Gary Woodland,1915732
2013,Charles Howell III,1877389
2013,Scott Piercy,1830084
2013,Rickie Fowler,1816742
2013,Rory McIlroy,1802443
2013,Brendon de Jonge,1795244
2013,Ángel Cabrera,1791183
2013,Bubba Watson,1759276
2013,Martin Laird,1755393
2013,David Lingmerth,1748109
2013,Chris Kirk,1728616
2013,Matt Jones,1724707
2013,Ian Poulter,1723463
2013,Ken Duke,1722583
2013,Sangmoon Bae,1714640
2013,Michael Thompson,1707637
2013,David Lynn,1633253
2013,Scott Stallings,1622627
2013,Chris Stroud,1602122
2013,Kevin Chappell,1589839
2013,Charley Hoffman,1582423
2013,John Huh,1529482
2013,Ryan Palmer,1521592
2013,Marc Leishman,1491359
2013,Ryan Moore,1490265
2013,Kyle Stanley,1462943
2013,Brian Gay,1426017
2013,Tim Clark,1355952
2013,Josh Teater,1332652
2013,Derek Ernst,1330856
2013,Rory Sabbatini,1327822
2013,Kevin Stadler,1281177
2013,Daniel Summerhays,1277886
2013,Jason Kokrak,1267525
2013,Freddie Jacobson,1236722
2013,Brian Davis,1221524
2013,Matt Every,1188867
2013,Ernie Els,1173761
2013,David Hearn,1171515
2013,John Rollins,1164049
2013,Robert Garrigus,1132355
2013,Stewart Cink,1052712
2013,Brian Stuard,1032028
2013,Jeff Maggert,1022331
2013,Scott Brown,1012142
2013,Brendan Steele,1004161
2013,Luke Guthrie,991902
2013,Pat Perez,974800
2013,K.J. Choi,973751
2013,Cameron Tringale,971209
2013,Nicholas Thompson,959434
2013,Bo Van Pelt,956629
2013,Richard Lee,920836
2013,Charlie Beljan,916229
2013,Mark Wilson,913730
2013,Brian Harman,909759
2013,Geoff Ogilvy,892920
2013,Martin Kaymer,882937
2013,D.H. Lee,882793
2013,Morgan Hoffmann,871003
2013,William McGirt,867384
2013,James Hahn,853507
2013,Jerry Kelly,832407
2013,Ted Potter Jr.,829770
2013,James Driscoll,821101
2013,Bryce Molder,816922
2013,Martin Flores,805597
2013,Johnson Wagner,801955
2013,Ben Crane,796947
2013,Bob Estes,769717
2013,J.J. Henry,761861
2013,Lucas Glover,747812
2013,Jason Bohn,739030
2013,Carl Pettersson,738143
2013,Justin Hicks,732742
2013,Jeff Overton,721723
2013,Aaron Baddeley,721024
2013,Nicolas Colsaerts,720164
2013,Andres Romero,718507
2013,Padraig Harrington,711244
2013,Camilo Villegas,709677
2013,Steven Bowditch,697775
2013,Justin Leonard,694139
2013,John Senden,667027
2013,Charlie Wi,656672
2013,Erik Compton,651660
2013,David Toms,646161
2013,Greg Chalmers,632283
2013,Peter Hanson,610178
2013,Chez Reavie,590925
2013,Scott Langley,590684
2013,Fabián Gómez,586942
2013,Woody Austin,568800
2013,Ricky Barnes,553878
2013,Justin Bolli,545187
2013,Stuart Appleby,538333
2013,Tommy Gainey,520479
2013,Shawn Stefani,511399
2013,Chad Campbell,510661
2013,George McNeill,500798
2013,Louis Oosthuizen,497408
2013,Dicky Pride,495390
2013,Jim Herman,490756
2013,Brendon Todd,473220
2013,Robert Streb,454871
2013,Brad Fritsch,452184
2013,Robert Karlsson,444238
2013,Bud Cauley,443698
2013,Greg Owen,442198
2013,Jonathan Byrd,428966
2013,Tag Ridings,428922
2013,Casey Wittenberg,425395
2013,Ryo Ishikawa,424541
2013,Ben Kohles,419416
2013,Henrik Norlander,401958
2013,Vaughn Taylor,399286
2013,S.Y. Noh,391763
2013,Ben Curtis,372543
2013,Trevor Immelman,360549
2013,Tom Gillis,345325
2013,Doug LaBelle II,338921
2013,Steve LeBrun,337157
2013,Bobby Gates,320248
2013,Retief Goosen,315702
2013,Ross Fisher,311168
2013,Vijay Singh,309351
2013,Brandt Jobe,309105
2013,Russell Knox,305973
2013,Davis Love III,303470
2013,Tim Herron,302570
2013,D.J. Trahan,284249
2013,Nick O'Hern,282464
2013,Cameron Percy,277336
2013,Cameron Beckman,276805
2013,David Mathis,274477
2013,Sean O'Hair,268614
2013,Luke List,264401
2013,Y.E. Yang,259118
2013,Troy Matteson,245090
2013,Kevin Sutherland,223098
2013,Scott Gardiner,219645
2013,Fred Couples,218398
2013,Aaron Watkins,217495
2013,Will Claxton,206722
2013,Bill Lunde,206710
2013,Robert Allenby,204272
2013,Tim Petrovic,196565
2013,Mike Weir,194510
2013,Stephen Ames,188987
2013,Glen Day,186610
2013,Darron Stiles,184866
2013,Andres Gonzales,179387
2013,Colt Knost,176710
2013,Chris DiMarco,175555
2013,Alistair Presnell,163134
2013,Steve Marino,148874
2013,Paul Casey,147612
2013,John Mallinger,137299
2013,Jin Park,136457
2013,Lee Williams,133755
2013,Billy Mayfair,123860
2013,Billy Andrade,114000
2013,Kevin Na,110864
2013,Rod Pampling,110451
2013,Matt Bettencourt,101687
2013,Joey Snyder III,98887
2013,Nathan Green,97753
2013,Heath Slocum,90796
2013,Wes Short Jr.,82855
2013,Michael Bradley,79107
2013,Andrew Svoboda,77219
2013,Steve Flesch,76654
2013,Gary Christian,75332
2013,Paul Haley II,73006
2013,Scott Verplank,62905
2013,Eric Meierdierks,58029
2013,Bernhard Langer,56040
2013,Joe Ogilvie,54173
2013,Jeff Gove,53401
2013,Kenny Perry,52616
2013,Joe Affrunti,49615
2013,Jesper Parnevik,49241
2013,Hank Kuehne,48046
2013,Michael Letzig,45626
2013,John Daly,43543
2013,Neal Lancaster,36979
2013,Peter Lonard,36667
2013,Paul Stankowski,36667
2013,Sandy Lyle,34962
2013,Troy Kelly,32350
2013,Joe Durant,32290
2013,Ryuji Imada,30820
2013,Tom Watson,28980
2013,Duffy Waldorf,28657
2013,Chris Riley,27521
2013,Lee Janzen,25482
2013,Arjun Atwal,22122
2013,Alexandre Rocha,21254
2013,Dean Wilson,20836
2013,Tom Lehman,20077
2013,Mark O'Meara,20077
2013,José María Olazábal,19480
2013,Bart Bryant,19068
2013,Russ Cochran,19068
2013,Robert Gamez,17880
2013,Todd Hamilton,17864
2013,David Frost,16864
2013,J.B. Holmes,15184
2013,Skip Kendall,13590
2013,Marc Turnesa,12900
2013,Ted Purdy,12797
2013,Andre Stolz,7905
2013,Marco Dawson,6630
2013,Kent Jones,6630
2013,David Duval,6210
2013,Scott McCarron,6060
2013,Frank Lickliter II,5730
