year,player_name,sg_approach
2012,Tiger Woods,1.224
2012,Rory McIlroy,1.002
2012,Steve Stricker,0.898
2012,Justin Rose,0.84
2012,Jim Furyk,0.83
2012,Brendon de Jonge,0.754
2012,Chad Campbell,0.751
2012,Kevin Stadler,0.711
2012,Lee Westwood,0.681
2012,Robert Garrigus,0.68
2012,Bo Van Pelt,0.665
2012,Graeme McDowell,0.641
2012,Dustin Johnson,0.638
2012,Davis Love III,0.635
2012,Nick Watney,0.586
2012,Luke Donald,0.582
2012,Phil Mickelson,0.566
2012,Marc Leishman,0.559
2012,Kris Blanks,0.558
2012,Robert Allenby,0.537
2012,Vijay Singh,0.52
2012,Jason Dufner,0.519
2012,Ricky Barnes,0.499
2012,Adam Scott,0.494
2012,Matt Kuchar,0.49
2012,Louis Oosthuizen,0.478
2012,John Senden,0.473
2012,Boo Weekley,0.466
2012,Ernie Els,0.462
2012,Bill Lunde,0.449
2012,Charl Schwartzel,0.445
2012,Chris Kirk,0.444
2012,Kyle Stanley,0.439
2012,Heath Slocum,0.427
2012,Ben Curtis,0.408
2012,Jonathan Byrd,0.406
2012,Bob Estes,0.396
2012,Michael Bradley,0.391
2012,Matt Every,0.377
2012,Johnson Wagner,0.376
2012,Hunter Mahan,0.372
2012,Greg Owen,0.367
2012,Charley Hoffman,0.356
2012,Zach Johnson,0.342
2012,Nick O'Hern,0.34
2012,Graham DeLaet,0.334
2012,Carl Pettersson,0.334
2012,Padraig Harrington,0.331
2012,D.A. Points,0.329
2012,Webb Simpson,0.319
2012,Will Claxton,0.318
2012,Michael Thompson,0.317
2012,Ken Duke,0.309
2012,Freddie Jacobson,0.306
2012,Kevin Na,0.301
2012,Henrik Stenson,0.297
2012,Pat Perez,0.272
2012,Ryan Moore,0.27
2012,Bubba Watson,0.265
2012,Ryan Palmer,0.258
2012,Charles Howell III,0.257
2012,Scott Dunlap,0.252
2012,Sean O'Hair,0.25
2012,Trevor Immelman,0.242
2012,Keegan Bradley,0.238
2012,Jeff Overton,0.236
2012,John Merrick,0.23
2012,Rickie Fowler,0.228
2012,Camilo Villegas,0.208
2012,Kyle Thompson,0.204
2012,Scott Piercy,0.202
2012,Bud Cauley,0.201
2012,Stewart Cink,0.195
2012,Tim Herron,0.193
2012,John Mallinger,0.184
2012,Kevin Streelman,0.184
2012,Martin Laird,0.175
2012,Geoff Ogilvy,0.168
2012,Vaughn Taylor,0.165
2012,K.J. Choi,0.153
2012,Gary Woodland,0.153
2012,Tim Clark,0.151
2012,Brian Davis,0.146
2012,Garth Mulroy,0.143
2012,Chez Reavie,0.136
2012,Jason Bohn,0.128
2012,J.J. Henry,0.126
2012,Gary Christian,0.124
2012,William McGirt,0.11
2012,Brandt Snedeker,0.11
2012,Jimmy Walker,0.105
2012,Jason Day,0.102
2012,S.Y. Noh,0.102
2012,Bryce Molder,0.1
2012,Jeff Maggert,0.084
2012,Andres Romero,0.078
2012,Sergio Garcia,0.075
2012,Troy Matteson,0.075
2012,Robert Karlsson,0.072
2012,Ryo Ishikawa,0.069
2012,Ian Poulter,0.068
2012,Cameron Beckman,0.058
2012,Kyle Reifers,0.056
2012,Cameron Tringale,0.056
2012,Nathan Green,0.048
2012,Mark Wilson,0.043
2012,James Driscoll,0.032
2012,John Huh,0.031
2012,Roberto Castro,0.03
2012,Billy Horschel,0.028
2012,Russell Knox,0.025
2012,Greg Chalmers,0.012
2012,David Toms,0.012
2012,Roland Thatcher,0.01
2012,Dicky Pride,0.002
2012,Gavin Coles,-0.008
2012,Jonas Blixt,-0.01
2012,Bobby Gates,-0.016
2012,Hunter Haas,-0.02
2012,Rory Sabbatini,-0.021
2012,George McNeill,-0.023
2012,Danny Lee,-0.031
2012,Harris English,-0.038
2012,Spencer Levin,-0.041
2012,Chris Stroud,-0.049
2012,Blake Adams,-0.055
2012,Daniel Summerhays,-0.066
2012,Chris DiMarco,-0.073
2012,Billy Mayfair,-0.083
2012,D.J. Trahan,-0.085
2012,Rocco Mediate,-0.09
2012,Tom Pernice Jr.,-0.097
2012,Scott Stallings,-0.113
2012,Justin Leonard,-0.117
2012,Chris Couch,-0.131
2012,Rod Pampling,-0.131
2012,Ben Crane,-0.138
2012,Jason Kokrak,-0.173
2012,Bill Haas,-0.18
2012,Kevin Chappell,-0.186
2012,Richard Lee,-0.187
2012,Jhonattan Vegas,-0.206
2012,David Hearn,-0.21
2012,Jerry Kelly,-0.218
2012,J.B. Holmes,-0.219
2012,Alexandre Rocha,-0.221
2012,Brandt Jobe,-0.222
2012,Charlie Beljan,-0.226
2012,Arjun Atwal,-0.227
2012,Charlie Wi,-0.229
2012,Josh Teater,-0.231
2012,David Mathis,-0.239
2012,Scott Brown,-0.255
2012,Tommy Gainey,-0.26
2012,John Daly,-0.267
2012,John Rollins,-0.269
2012,Tom Gillis,-0.274
2012,Stephen Ames,-0.277
2012,Ted Potter Jr.,-0.277
2012,Mathew Goggin,-0.292
2012,Steve Wheatcroft,-0.294
2012,Ángel Cabrera,-0.306
2012,Y.E. Yang,-0.352
2012,Harrison Frazar,-0.358
2012,Brian Harman,-0.37
2012,Brendan Steele,-0.376
2012,Matt Jones,-0.387
2012,Matt Bettencourt,-0.425
2012,Stuart Appleby,-0.437
2012,Marco Dawson,-0.459
2012,Brian Gay,-0.486
2012,Stephen Gangluff,-0.488
2012,J.J. Killeen,-0.492
2012,Aaron Baddeley,-0.504
2012,Martin Flores,-0.507
2012,Troy Kelly,-0.53
2012,Ryuji Imada,-0.538
2012,Mark Anderson,-0.542
2012,Colt Knost,-0.545
2012,Daniel Chopra,-0.589
2012,Kevin Kisner,-0.651
2012,Erik Compton,-0.668
2012,Billy Hurley III,-0.704
2012,Derek Lamely,-0.714
2012,Miguel Angel Carballo,-0.728
2012,Edward Loar,-0.728
2012,Tommy Biershenk,-0.733
2012,Patrick Sheehan,-0.737
2012,Sangmoon Bae,-0.76
2012,Sung Kang,-0.897
2012,Brendon Todd,-1.141
