year,player_name,scoring_average
2024,Scottie Scheffler,68.645
2024,Xander Schauffele,69.137
2024,Collin Morikawa,69.794
2024,Billy Horschel,69.875
2024,Rory McIlroy,69.914
2024,Davis Thompson,69.944
2024,Adam Scott,69.969
2024,Ludvig Åberg,69.988
2024,Max Greyserman,69.998
2024,Alex Noren,70.005
2024,Aaron Rai,70.027
2024,Maverick McNealy,70.104
2024,Hideki Matsuyama,70.123
2024,Andrew Novak,70.141
2024,Taylor Pendrith,70.185
2024,Ben Griffin,70.192
2024,Justin Thomas,70.2
2024,Sam Burns,70.203
2024,Russell Henley,70.215
2024,Victor Perez,70.238
2024,Corey Conners,70.24
2024,Robert MacIntyre,70.266
2024,Si Woo Kim,70.274
2024,Doug Ghim,70.293
2024,Sungjae Im,70.294
2024,Keith Mitchell,70.311
2024,Kurt Kitayama,70.314
2024,Tony Finau,70.332
2024,Shane Lowry,70.342
2024,Christiaan Bezuidenhout,70.363
2024,Sahith Theegala,70.373
2024,Brian Harman,70.39
2024,Harry Hall,70.423
2024,Mackenzie Hughes,70.425
2024,Tommy Fleetwood,70.442
2024,Wyndham Clark,70.444
2024,Akshay Bhatia,70.448
2024,Denny McCarthy,70.459
2024,Beau Hossler,70.462
2024,Mac Meissner,70.466
2024,Chandler Phillips,70.47
2024,Jhonattan Vegas,70.486
2024,Ben Silverman,70.492
2024,Mark Hubbard,70.522
2024,Chan Kim,70.544
2024,Patrick Cantlay,70.549
2024,Min Woo Lee,70.549
2024,Justin Lower,70.549
2024,C.T. Pan,70.549
2024,Jorge Campillo,70.563
2024,J.T. Poston,70.577
2024,Jacob Bridgeman,70.581
2024,Kevin Yu,70.599
2024,Thomas Detry,70.6
2024,Matt Wallace,70.607
2024,Sam Stevens,70.612
2024,Michael Kim,70.618
2024,Byeong Hun An,70.627
2024,Austin Eckroat,70.633
2024,Ryo Hisatsune,70.654
2024,Lucas Glover,70.673
2024,Seamus Power,70.681
2024,Viktor Hovland,70.7
2024,Patrick Fishburn,70.706
2024,Harris English,70.709
2024,Ryan Fox,70.712
2024,Tom Kim,70.715
2024,Tom Hoge,70.727
2024,Rico Hoey,70.731
2024,Patrick Rodgers,70.74
2024,Carson Young,70.742
2024,Keegan Bradley,70.748
2024,Matt Fitzpatrick,70.751
2024,Henrik Norlander,70.754
2024,Jason Day,70.758
2024,Daniel Berger,70.766
2024,Zach Johnson,70.772
2024,Greyson Sigg,70.778
2024,Erik van Rooyen,70.783
2024,J.J. Spaun,70.79
2024,Kevin Tway,70.805
2024,Matt Kuchar,70.819
2024,Stephan Jaeger,70.825
2024,Eric Cole,70.828
2024,Cameron Young,70.841
2024,Bud Cauley,70.844
2024,Jordan Spieth,70.844
2024,Will Zalatoris,70.849
2024,Nico Echavarria,70.853
2024,Charley Hoffman,70.895
2024,K.H. Lee,70.897
2024,Joe Highsmith,70.903
2024,Sepp Straka,70.906
2024,Matti Schmid,70.907
2024,Hayden Springer,70.92
2024,Wesley Bryan,70.922
2024,Andrew Putnam,70.941
2024,Matthieu Pavon,70.948
2024,Taylor Moore,70.961
2024,Thorbjørn Olesen,70.965
2024,Joseph Bramlett,70.975
2024,Adam Svensson,70.976
2024,Chris Kirk,71.013
2024,Adam Hadwin,71.018
2024,Brice Garnett,71.028
2024,Emiliano Grillo,71.05
2024,Patton Kizzire,71.054
2024,Brendon Todd,71.058
2024,Vince Whaley,71.067
2024,Nate Lashley,71.074
2024,Justin Rose,71.109
2024,Dylan Wu,71.122
2024,Gary Woodland,71.126
2024,Nick Taylor,71.155
2024,Zac Blair,71.158
2024,Max Homa,71.176
2024,Chad Ramey,71.192
2024,Martin Laird,71.2
2024,Nick Dunlap,71.205
2024,S.H. Kim,71.205
2024,Chesson Hadley,71.206
2024,Webb Simpson,71.209
2024,Lanto Griffin,71.211
2024,Chris Gotterup,71.224
2024,Pierceson Coody,71.256
2024,Joel Dahmen,71.258
2024,Ryan Moore,71.264
2024,Nicolai Højgaard,71.31
2024,Austin Smotherman,71.31
2024,Lee Hodges,71.318
2024,Trace Crowe,71.322
2024,Parker Coody,71.334
2024,Alex Smalley,71.346
2024,Kevin Chappell,71.365
2024,Robby Shelton,71.367
2024,Sami Valimaki,71.375
2024,David Skinns,71.385
2024,Ben Kohles,71.386
2024,Chez Reavie,71.391
2024,Nick Hardy,71.396
2024,Cam Davis,71.404
2024,Sam Ryder,71.417
2024,Rafael Campos,71.426
2024,Brandon Wu,71.43
2024,Luke List,71.455
2024,Garrick Higgo,71.46
2024,Kevin Streelman,71.466
2024,David Lipsky,71.478
2024,Justin Suh,71.493
2024,Cameron Champ,71.519
2024,Rickie Fowler,71.546
2024,Troy Merritt,71.56
2024,Adam Schenk,71.617
2024,Roger Sloan,71.622
2024,Jake Knapp,71.63
2024,Tyler Duncan,71.655
2024,Matt NeSmith,71.68
2024,Peter Malnati,71.685
2024,Tom Whitney,71.734
2024,Davis Riley,71.767
2024,Adrien Dumont de Chassart,71.821
2024,Aaron Baddeley,71.828
2024,Kevin Dougherty,71.828
2024,Alejandro Tosti,71.895
2024,Taylor Montgomery,71.916
2024,Ryan Palmer,72.044
2024,Hayden Buckley,72.052
2024,Carl Yuan,72.065
2024,Ryan McCormick,72.083
2024,Tyson Alexander,72.102
2024,Wilson Furr,72.107
2024,Callum Tarren,72.117
2024,Ben Taylor,72.267
2024,Vincent Norrman,72.321
2024,Josh Teater,72.535
2024,Martin Trainer,72.551
2024,Brandt Snedeker,72.589
