year,player_name,sg_putting
2013,Greg Chalmers,0.857
2013,Steve Stricker,0.72
2013,Stephen Ames,0.713
2013,Brandt Snedeker,0.692
2013,Aaron Baddeley,0.661
2013,Phil Mickelson,0.661
2013,James Driscoll,0.65
2013,Russell Henley,0.609
2013,Bryce Molder,0.594
2013,Sergio Garcia,0.591
2013,Richard Lee,0.564
2013,Doug LaBelle II,0.545
2013,Luke Donald,0.528
2013,Peter Hanson,0.484
2013,David Hearn,0.484
2013,Harris English,0.477
2013,Chris Kirk,0.456
2013,Freddie Jacobson,0.449
2013,Charles Howell III,0.438
2013,Colt Knost,0.435
2013,David Lynn,0.432
2013,Brian Gay,0.428
2013,Tiger Woods,0.426
2013,Rickie Fowler,0.425
2013,Aaron Watkins,0.402
2013,Matt Kuchar,0.398
2013,Hunter Mahan,0.382
2013,Billy Horschel,0.381
2013,Sangmoon Bae,0.371
2013,Jason Day,0.37
2013,Zach Johnson,0.365
2013,Stuart Appleby,0.353
2013,Patrick Reed,0.35
2013,Justin Leonard,0.348
2013,Chris Stroud,0.34
2013,Shawn Stefani,0.338
2013,K.J. Choi,0.337
2013,Bob Estes,0.335
2013,Ryan Palmer,0.333
2013,Jeff Overton,0.315
2013,Webb Simpson,0.313
2013,Jonas Blixt,0.312
2013,Charl Schwartzel,0.301
2013,Mike Weir,0.288
2013,Jimmy Walker,0.276
2013,Johnson Wagner,0.271
2013,Bill Haas,0.266
2013,Casey Wittenberg,0.254
2013,Keegan Bradley,0.25
2013,Ted Potter Jr.,0.247
2013,Kevin Streelman,0.246
2013,Erik Compton,0.234
2013,Brian Davis,0.232
2013,William McGirt,0.229
2013,Daniel Summerhays,0.221
2013,Ben Curtis,0.211
2013,Jerry Kelly,0.198
2013,Morgan Hoffmann,0.193
2013,Jason Bohn,0.185
2013,Jordan Spieth,0.182
2013,Ian Poulter,0.177
2013,Charlie Wi,0.176
2013,Tom Gillis,0.173
2013,Brian Harman,0.147
2013,J.J. Henry,0.146
2013,Scott Stallings,0.146
2013,Matt Jones,0.145
2013,Martin Kaymer,0.137
2013,Graeme McDowell,0.136
2013,Charley Hoffman,0.128
2013,Fabián Gómez,0.124
2013,Cameron Percy,0.121
2013,Andres Romero,0.117
2013,Cameron Tringale,0.104
2013,Vaughn Taylor,0.103
2013,Graham DeLaet,0.1
2013,Jim Furyk,0.092
2013,Tommy Gainey,0.089
2013,Martin Flores,0.08
2013,Marc Leishman,0.08
2013,Ángel Cabrera,0.069
2013,Brian Stuard,0.067
2013,Andrew Svoboda,0.067
2013,John Merrick,0.063
2013,Gary Woodland,0.062
2013,Tim Clark,0.058
2013,Tag Ridings,0.053
2013,Ben Kohles,0.051
2013,Scott Langley,0.04
2013,Justin Bolli,0.038
2013,D.H. Lee,0.037
2013,Brendon de Jonge,0.03
2013,Brendan Steele,0.028
2013,Ben Crane,0.024
2013,Josh Teater,0.022
2013,Bobby Gates,0.011
2013,Nick Watney,0.006
2013,Henrik Stenson,0.004
2013,Troy Matteson,0.003
2013,James Hahn,0.002
2013,Robert Streb,0.0
2013,Brandt Jobe,-0.002
2013,David Lingmerth,-0.009
2013,Chez Reavie,-0.009
2013,Dicky Pride,-0.011
2013,Alistair Presnell,-0.02
2013,Ken Duke,-0.026
2013,Jin Park,-0.027
2013,Adam Scott,-0.027
2013,George McNeill,-0.028
2013,Ryan Moore,-0.028
2013,Carl Pettersson,-0.028
2013,Pat Perez,-0.039
2013,Tim Herron,-0.041
2013,Steven Bowditch,-0.046
2013,Y.E. Yang,-0.069
2013,Matt Every,-0.092
2013,Rory McIlroy,-0.093
2013,Bubba Watson,-0.096
2013,Dustin Johnson,-0.101
2013,Jason Kokrak,-0.119
2013,Michael Thompson,-0.12
2013,Martin Laird,-0.127
2013,Padraig Harrington,-0.131
2013,Ernie Els,-0.136
2013,John Senden,-0.138
2013,Camilo Villegas,-0.149
2013,Henrik Norlander,-0.16
2013,D.A. Points,-0.161
2013,Steve LeBrun,-0.181
2013,Bo Van Pelt,-0.181
2013,Scott Piercy,-0.184
2013,Justin Rose,-0.188
2013,Charlie Beljan,-0.205
2013,Luke Guthrie,-0.205
2013,Mark Wilson,-0.21
2013,Brad Fritsch,-0.212
2013,Derek Ernst,-0.216
2013,Scott Brown,-0.217
2013,Justin Hicks,-0.219
2013,John Huh,-0.227
2013,Jim Herman,-0.229
2013,Jason Dufner,-0.231
2013,Stewart Cink,-0.238
2013,John Rollins,-0.243
2013,D.J. Trahan,-0.247
2013,Chad Campbell,-0.249
2013,Luke List,-0.267
2013,Rory Sabbatini,-0.274
2013,Sean O'Hair,-0.277
2013,Nicholas Thompson,-0.281
2013,Kevin Stadler,-0.284
2013,Jeff Maggert,-0.316
2013,Scott Gardiner,-0.33
2013,Robert Allenby,-0.337
2013,Robert Karlsson,-0.337
2013,Geoff Ogilvy,-0.337
2013,Kevin Chappell,-0.338
2013,Trevor Immelman,-0.365
2013,David Toms,-0.379
2013,Darron Stiles,-0.427
2013,Lee Williams,-0.427
2013,Robert Garrigus,-0.437
2013,David Mathis,-0.448
2013,Michael Bradley,-0.45
2013,S.Y. Noh,-0.463
2013,Roberto Castro,-0.465
2013,Lee Westwood,-0.484
2013,Rod Pampling,-0.564
2013,Bud Cauley,-0.57
2013,Nicolas Colsaerts,-0.579
2013,Ricky Barnes,-0.584
2013,Greg Owen,-0.669
2013,Boo Weekley,-0.676
2013,Ryo Ishikawa,-0.683
2013,Kyle Stanley,-0.683
2013,Will Claxton,-0.709
2013,Lucas Glover,-0.851
2013,Vijay Singh,-0.876
2013,Eric Meierdierks,-0.978
