year,player_name,scoring_average
2016,Dustin Johnson,69.172
2016,Jason Day,69.313
2016,Adam Scott,69.47
2016,Jordan Spieth,69.52
2016,Phil Mickelson,69.582
2016,Rory McIlroy,69.646
2016,Matt Kuchar,69.844
2016,Paul Casey,69.95
2016,Brooks Koepka,69.956
2016,Steve Stricker,69.996
2016,Sergio Garcia,69.999
2016,Charl Schwartzel,70.004
2016,Hideki Matsuyama,70.034
2016,Rickie Fowler,70.118
2016,Jim Furyk,70.13
2016,Justin Rose,70.148
2016,Patrick Reed,70.17
2016,Brandt Snedeker,70.203
2016,Branden Grace,70.204
2016,Jason Dufner,70.212
2016,Ryan Palmer,70.229
2016,Gary Woodland,70.234
2016,Kevin Na,70.298
2016,Ryan Moore,70.317
2016,Russell Knox,70.319
2016,Louis Oosthuizen,70.327
2016,Bubba Watson,70.333
2016,Daniel Berger,70.339
2016,Webb Simpson,70.359
2016,Zach Johnson,70.364
2016,William McGirt,70.393
2016,Jimmy Walker,70.393
2016,Charles Howell III,70.418
2016,Francesco Molinari,70.436
2016,Bill Haas,70.444
2016,Harris English,70.463
2016,Kevin Kisner,70.489
2016,Kevin Chappell,70.501
2016,J.B. Holmes,70.523
2016,Lucas Glover,70.534
2016,Billy Horschel,70.548
2016,Marc Leishman,70.554
2016,Russell Henley,70.558
2016,Si Woo Kim,70.56
2016,Chad Campbell,70.566
2016,Jason Kokrak,70.57
2016,Justin Thomas,70.571
2016,Retief Goosen,70.581
2016,Roberto Castro,70.588
2016,Emiliano Grillo,70.637
2016,Shane Lowry,70.64
2016,Charley Hoffman,70.658
2016,Chez Reavie,70.661
2016,Alex Cejka,70.675
2016,Sean O'Hair,70.677
2016,Tim Wilkinson,70.704
2016,John Senden,70.717
2016,Adam Hadwin,70.719
2016,Keegan Bradley,70.741
2016,Luke List,70.754
2016,Daniel Summerhays,70.771
2016,Johnson Wagner,70.781
2016,Ricky Barnes,70.784
2016,Colt Knost,70.785
2016,Tony Finau,70.797
2016,Freddie Jacobson,70.809
2016,Patrick Rodgers,70.833
2016,Stewart Cink,70.846
2016,Billy Hurley III,70.846
2016,Robert Garrigus,70.848
2016,Scott Piercy,70.855
2016,Brendan Steele,70.855
2016,Sung Kang,70.856
2016,Martin Laird,70.867
2016,David Hearn,70.87
