year,player_name,greens_in_regulation
2007,Tiger Woods,71.02
2007,John Senden,70.33
2007,Jeff Gove,70.17
2007,Cameron Beckman,69.87
2007,Tommy Armour III,69.84
2007,Alex Cejka,69.44
2007,Jim Furyk,69.44
2007,Briny Baird,69.27
2007,John Merrick,69.13
2007,Jeff Overton,68.87
2007,Mathew Goggin,68.84
2007,Joe Durant,68.52
2007,Stephen Leaney,68.43
2007,Charles Warren,68.37
2007,Robert Allenby,68.29
2007,Tom Lehman,68.19
2007,Greg Owen,68.14
2007,Billy Mayfair,68.08
2007,Johnson Wagner,67.75
2007,Kenny Perry,67.54
2007,Ted Purdy,67.23
2007,Craig Barlow,67.2
2007,Sean O'Hair,67.12
2007,Michael Putnam,67.03
2007,Robert Garrigus,67.02
2007,Duffy Waldorf,66.99
2007,Kent Jones,66.95
2007,D.J. Trahan,66.95
2007,Hunter Mahan,66.91
2007,J.J. Henry,66.67
2007,Joey Sindelar,66.67
2007,Michael Allen,66.59
2007,Jeff Maggert,66.53
2007,Jesper Parnevik,66.53
2007,Nick Watney,66.48
2007,Heath Slocum,66.45
2007,Bo Van Pelt,66.4
2007,Charlie Wi,66.35
2007,Bart Bryant,66.34
2007,Jay Williamson,66.33
2007,Ryan Armour,66.29
2007,Steve Lowery,66.29
2007,Brett Wetterich,66.28
2007,Lucas Glover,66.27
2007,Vijay Singh,66.22
2007,Freddie Jacobson,66.19
2007,Will MacKenzie,66.17
2007,Stewart Cink,66.16
2007,Chris Stroud,66.15
2007,Steve Marino,66.07
2007,D.J. Brigman,66.05
2007,Shaun Micheel,66.04
2007,Bill Haas,65.98
2007,Boo Weekley,65.86
2007,Steve Flesch,65.83
2007,Steve Stricker,65.83
2007,Robert Gamez,65.81
2007,Justin Rose,65.73
2007,Camilo Villegas,65.72
2007,Ryan Moore,65.64
2007,Jeff Quinney,65.61
2007,Ken Duke,65.58
2007,Kirk Triplett,65.58
2007,Jason Gore,65.57
2007,Kevin Stadler,65.57
2007,Trevor Immelman,65.52
2007,Woody Austin,65.5
2007,Pat Perez,65.49
2007,Kevin Sutherland,65.49
2007,Bubba Watson,65.49
2007,Darron Stiles,65.48
2007,Adam Scott,65.44
2007,Anthony Kim,65.35
2007,K.J. Choi,65.29
2007,Daniel Chopra,65.2
2007,Tom Byrum,65.16
2007,Frank Lickliter II,65.15
2007,Rod Pampling,65.12
2007,Jeff Brehaut,65.11
2007,Jason Dufner,65.06
2007,Billy Andrade,65.03
2007,Jason Bohn,65.01
2007,Brian Davis,64.96
2007,Matt Kuchar,64.95
2007,Phil Mickelson,64.95
2007,Stephen Ames,64.94
2007,Matt Hendrix,64.94
2007,Craig Bowden,64.91
2007,Daisuke Maruyama,64.91
2007,Rocco Mediate,64.89
2007,Mark Wilson,64.86
2007,Mark Brooks,64.85
2007,Jerry Kelly,64.83
2007,Justin Leonard,64.8
2007,Steve Allan,64.78
2007,Cliff Kresge,64.75
2007,David Branshaw,64.73
2007,Ernie Els,64.66
2007,Richard Johnson,64.65
2007,Peter Lonard,64.61
2007,Jarrod Lyle,64.61
2007,Tim Herron,64.6
2007,Brandt Snedeker,64.58
2007,J.B. Holmes,64.57
2007,Sergio Garcia,64.56
2007,Michael Sim,64.53
2007,Tom Johnson,64.51
2007,Mathias Grönberg,64.5
2007,Craig Kanada,64.5
2007,Kyle Reifers,64.49
