year,player_name,driving_accuracy
2012,Jerry Kelly,73.0
2012,Heath Slocum,71.69
2012,Tim Clark,71.6
2012,Jim Furyk,70.71
2012,Graeme McDowell,70.11
2012,David Toms,69.75
2012,Ben Curtis,69.7
2012,Chris DiMarco,69.24
2012,Gary Christian,68.95
2012,Richard Lee,68.72
2012,John Huh,68.69
2012,Mark Wilson,68.62
2012,Chez Reavie,68.57
2012,Zach Johnson,68.53
2012,Colt Knost,68.0
2012,John Mallinger,67.93
2012,Hunter Mahan,67.74
2012,Brian Davis,67.24
2012,Jeff Maggert,67.16
2012,Russell Knox,67.03
2012,Jason Dufner,66.9
2012,Billy Horschel,66.58
2012,Tom Gillis,66.09
2012,John Senden,65.93
2012,Kevin Na,65.91
2012,Kris Blanks,65.84
2012,Blake Adams,65.83
2012,Justin Rose,65.82
2012,Ryan Moore,65.75
2012,Ken Duke,65.69
2012,Chris Couch,65.49
2012,Stuart Appleby,65.45
2012,Brian Harman,65.44
2012,Roberto Castro,65.36
2012,Will Claxton,65.36
2012,Billy Mayfair,65.2
2012,Luke Donald,65.16
2012,Boo Weekley,65.15
2012,Ian Poulter,65.13
2012,Kevin Stadler,65.09
2012,Gavin Coles,65.08
2012,Matt Kuchar,65.06
2012,Jason Bohn,65.0
2012,Bo Van Pelt,64.79
2012,Scott Dunlap,64.66
2012,D.A. Points,64.66
2012,John Merrick,64.46
2012,Rickie Fowler,64.43
2012,Cameron Tringale,64.41
2012,Ben Crane,64.36
2012,John Rollins,64.25
2012,Ted Potter Jr.,64.18
2012,Henrik Stenson,64.13
2012,K.J. Choi,64.08
2012,Tiger Woods,63.93
2012,Bill Haas,63.62
2012,Alexandre Rocha,63.47
2012,Brendan Steele,63.44
2012,Brendon de Jonge,63.42
2012,Nick O'Hern,63.34
2012,Steve Stricker,63.31
2012,David Mathis,63.22
2012,J.J. Henry,63.18
2012,Rod Pampling,62.72
2012,Kyle Thompson,62.65
2012,Brandt Jobe,62.48
2012,Louis Oosthuizen,62.41
2012,Steve Wheatcroft,62.37
2012,Pat Perez,62.33
2012,Johnson Wagner,62.32
2012,Chris Stroud,62.31
2012,David Hearn,62.25
2012,Charley Hoffman,62.23
2012,Rocco Mediate,62.22
2012,Roland Thatcher,62.19
2012,Lee Westwood,62.17
2012,Brian Gay,62.1
2012,Geoff Ogilvy,62.01
2012,Camilo Villegas,62.01
2012,Greg Chalmers,62.0
2012,Daniel Summerhays,61.93
2012,Jeff Overton,61.91
2012,Stephen Ames,61.88
2012,Hunter Haas,61.82
2012,Kyle Reifers,61.7
2012,Cameron Beckman,61.67
2012,Keegan Bradley,61.65
