year,player_name,scoring_average
2014,Rory McIlroy,68.827
2014,Sergio Garcia,68.95
2014,Jim Furyk,69.2
2014,Adam Scott,69.205
2014,Matt Kuchar,69.416
2014,Dustin Johnson,69.546
2014,Justin Rose,69.624
2014,Jason Day,69.626
2014,Graeme McDowell,69.642
2014,Charl Schwartzel,69.671
2014,Bubba Watson,69.712
2014,Jimmy Walker,69.789
2014,Graham DeLaet,69.943
2014,Jordan Spieth,69.946
2014,Ryan Palmer,69.993
2014,Kevin Na,69.996
2014,Keegan Bradley,70.031
2014,Brendon Todd,70.049
2014,Brooks Koepka,70.052
2014,Hideki Matsuyama,70.083
2014,Harris English,70.094
2014,Russell Knox,70.111
2014,Bill Haas,70.132
2014,Charles Howell III,70.134
2014,Chris Kirk,70.15
2014,Paul Casey,70.152
2014,Marc Leishman,70.152
2014,Zach Johnson,70.159
2014,Henrik Stenson,70.166
2014,Rickie Fowler,70.172
2014,Webb Simpson,70.234
2014,George McNeill,70.248
2014,Gary Woodland,70.249
2014,John Senden,70.27
2014,Phil Mickelson,70.278
2014,Jason Kokrak,70.307
2014,Ryan Moore,70.344
2014,Jerry Kelly,70.349
2014,David Toms,70.35
2014,Brian Harman,70.391
2014,Charley Hoffman,70.464
2014,Kevin Chappell,70.466
2014,Martin Kaymer,70.468
2014,Chris Stroud,70.476
2014,Robert Streb,70.502
2014,Carl Pettersson,70.52
2014,Billy Horschel,70.521
2014,Brian Stuard,70.549
2014,Daniel Summerhays,70.566
2014,Hunter Mahan,70.574
2014,Chad Campbell,70.59
2014,Patrick Reed,70.598
2014,Stuart Appleby,70.599
2014,Freddie Jacobson,70.604
2014,Shawn Stefani,70.609
2014,Kevin Stadler,70.62
2014,Cameron Tringale,70.63
2014,Luke Guthrie,70.638
2014,S.Y. Noh,70.661
2014,Scott Langley,70.662
2014,Ricky Barnes,70.671
2014,Brandt Snedeker,70.671
2014,Ángel Cabrera,70.675
2014,Will MacKenzie,70.685
2014,Billy Hurley III,70.696
2014,William McGirt,70.712
2014,Andrew Svoboda,70.713
2014,Tim Wilkinson,70.714
2014,Camilo Villegas,70.716
2014,Kevin Kisner,70.718
2014,J.B. Holmes,70.721
2014,Matt Every,70.722
2014,Ian Poulter,70.722
2014,Robert Garrigus,70.728
2014,Retief Goosen,70.728
2014,Ben Martin,70.732
2014,Jeff Overton,70.734
2014,Luke Donald,70.735
2014,Ernie Els,70.736
2014,Heath Slocum,70.737
2014,Tim Clark,70.738
2014,Lee Westwood,70.738
2014,Nick Watney,70.756
2014,Aaron Baddeley,70.796
2014,Brendan Steele,70.798
2014,Brendon de Jonge,70.801
2014,Danny Lee,70.802
2014,Will Wilcox,70.819
2014,Bo Van Pelt,70.827
2014,Erik Compton,70.829
2014,David Hearn,70.83
2014,Justin Hicks,70.836
2014,Stewart Cink,70.847
2014,Louis Oosthuizen,70.852
2014,Andres Romero,70.852
2014,K.J. Choi,70.87
2014,Brad Fritsch,70.888
2014,Jason Bohn,70.892
2014,Justin Leonard,70.895
2014,Morgan Hoffmann,70.899
2014,Jason Dufner,70.9
2014,Troy Merritt,70.9
2014,Michael Putnam,70.905
2014,Robert Allenby,70.92
2014,Vijay Singh,70.933
2014,Scott Brown,70.936
2014,Ben Crane,70.954
2014,Ryo Ishikawa,70.98
2014,Matt Jones,71.021
2014,Jhonattan Vegas,71.022
2014,Brice Garnett,71.039
2014,Bud Cauley,71.06
2014,J.J. Henry,71.064
2014,Charlie Wi,71.067
2014,Tyrone Van Aswegen,71.07
2014,Jonathan Byrd,71.083
2014,Spencer Levin,71.086
2014,Ted Potter Jr.,71.087
2014,Pat Perez,71.11
2014,Bryce Molder,71.112
2014,Ken Duke,71.137
2014,Andrew Loupe,71.142
2014,Steven Bowditch,71.145
2014,Hudson Swafford,71.167
2014,Sangmoon Bae,71.168
2014,James Hahn,71.186
2014,Michael Thompson,71.194
2014,Martin Flores,71.199
2014,Wes Roach,71.206
2014,Chesson Hadley,71.212
2014,Brian Davis,71.232
2014,John Huh,71.24
2014,Sean O'Hair,71.24
2014,Greg Chalmers,71.251
2014,Charlie Beljan,71.28
2014,Gonzalo Fernandez-Castaño,71.294
2014,Josh Teater,71.301
2014,Boo Weekley,71.307
2014,Chad Collins,71.315
2014,Jamie Lovemark,71.345
2014,Ben Curtis,71.354
2014,Kevin Streelman,71.354
2014,Davis Love III,71.364
2014,Russell Henley,71.379
2014,Rory Sabbatini,71.381
2014,Geoff Ogilvy,71.422
2014,Martin Laird,71.436
2014,Johnson Wagner,71.444
2014,James Driscoll,71.454
2014,David Lingmerth,71.469
2014,John Peterson,71.47
2014,Trevor Immelman,71.471
2014,Brian Gay,71.493
2014,Tommy Gainey,71.51
2014,Richard Lee,71.528
2014,Jonas Blixt,71.581
2014,Jeff Maggert,71.612
2014,Roberto Castro,71.617
2014,Jim Herman,71.619
2014,Nicholas Thompson,71.657
2014,Briny Baird,71.679
2014,Y.E. Yang,71.712
2014,Mark Wilson,71.732
2014,Woody Austin,71.743
2014,Kyle Stanley,71.745
2014,Bronson La'Cassie,71.772
2014,Mike Weir,71.789
2014,Scott Stallings,71.835
2014,Jim Renner,71.843
2014,John Merrick,71.852
2014,Kevin Tway,71.912
2014,D.H. Lee,71.914
2014,John Rollins,71.932
2014,Lucas Glover,72.233
2014,Troy Matteson,72.237
2014,D.A. Points,72.239
2014,Derek Ernst,72.593
