year,player_name,sg_around_green
2009,Chris Riley,0.728
2009,Ian Poulter,0.65
2009,Tiger Woods,0.579
2009,Padraig Harrington,0.577
2009,Jim Furyk,0.439
2009,Phil Mickelson,0.383
2009,Ryuji Imada,0.378
2009,Charles Howell III,0.36
2009,Mike Weir,0.358
2009,Rod Pampling,0.35
2009,Rocco Mediate,0.337
2009,Kevin Na,0.33
2009,Geoff Ogilvy,0.329
2009,Steve Stricker,0.327
2009,Corey Pavin,0.326
2009,Chris DiMarco,0.311
2009,Justin Leonard,0.31
2009,Matt Kuchar,0.289
2009,Rory Sabbatini,0.284
2009,Freddie Jacobson,0.282
2009,Jarrod Lyle,0.274
2009,Adam Scott,0.27
2009,Chez Reavie,0.265
2009,Brian Gay,0.259
2009,Dean Wilson,0.257
2009,Parker McLachlin,0.252
2009,Luke Donald,0.249
2009,Jimmy Walker,0.244
2009,Jerry Kelly,0.226
2009,K.J. Choi,0.222
2009,Tag Ridings,0.222
2009,Stuart Appleby,0.216
2009,Tim Herron,0.216
2009,John Mallinger,0.216
2009,Michael Letzig,0.215
2009,Aaron Baddeley,0.212
2009,Bob Estes,0.212
2009,Ernie Els,0.196
2009,Scott Sterling,0.194
2009,Mark Wilson,0.194
2009,Tom Pernice Jr.,0.192
2009,Alex Cejka,0.188
2009,Brad Adamonis,0.181
2009,Tim Petrovic,0.179
2009,Ken Duke,0.177
2009,Kevin Sutherland,0.175
2009,Lee Janzen,0.17
2009,Briny Baird,0.163
2009,Steve Flesch,0.162
2009,Casey Wittenberg,0.158
2009,Fred Couples,0.157
2009,Kevin Stadler,0.146
2009,Darron Stiles,0.143
2009,Webb Simpson,0.139
2009,Dustin Johnson,0.137
2009,Camilo Villegas,0.128
2009,Jonathan Byrd,0.118
2009,Greg Chalmers,0.118
2009,Pat Perez,0.113
2009,Justin Rose,0.113
2009,George McNeill,0.112
2009,Bryce Molder,0.112
2009,Robert Allenby,0.11
2009,Retief Goosen,0.11
2009,Matt Jones,0.11
2009,Jeff Klauk,0.105
2009,Woody Austin,0.102
2009,Ben Crane,0.1
2009,James Nitties,0.095
2009,Brett Quigley,0.095
2009,Nathan Green,0.089
2009,Tim Clark,0.087
2009,J.J. Henry,0.084
2009,Bob Heintz,0.081
2009,Vijay Singh,0.08
2009,Brian Davis,0.076
2009,Nick O'Hern,0.07
2009,Brandt Snedeker,0.069
2009,Zach Johnson,0.068
2009,Glen Day,0.067
2009,Matt Weibring,0.056
2009,Brendon Todd,0.055
2009,Spencer Levin,0.053
2009,Will MacKenzie,0.052
2009,Scott McCarron,0.05
2009,Joe Ogilvie,0.05
2009,Jeff Quinney,0.049
2009,Daniel Chopra,0.047
2009,Steve Elkington,0.047
2009,Jay Williamson,0.047
2009,Bubba Watson,0.044
2009,Charlie Wi,0.044
2009,Bill Lunde,0.043
2009,Jeff Overton,0.026
2009,Cliff Kresge,0.02
2009,Anthony Kim,0.019
2009,Jason Day,0.016
2009,Jason Dufner,0.016
2009,D.A. Points,0.016
2009,Patrick Sheehan,0.014
2009,Bill Haas,0.011
2009,Boo Weekley,0.011
2009,Billy Mayfair,0.01
2009,Scott Verplank,0.006
2009,Mark Brooks,-0.004
2009,Davis Love III,-0.004
2009,Chad Campbell,-0.006
2009,David Duval,-0.006
2009,David Toms,-0.006
2009,Ben Curtis,-0.028
2009,John Senden,-0.028
2009,Peter Lonard,-0.034
2009,Ricky Barnes,-0.037
2009,Sean O'Hair,-0.038
2009,Kenny Perry,-0.042
2009,Bo Van Pelt,-0.042
2009,Harrison Frazar,-0.045
2009,Mark Calcavecchia,-0.051
2009,Greg Owen,-0.071
2009,Johnson Wagner,-0.072
2009,Cameron Beckman,-0.074
2009,Kirk Triplett,-0.075
2009,Kent Jones,-0.08
2009,Steve Marino,-0.081
2009,Tom Lehman,-0.087
2009,Paul Goydos,-0.089
2009,Andres Romero,-0.096
2009,Scott Piercy,-0.103
2009,Michael Allen,-0.106
2009,Mathew Goggin,-0.107
2009,Y.E. Yang,-0.108
2009,Stewart Cink,-0.11
2009,David Mathis,-0.114
2009,Charley Hoffman,-0.128
2009,Chris Stroud,-0.128
2009,Stephen Ames,-0.132
2009,J.B. Holmes,-0.138
2009,Martin Laird,-0.138
2009,Carl Pettersson,-0.143
2009,Peter Tomasulo,-0.143
2009,Richard Johnson,-0.154
2009,Todd Hamilton,-0.155
2009,Lucas Glover,-0.157
2009,John Rollins,-0.157
2009,Jason Gore,-0.163
2009,Aron Price,-0.165
2009,Derek Fathauer,-0.167
2009,Ryan Moore,-0.18
2009,Troy Matteson,-0.181
2009,Brian Vranesh,-0.182
2009,Vaughn Taylor,-0.183
2009,Brendon de Jonge,-0.187
2009,Marc Leishman,-0.19
2009,Heath Slocum,-0.199
2009,Jeff Maggert,-0.201
2009,Nick Watney,-0.201
2009,Nicholas Thompson,-0.203
2009,Brian Bateman,-0.226
2009,Bart Bryant,-0.226
2009,Ted Purdy,-0.231
2009,D.J. Trahan,-0.232
2009,Jason Bohn,-0.236
2009,Brad Faxon,-0.246
2009,Eric Axley,-0.253
2009,Matt Bettencourt,-0.257
2009,Kevin Streelman,-0.261
2009,Ryan Palmer,-0.268
2009,Sergio Garcia,-0.282
2009,Ángel Cabrera,-0.296
2009,Colt Knost,-0.304
2009,Rich Beem,-0.309
2009,John Merrick,-0.328
2009,Tommy Armour III,-0.338
2009,Hunter Mahan,-0.345
2009,Marc Turnesa,-0.35
2009,Robert Garrigus,-0.354
2009,Charles Warren,-0.358
2009,Kris Blanks,-0.375
2009,Leif Olson,-0.378
2009,Rick Price,-0.39
2009,Joe Durant,-0.404
2009,Steve Lowery,-0.473
2009,Greg Kraft,-0.474
2009,Gary Woodland,-0.52
