year,player_name,money_earned
2022,Scottie Scheffler,14046910
2022,Cameron Smith,10107897
2022,Will Zalatoris,9405082
2022,Patrick Cantlay,9369605
2022,Rory McIlroy,8654566
2022,Xander Schauffele,7427299
2022,Sam Burns,7073986
2022,Matt Fitzpatrick,7012672
2022,Justin Thomas,6829576
2022,Cameron Young,6520598
2022,Tony Finau,6117886
2022,Hideki Matsuyama,5776298
2022,Sungjae Im,5567974
2022,Max Homa,5289842
2022,Jon Rahm,5248220
2022,Joaquin Niemann,5076060
2022,Jordan Spieth,5018444
2022,Billy Horschel,4940600
2022,Viktor Hovland,4868461
2022,Collin Morikawa,4837271
2022,Sepp Straka,4722434
2022,Tom Hoge,4310046
2022,Scott Stallings,3933593
2022,Corey Conners,3876590
2022,Kevin Kisner,3757424
2022,Talor Gooch,3718990
2022,Keegan Bradley,3623137
2022,Shane Lowry,3616679
2022,Aaron Wise,3454521
2022,K.H. Lee,3347180
2022,J.T. Poston,3292443
2022,Brian Harman,3226839
2022,Davis Riley,3190793
2022,Sahith Theegala,3124668
2022,Seamus Power,3100241
2022,Anirban Lahiri,3084598
2022,Keith Mitchell,3068341
2022,Cameron Tringale,3050519
2022,J.J. Spaun,2951152
2022,Adam Scott,2913198
2022,Denny McCarthy,2882771
2022,Tommy Fleetwood,2874008
2022,Tyrrell Hatton,2849792
2022,Russell Henley,2837505
2022,Tom Kim,2824580
2022,Mito Pereira,2797925
2022,Luke List,2734720
2022,Maverick McNealy,2689754
2022,Adam Hadwin,2574396
2022,Lucas Herbert,2558440
2022,Kurt Kitayama,2547912
2022,Sebastián Muñoz,2545121
2022,Brendan Steele,2531909
2022,Chris Kirk,2408913
2022,Jason Kokrak,2339960
2022,Taylor Pendrith,2330840
2022,Harold Varner III,2294141
2022,Mackenzie Hughes,2276212
2022,Si Woo Kim,2234151
2022,Christiaan Bezuidenhout,2233289
2022,Trey Mullinax,2172365
2022,Emiliano Grillo,2094647
2022,Matt Kuchar,2051300
2022,Marc Leishman,2015561
2022,Gary Woodland,1992732
2022,Cam Davis,1989011
2022,Alex Noren,1971531
2022,Lucas Glover,1941796
2022,Andrew Putnam,1920393
2022,Matt Jones,1914560
2022,Chez Reavie,1908670
2022,Troy Merritt,1906304
2022,Abraham Ancer,1777504
2022,Daniel Berger,1769539
2022,Taylor Moore,1751237
2022,Paul Casey,1740282
2022,Lanto Griffin,1717566
2022,Beau Hossler,1716430
2022,Hudson Swafford,1714926
2022,Joel Dahmen,1712942
2022,Russell Knox,1683424
2022,Brendon Todd,1659052
2022,John Huh,1631948
2022,Alex Smalley,1631567
2022,Wyndham Clark,1544055
2022,Matthew NeSmith,1539142
2022,Matthew Wolff,1485181
2022,Brandon Wu,1472515
2022,Justin Rose,1426994
2022,Lee Hodges,1377251
2022,Adam Long,1364131
2022,Kevin Streelman,1354092
2022,Doug Ghim,1347458
2022,Aaron Rai,1346601
2022,Adam Schenk,1339523
2022,Patrick Rodgers,1327382
2022,Brooks Koepka,1317085
2022,C.T. Pan,1313259
2022,Hayden Buckley,1303036
2022,Stephan Jaeger,1289503
2022,Peter Malnati,1288197
2022,Chad Ramey,1281224
2022,David Lipsky,1269468
2022,Danny Lee,1265934
2022,Sam Ryder,1257416
2022,Adam Svensson,1209000
2022,Chesson Hadley,1195172
2022,Dylan Frittelli,1194625
2022,James Hahn,1183254
2022,Mark Hubbard,1179782
2022,Ryan Palmer,1167801
2022,Michael Thompson,1148272
2022,Robert Streb,1120076
2022,Jhonattan Vegas,1097633
2022,Martin Laird,1094313
2022,Carlos Ortiz,1087463
2022,Jason Day,1086460
2022,Rickie Fowler,1072929
2022,Pat Perez,1071981
2022,Webb Simpson,1041955
2022,Vince Whaley,1039817
2022,Callum Tarren,1034362
2022,Scott Piercy,1030752
2022,Stewart Cink,1026158
2022,Charles Howell III,1026002
2022,Nick Watney,1012572
2022,Max McGreevy,999625
2022,Patton Kizzire,985293
2022,Nate Lashley,976895
2022,Matthias Schwab,955840
2022,Cameron Champ,940458
2022,Erik van Rooyen,927524
2022,Kevin Tway,927182
2022,Matt Wallace,918351
2022,Danny Willett,914293
2022,Tyler Duncan,890879
2022,Greyson Sigg,884085
2022,Kramer Hickok,881229
2022,Doc Redman,849809
2022,Harry Higgs,834333
2022,Nick Taylor,832637
2022,Nick Hardy,820728
2022,Francesco Molinari,816460
2022,Ryan Brehm,806039
2022,Austin Smotherman,770827
2022,Martin Trainer,726985
2022,Brian Stuard,705260
2022,Justin Lower,700545
2022,Kelly Kraft,680946
2022,Garrick Higgo,667305
2022,Michael Gligic,652204
2022,Rory Sabbatini,628043
2022,Henrik Norlander,613966
2022,Zach Johnson,610693
2022,Hank Lebioda,588984
2022,Brice Garnett,579670
2022,Cameron Percy,576053
2022,Jonathan Byrd,558025
2022,Charley Hoffman,554475
2022,Austin Cook,552226
2022,Ian Poulter,537169
