year,player_name,sg_putting
2016,Jason Day,1.13
2016,Jordan Spieth,0.758
2016,Kevin Kisner,0.672
2016,Andrew Landry,0.654
2016,Steve Stricker,0.62
2016,Harris English,0.594
2016,Daniel Summerhays,0.592
2016,Aaron Baddeley,0.586
2016,Phil Mickelson,0.565
2016,Bryce Molder,0.553
2016,Adam Hadwin,0.53
2016,Jonas Blixt,0.527
2016,Martin Piller,0.518
2016,Peter Malnati,0.491
2016,Freddie Jacobson,0.487
2016,Brian Harman,0.465
2016,Retief Goosen,0.462
2016,Brendon Todd,0.462
2016,Brooks Koepka,0.445
2016,Patton Kizzire,0.442
2016,Billy Hurley III,0.433
2016,Jon Curran,0.407
2016,Ernie Els,0.405
2016,Luke Guthrie,0.404
2016,Zach Johnson,0.395
2016,Colt Knost,0.395
2016,Brandt Snedeker,0.395
2016,Ricky Barnes,0.385
2016,Matt Kuchar,0.381
2016,William McGirt,0.36
2016,Derek Fathauer,0.356
2016,Ryan Moore,0.351
2016,K.J. Choi,0.349
2016,Tim Wilkinson,0.335
2016,John Senden,0.321
2016,Wes Roach,0.299
2016,Dustin Johnson,0.281
2016,Andrew Loupe,0.28
2016,Patrick Reed,0.28
2016,Michael Kim,0.276
2016,Johnson Wagner,0.273
2016,Mark Hubbard,0.272
2016,Hunter Mahan,0.253
2016,Marc Leishman,0.252
2016,Troy Merritt,0.244
2016,Ben Crane,0.23
2016,Jimmy Walker,0.222
2016,David Hearn,0.214
2016,Fabián Gómez,0.213
2016,Morgan Hoffmann,0.208
2016,Sean O'Hair,0.208
2016,Kelly Kraft,0.207
2016,Hudson Swafford,0.205
2016,Camilo Villegas,0.203
2016,Stuart Appleby,0.201
2016,Zac Blair,0.195
2016,Russell Henley,0.193
2016,Sung Kang,0.186
2016,S.Y. Noh,0.176
2016,Daniel Berger,0.175
2016,Hiroshi Iwata,0.174
2016,Martin Laird,0.158
2016,Brendon de Jonge,0.156
2016,Rickie Fowler,0.153
2016,Steve Wheatcroft,0.153
