year,player_name,final_season_rank
2025,Tommy Fleetwood,1
2025,Patrick Cantlay,2
2025,Russell Henley,2
2025,Corey Conners,4
2025,Scottie Scheffler,4
2025,Cameron Young,4
2025,Keegan Bradley,7
2025,Sam Burns,7
2025,Justin Thomas,7
2025,Chris Gotterup,10
2025,Ben Griffin,10
2025,Viktor Hovland,12
2025,Akshay Bhatia,13
2025,Harris English,13
2025,Brian Harman,13
2025,Shane Lowry,13
2025,Harry Hall,17
2025,Robert MacIntyre,17
2025,Collin Morikawa,19
2025,Nick Taylor,19
2025,Ludvig Åberg,21
2025,Justin Rose,21
2025,Rory McIlroy,23
2025,Maverick McNealy,23
2025,Andrew Novak,25
2025,J.J. Spaun,25
2025,Jacob Bridgeman,27
2025,Sungjae Im,27
2025,Hideki Matsuyama,29
2025,Sepp Straka,30
2025,Michael Kim,31
2025,Rickie Fowler,32
2025,Taylor Pendrith,33
2025,Matt Fitzpatrick,34
2025,Kurt Kitayama,35
2025,Lucas Glover,36
2025,Si Woo Kim,37
2025,Sam Stevens,38
2025,Ryan Gerard,39
2025,Denny McCarthy,40
2025,Jason Day,41
2025,Xander Schauffele,42
2025,Ryan Fox,43
2025,Thomas Detry,44
2025,Daniel Berger,45
2025,Brian Campbell,46
2025,Bud Cauley,47
2025,Tom Hoge,48
2025,J.T. Poston,49
2025,Jhonattan Vegas,50
2025,Chris Kirk,51
2025,Aldrich Potgieter,52
2025,Aaron Rai,53
2025,Jordan Spieth,54
2025,Jake Knapp,55
2025,Wyndham Clark,56
2025,Min Woo Lee,57
2025,Max Greyserman,58
2025,Joe Highsmith,59
2025,Stephan Jaeger,60
2025,Davis Riley,61
2025,Nico Echavarria,62
2025,Kevin Yu,63
2025,Patrick Rodgers,64
2025,Mackenzie Hughes,65
2025,Tony Finau,66
2025,Matti Schmid,67
2025,Emiliano Grillo,68
2025,Cam Davis,69
2025,Erik van Rooyen,70
2025,Davis Thompson,71
2025,Gary Woodland,72
2025,Nicolai Højgaard,73
2025,Byeong Hun An,74
2025,Keith Mitchell,75
2025,Christiaan Bezuidenhout,76
2025,Mark Hubbard,77
2025,Kevin Roy,78
2025,Alex Smalley,79
2025,Eric Cole,80
2025,William Mouw,81
2025,Matt McCarty,82
2025,Karl Vilips,83
2025,Ryo Hisatsune,84
2025,Rasmus Højgaard,85
2025,Mac Meissner,86
2025,Sami Valimaki,87
2025,Michael Thorbjornsen,88
2025,Beau Hossler,89
2025,Adam Scott,90
2025,David Lipsky,91
2025,Matt Wallace,92
2025,Joel Dahmen,93
2025,Tom Kim,94
2025,Patrick Fishburn,95
2025,Andrew Putnam,96
2025,Max McGreevy,97
2025,Danny Walker,98
2025,Garrick Higgo,99
2025,Taylor Moore,100
2025,Vince Whaley,101
2025,Billy Horschel,102
2025,Lee Hodges,103
2025,Isaiah Salinda,104
2025,Alex Noren,105
2025,Rico Hoey,106
2025,Austin Eckroat,107
2025,Sam Ryder,108
2025,Victor Perez,109
2025,Jesper Svensson,110
2025,Max Homa,111
2025,Harry Higgs,112
2025,Chan Kim,113
2025,Alejandro Tosti,114
2025,Henrik Norlander,115
2025,Ricky Castillo,116
2025,Jackson Suber,117
2025,Chad Ramey,118
2025,Justin Lower,119
2025,Thorbjørn Olesen,120
2025,Kris Ventura,121
2025,Hayden Springer,122
2025,Zach Johnson,123
2025,Chandler Phillips,124
2025,Paul Peterson,125
2025,Doug Ghim,126
2025,Matt Kuchar,127
2025,Carson Young,128
2025,Brandt Snedeker,129
2025,Seamus Power,130
2025,Jeremy Paul,131
2025,Cameron Champ,132
2025,Adam Schenk,133
2025,Takumi Kanaya,134
2025,Nick Dunlap,135
2025,Adam Hadwin,136
2025,David Skinns,137
2025,Will Zalatoris,138
2025,Pierceson Coody,139
2025,Steven Fisk,140
2025,Will Gordon,141
2025,Lanto Griffin,142
2025,Charley Hoffman,143
2025,Noah Goodwin,144
2025,Quade Cummins,145
2025,Nate Lashley,146
2025,Sahith Theegala,147
2025,Antoine Rozner,148
2025,Thriston Lawrence,149
2025,Matteo Manassero,150
2025,Brice Garnett,151
2025,Taylor Montgomery,152
2025,Ben Kohles,153
2025,Frankie Capan III,154
2025,Joseph Bramlett,155
2025,Trey Mullinax,156
2025,Luke List,157
2025,Danny Willett,158
2025,Will Chandler,159
2025,Greyson Sigg,160
2025,Niklas Norgaard,161
2025,Adam Svensson,162
2025,Ben Silverman,163
2025,Camilo Villegas,164
2025,Nick Hardy,165
2025,Matthieu Pavon,166
2025,Thomas Rosenmueller,167
2025,Taylor Dickson,168
2025,Webb Simpson,169
2025,Dylan Wu,170
2025,John Pak,171
2025,Zac Blair,172
2025,Hayden Buckley,173
2025,Ben Martin,174
2025,Trace Crowe,175
2025,Cristobal Del Solar,176
2025,Matthew Riedel,177
2025,Trevor Cone,178
2025,Peter Malnati,179
2025,Patton Kizzire,180
2025,K.H. Lee,181
2025,Norman Xiong,182
2025,Rikuya Hoshino,183
2025,Kevin Velo,184
2025,Kevin Kisner,185
2025,Aaron Baddeley,186
2025,Philip Knowles,187
2025,Rafael Campos,188
2025,Vincent Norrman,189
2025,Braden Thornberry,190
2025,Matt NeSmith,191
2025,C.T. Pan,192
2025,Kevin Streelman,193
2025,Scott Piercy,194
