year,player_name,sg_off_the_tee
2017,Dustin Johnson,1.071
2017,Rory McIlroy,0.965
2017,Jon Rahm,0.949
2017,Tony Finau,0.826
2017,Sergio Garcia,0.795
2017,Rick Lamb,0.686
2017,Kyle Stanley,0.659
2017,Bubba Watson,0.647
2017,Boo Weekley,0.634
2017,Keegan Bradley,0.625
2017,Patrick Cantlay,0.623
2017,Jason Kokrak,0.607
2017,Luke List,0.6
2017,Charley Hoffman,0.586
2017,Shane Lowry,0.582
2017,Justin Rose,0.559
2017,Xander Schauffele,0.554
2017,Brooks Koepka,0.546
2017,J.B. Holmes,0.533
2017,Ryan Palmer,0.533
2017,Byeong Hun An,0.524
2017,Adam Scott,0.524
2017,Hideki Matsuyama,0.508
2017,Lucas Glover,0.502
2017,Graham DeLaet,0.486
2017,Francesco Molinari,0.483
2017,Brandon Hagy,0.459
2017,Hudson Swafford,0.454
2017,Justin Thomas,0.452
2017,Kevin Chappell,0.442
2017,Gary Woodland,0.431
2017,Trey Mullinax,0.427
2017,Robert Garrigus,0.422
2017,Jim Herman,0.422
2017,Bryson DeChambeau,0.42
2017,Jhonattan Vegas,0.394
2017,Brendan Steele,0.387
2017,Rickie Fowler,0.378
2017,Hunter Mahan,0.376
2017,Emiliano Grillo,0.368
2017,Grayson Murray,0.353
2017,Paul Casey,0.349
2017,Sam Saunders,0.348
2017,Jordan Spieth,0.321
2017,Marc Leishman,0.319
2017,Jamie Lovemark,0.319
2017,J.J. Spaun,0.316
2017,Jason Day,0.311
2017,Russell Henley,0.31
2017,Rory Sabbatini,0.308
2017,Louis Oosthuizen,0.301
2017,Tag Ridings,0.295
2017,Kevin Streelman,0.292
2017,Kevin Tway,0.288
2017,Daniel Berger,0.282
2017,Jason Dufner,0.268
2017,Bud Cauley,0.264
2017,Harold Varner III,0.262
2017,Steve Wheatcroft,0.259
2017,Kevin Kisner,0.257
2017,William McGirt,0.257
2017,Sung Kang,0.255
2017,Sean O'Hair,0.252
2017,Martin Laird,0.235
2017,Anirban Lahiri,0.234
2017,Billy Horschel,0.224
2017,J.J. Henry,0.208
2017,Richy Werenski,0.203
2017,Patrick Reed,0.199
2017,Scott Piercy,0.19
2017,Branden Grace,0.18
2017,James Hahn,0.177
2017,Nick Taylor,0.168
2017,Morgan Hoffmann,0.165
2017,Matt Kuchar,0.158
2017,J.T. Poston,0.156
2017,Scott Brown,0.143
2017,Miguel Angel Carballo,0.139
2017,Ben Martin,0.138
2017,Ryan Brehm,0.137
2017,Ollie Schniederjans,0.125
2017,Chez Reavie,0.121
2017,Russell Knox,0.102
2017,Smylie Kaufman,0.091
2017,Graeme McDowell,0.085
2017,Matt Jones,0.073
2017,Brian Campbell,0.063
2017,C.T. Pan,0.052
2017,Dominic Bozzelli,0.051
2017,Scott Stallings,0.049
2017,Blayne Barber,0.041
2017,Chad Campbell,0.041
2017,Danny Lee,0.037
2017,Sebastián Muñoz,0.031
2017,Jonathan Randolph,0.03
2017,Fabián Gómez,0.022
2017,Mackenzie Hughes,0.021
2017,Ryan Armour,0.02
2017,Charles Howell III,0.016
2017,Brian Harman,0.015
2017,Shawn Stefani,0.01
2017,Adam Hadwin,0.003
2017,Retief Goosen,-0.001
2017,Vaughn Taylor,-0.001
2017,Zach Johnson,-0.005
2017,Ryan Moore,-0.006
2017,Stewart Cink,-0.019
2017,Cameron Percy,-0.019
2017,Alex Cejka,-0.02
2017,Kyle Reifers,-0.023
2017,Charl Schwartzel,-0.023
2017,Martin Flores,-0.024
2017,David Lingmerth,-0.032
2017,Julián Etulain,-0.035
2017,Webb Simpson,-0.036
2017,Patrick Rodgers,-0.044
2017,Bill Haas,-0.047
2017,John Huh,-0.049
2017,Daniel Summerhays,-0.05
2017,Phil Mickelson,-0.058
2017,Nick Watney,-0.063
2017,Geoff Ogilvy,-0.064
2017,Seamus Power,-0.067
2017,Tyrone Van Aswegen,-0.067
2017,Johnson Wagner,-0.081
2017,Chris Stroud,-0.094
2017,Andres Gonzales,-0.104
2017,Rod Pampling,-0.11
2017,Troy Merritt,-0.118
2017,Cameron Smith,-0.13
2017,K.J. Choi,-0.141
2017,Brett Stegmaier,-0.141
2017,Pat Perez,-0.147
2017,Mark Anderson,-0.149
2017,Ben Crane,-0.15
2017,Zac Blair,-0.155
2017,Robert Streb,-0.159
2017,Spencer Levin,-0.161
2017,Ian Poulter,-0.162
2017,David Hearn,-0.175
2017,Ken Duke,-0.179
2017,Ryan Blaum,-0.198
2017,Kelly Kraft,-0.205
2017,Brett Drewitt,-0.209
2017,Rafa Cabrera Bello,-0.223
2017,Si Woo Kim,-0.236
2017,Roberto Castro,-0.244
2017,Michael Kim,-0.247
2017,Jimmy Walker,-0.258
2017,Peter Malnati,-0.262
2017,Steven Alker,-0.289
2017,Tim Wilkinson,-0.289
2017,Jonas Blixt,-0.3
2017,Brandt Snedeker,-0.311
2017,Chris Kirk,-0.315
2017,Cody Gribble,-0.338
2017,Brian Stuard,-0.34
2017,Andrew Loupe,-0.348
2017,Tom Hoge,-0.352
2017,Gonzalo Fernandez-Castaño,-0.375
2017,Kevin Na,-0.406
2017,Brian Gay,-0.417
2017,Søren Kjeldsen,-0.424
2017,Michael Thompson,-0.431
2017,Brad Fritsch,-0.432
2017,D.A. Points,-0.436
2017,Derek Fathauer,-0.456
2017,Jim Furyk,-0.491
2017,Greg Chalmers,-0.496
2017,Camilo Villegas,-0.524
2017,Mark Hubbard,-0.539
2017,S.Y. Noh,-0.541
2017,Ernie Els,-0.565
2017,Chad Collins,-0.573
2017,Ryo Ishikawa,-0.58
