year,player_name,sg_approach
2024,Scottie Scheffler,1.269
2024,Tony Finau,0.808
2024,Corey Conners,0.776
2024,Tom Hoge,0.754
2024,Lucas Glover,0.71
2024,Xander Schauffele,0.678
2024,Aaron Rai,0.676
2024,Doug Ghim,0.659
2024,Justin Thomas,0.639
2024,Kurt Kitayama,0.608
2024,Henrik Norlander,0.571
2024,Shane Lowry,0.531
2024,Keith Mitchell,0.531
2024,Si Woo Kim,0.506
2024,Hideki Matsuyama,0.499
2024,Joel Dahmen,0.486
2024,J.J. Spaun,0.469
2024,Viktor Hovland,0.458
2024,Patton Kizzire,0.458
2024,Austin Smotherman,0.456
2024,Ludvig Åberg,0.434
2024,Jhonattan Vegas,0.433
2024,Andrew Novak,0.43
2024,Ryan Moore,0.427
2024,Greyson Sigg,0.414
2024,Mac Meissner,0.405
2024,Austin Eckroat,0.395
2024,Chez Reavie,0.394
2024,Lee Hodges,0.363
2024,Nicolai Højgaard,0.359
2024,Chan Kim,0.354
2024,Adam Svensson,0.344
2024,Russell Henley,0.343
2024,Ben Griffin,0.327
2024,Brian Harman,0.322
2024,Kevin Yu,0.319
2024,Michael Kim,0.311
2024,Davis Thompson,0.306
2024,Victor Perez,0.305
2024,Sepp Straka,0.303
2024,Keegan Bradley,0.301
2024,Collin Morikawa,0.292
2024,Alex Noren,0.286
2024,Emiliano Grillo,0.272
2024,Sahith Theegala,0.272
2024,David Skinns,0.27
2024,Gary Woodland,0.268
2024,Akshay Bhatia,0.264
2024,Tom Kim,0.263
2024,David Lipsky,0.263
2024,Sam Ryder,0.263
2024,Rory McIlroy,0.26
2024,Mark Hubbard,0.249
2024,Matthieu Pavon,0.249
2024,Nick Taylor,0.243
2024,Parker Coody,0.242
2024,Seamus Power,0.238
2024,Christiaan Bezuidenhout,0.237
2024,Tom Whitney,0.231
2024,Matt Wallace,0.225
2024,Nick Hardy,0.223
2024,Daniel Berger,0.218
2024,Nate Lashley,0.212
2024,Andrew Putnam,0.212
2024,Nick Dunlap,0.205
2024,Eric Cole,0.204
2024,Will Zalatoris,0.197
2024,Taylor Pendrith,0.186
2024,Brice Garnett,0.185
2024,Byeong Hun An,0.181
2024,Ryo Hisatsune,0.181
2024,Dylan Wu,0.18
2024,Sam Burns,0.173
2024,Charley Hoffman,0.17
2024,Ben Kohles,0.169
2024,Lanto Griffin,0.168
2024,Harry Hall,0.167
2024,Justin Lower,0.166
2024,Troy Merritt,0.163
2024,Bud Cauley,0.161
2024,C.T. Pan,0.159
2024,Jorge Campillo,0.157
2024,Rico Hoey,0.155
2024,Chris Kirk,0.155
2024,Carson Young,0.153
2024,Max Homa,0.145
2024,Cameron Young,0.116
2024,Adam Scott,0.114
2024,Zac Blair,0.11
2024,Joseph Bramlett,0.103
2024,Chandler Phillips,0.101
2024,Tommy Fleetwood,0.099
